lambda,mu,mean_coh_flux,mean_coh_noflux,delta_mean_coh,mean_Jdef_flux,mean_Jdef_noflux,delta_mean_Jdef,mean_def_mass_flux,mean_def_mass_noflux,delta_mean_def_mass
0.43,0.75,0.004287873419142756,0.005424146965627662,-0.001136273546484906,0.4782798713807893,0.47724837453326685,0.0010314968475224617,0.44648317235540247,0.4460959529544993,0.00038721940090319373
0.46,1.25,0.002885411252182701,0.005992729971463239,-0.0031073187192805383,0.48531320794977056,0.4845559820509263,0.0007572258988442493,0.4653236167327729,0.464927653527434,0.0003959632053389117
0.5,1.25,0.0038246498105799823,0.006808572408372047,-0.0029839225977920645,0.48597596662855846,0.48529496105408954,0.0006810055744689292,0.46526901500476875,0.46488281979299134,0.000386195211777407
0.43,1.75,0.002002763744334073,0.005191067943140654,-0.003188304198806581,0.5130954549830863,0.5124459520894992,0.0006495028935871172,0.49295538424971025,0.4925415412023477,0.00041384304736252764
0.46,1.75,0.002132502696985854,0.005734767292959926,-0.003602264595974072,0.5129406198978216,0.5123122012692075,0.0006284186286140692,0.49285607945274446,0.492450958268683,0.00040512118406144104
