predictor,n,pearson,pearson_p,pearson_ci_lo,pearson_ci_hi,spearman,spearman_p,spearman_ci_lo,spearman_ci_hi
node_commutator_score,40,-0.2587482580330797,0.1157684630738523,-0.5486014113073622,0.004313187077174708,-0.24895000382243584,0.12574850299401197,-0.5624175247727304,0.08965748938582631
mixed_score,40,-0.022208434391946807,0.8982035928143712,-0.21544504149531096,0.1696944325310347,-0.06063451015022995,0.7345309381237525,-0.33335074766875117,0.19355236302334206
e_star_oddness,40,0.14250262615268391,0.4031936127744511,-0.1310245285792394,0.37204284562906853,0.025317361693184378,0.8882235528942116,-0.2942914675451011,0.308336412193387
prior_score,40,0.12280705359183738,0.4530938123752495,-0.19314499415285685,0.43545811847546123,0.11305157997569375,0.500998003992016,-0.27335005840863247,0.4450460147876728
fit_score,40,0.5082100291655722,0.001996007984031936,0.26515630113913846,0.7425713263922112,0.3618822620164005,0.017964071856287425,0.0515564236901687,0.6420182104398191
