mode_k,top_cycle_id,top_cycle_len,top_cycle_holonomy,second_cycle_id,second_cycle_len,second_cycle_holonomy,defect_weight_frac_top_nodes,weighted_avg_degree_top_nodes
1,4,19,(0 2 1),3,17,(0 2 1),0.6715456674473068,4.312646370023419
2,4,19,(0 2 1),3,17,(0 2 1),0.6904683917458238,5.237798886341303
3,2,11,(0 2 1),1,9,(0 2 1),0.6931216931216931,5.293053422085681
4,1,9,(0 2 1),2,11,(0 2 1),0.7954022988505747,5.535139573070607
5,2,11,(0 2 1),1,9,(0 2 1),0.6416812609457092,5.5563922942206645
6,4,19,(0 2 1),3,17,(0 2 1),0.498667213450892,5.368464219807259
7,4,19,(0 2 1),3,17,(0 2 1),0.4625943719972546,5.1713566689544725
8,4,19,(0 2 1),3,17,(0 2 1),0.586263478668542,5.038443506797937
