mode_k,pairwise_r2,best_corr_J,best_corr_U,perm_J,perm_U
4,0.8841571153176561,-0.5836674884003757,-0.6010375553402699,5 6 10 0 8 11 3 2 4 1 9 7,11 1 5 3 7 8 4 2 0 9 6 10
5,0.9272117517317162,0.5377634638270689,0.5144154432366176,2 6 9 0 11 1 10 7 3 8 4 5,2 0 4 3 7 1 5 8 6 9 11 10
