line_id,score
0,9.858192187231559
1,9.249472144901741
2,9.249472144901741
3,9.921707679673178
4,9.921707679673178
5,10.112254156998032
6,9.921707679673178
7,9.731161202348321
8,9.731161202348321
9,9.858192187231559
10,9.85819218723156
11,9.249472144901741
12,9.858192187231559
13,9.731161202348321
14,9.921707679673178
15,9.249472144901741
16,9.921707679673178
17,9.921707679673178
18,9.731161202348321
19,10.403396737119758
20,10.403396737119758
21,9.921707679673178
22,9.731161202348321
23,9.921707679673178
24,9.858192187231559
25,9.858192187231559
26,9.921707679673178
27,9.858192187231559
28,9.731161202348321
29,9.858192187231559
30,10.403396737119758
31,9.858192187231559
32,9.921707679673178
33,9.858192187231559
34,9.858192187231559
35,9.921707679673178
36,9.921707679673178
37,9.858192187231559
38,9.858192187231559
39,10.40339673711976
