line_id,is_rainbow,is_monochrome,present_sector_count,sum_m_mod3,count_m0,count_m1,count_m2,has_sec0_m2,has_sec0_m1,has_sec0_m0,has_all_m2,m0,m1,m2,m3,eq_m01,eq_m02,eq_m03,eq_m12,eq_m13,eq_m23,r2,intercept,coef_delta_coh,coef_flux_coh,coef_flux_def_mass,coef_mu,coef_lambda,mean_abs_delta,max_abs_delta,w33_cards,proj_quartet_str,type,line_type
15,1,0,4,1,3,1,0,0,0,1,0,0.0,1.0,0.0,0.0,0,1,1,0,0,1,0.1202283317293395,-0.4824779441779484,-10.163349014210212,1.052342340798492,1.2591354457151878,-0.0853253611473599,-0.069955137233066,0.0106318701935503,0.0235233316730685,8♠ 8♡ 8♢ 8♣,sec0_m0 sec1_m1 sec2_m0 sec3_m0,rainbow,rank_spread
16,1,0,4,1,1,2,1,0,1,0,0,1.0,1.0,0.0,2.0,1,0,0,0,0,0,0.9814233209631058,0.3219291365682355,4.486542978501969,-0.7089154304641594,-0.7155745435567648,0.038880212296887,-0.0426566990488954,0.0032006867810643,0.006374227476531,3♣ 4♢ 5♠ 7♡,sec0_m1 sec1_m1 sec2_m0 sec3_m2,rainbow,other
17,1,0,4,1,1,2,1,1,0,0,0,2.0,0.0,1.0,1.0,0,0,0,0,0,1,0.9986264238031008,0.006902378993046,0.08239798803713,-0.0823987517863133,-0.0099554157012992,0.000138502579114,-0.0012544271979332,0.0012889051225445,0.0016876820748357,1♠ 1♡ 1♢ 1♣,sec0_m2 sec1_m0 sec2_m1 sec3_m1,rainbow,rank_spread
18,1,0,4,1,2,0,2,0,0,1,0,0.0,0.0,2.0,2.0,1,0,0,0,0,1,0.8429727502670925,-0.2037026838092224,-7.265503703729224,5.818157518134975,0.4015697451271502,-0.0167001468941206,-0.0319397412472205,0.0113717331330282,0.0201545029575864,1♡ 2♠ 5♠ 8♠,sec0_m0 sec1_m0 sec2_m2 sec3_m2,rainbow,other
19,1,0,4,1,0,1,3,0,1,0,0,1.0,2.0,2.0,2.0,0,0,0,1,1,1,0.8323073498527487,-1.1461972679487442,-51.033849079427256,34.5081559074664,2.872173394086594,-0.1471542125331492,-0.5229639839895488,0.0235278098476281,0.0423758783861156,10♠ 10♡ 10♢ 10♣,sec0_m1 sec1_m2 sec2_m2 sec3_m2,rainbow,rank_spread
20,1,0,4,1,0,1,3,1,0,0,0,2.0,1.0,2.0,2.0,0,1,1,0,0,1,0.5575926293518451,0.0476258590344034,1.5906977409095795,-0.8747698175764621,-0.1277700409736393,0.0078631327572997,0.0197189220978163,0.0003427119548401,0.0007707470028974,1♠ 4♡ 6♢ 8♢,sec0_m2 sec1_m1 sec2_m2 sec3_m2,rainbow,other
21,1,0,4,1,1,2,1,0,0,1,0,0.0,1.0,1.0,2.0,0,0,0,1,0,0,0.912643741989918,-0.0158529229633585,8.142246348590614,-9.844833887854602,0.1184159150185909,-0.0191664609927278,0.1107268856130977,0.0104463954959792,0.024654821356739,1♢ 2♢ 7♢ 10♣,sec0_m0 sec1_m1 sec2_m1 sec3_m2,rainbow,other
22,1,0,4,1,2,0,2,1,0,0,0,2.0,0.0,2.0,0.0,0,1,0,0,1,0,0.0979582556956867,-0.2730698397002818,-9.375827381138,5.5403164136750265,0.6959481425519692,-0.0402792186011765,-0.0935621175995663,0.0033015429176537,0.0088021876991071,5♣ 7♠ 8♡ 10♢,sec0_m2 sec1_m0 sec2_m2 sec3_m0,rainbow,other
23,1,0,4,1,1,2,1,0,1,0,0,1.0,0.0,2.0,1.0,0,0,1,0,0,0,0.9609765644320012,-0.0681876975899244,3.098273060669108,-4.470943227055001,0.1948239000788514,-0.0231713267581263,0.0739502308612223,0.0045513787770722,0.0120124118462694,4♠ 4♡ 4♢ 4♣,sec0_m1 sec1_m0 sec2_m2 sec3_m1,rainbow,rank_spread
24,0,1,1,2,0,0,1,1,0,0,1,2.0,,,,0,0,0,0,0,0,0.1735644752786829,-0.2481991538056432,-13.000550599089824,8.313744165341445,0.703764160468832,-0.0410865463783517,-0.1749672856989073,0.0103195017247176,0.0143642308762839,2♣ 4♢ 9♣ 10♠,sec0_m0 sec0_m1 sec0_m2,monochrome,monochrome12
