seed,variant,total_cost,cover12_count
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,3,38,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,4,32,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,5,38,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,6,39,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,7,32,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,8,29,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,9,39,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,10,39,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,11,39,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,12,38,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,13,39,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,14,32,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,15,46,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,16,39,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,17,29,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,18,29,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,19,29,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,20,39,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,21,29,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,22,39,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,23,29,296
W33_N12_58_pareto_frontier_bundle_20260112.zip:loopopt_296_cover12_total28/w33_to_n12_mapping.csv,24,29,296
