mu,line_id,mean_prob,std_prob,max_prob,min_prob,mean_density,std_density,mask_size,stability_prob,stability_density,type
0.0,0,0.03250930158716865,0.01716292819101661,0.05352839282482785,0.0,0.016254650793584326,0.008581464095508305,2,1.8941581139998303,1.894158003636501,monochrome
0.0,1,0.22055749420849055,0.12211602887974926,0.31161408625540954,0.0,0.02756968677606132,0.015264503609968658,8,1.806130566361182,1.8061304628292112,rainbow
0.0,2,0.4135739590895837,0.29409148128599744,1.0,0.16255959726724034,0.051696744886197965,0.03676143516074968,8,1.406276563587762,1.4062765301154032,rainbow
0.0,3,0.4102816269576911,0.28580743340500175,1.0,0.16849036469069878,0.05128520336971139,0.03572592917562522,8,1.4355176862765013,1.4355176511177816,rainbow
0.0,4,0.22414985661250852,0.142384345516451,0.3527169008413127,0.0,0.028018732076563566,0.017798043189556374,8,1.5742591239593209,1.5742590465644837,rainbow
0.0,5,0.20333860184264055,0.1399464117217353,0.35203324930887847,0.0,0.02541732523033007,0.017493301465216913,8,1.4529747343145702,1.452974661638019,rainbow
0.0,6,0.31300580685055845,0.15035996280347236,0.5034164247937197,0.0,0.03912572585631981,0.018794995350434045,8,2.081709777874594,2.0817096809607123,rainbow
0.0,7,0.4354544262103787,0.2767961435362902,1.0,0.21191366119902438,0.05443180327629734,0.03459951794203627,8,1.573195417659754,1.5731953778746348,rainbow
0.0,8,0.33748902085876237,0.15815162004479655,0.5260722091188603,0.0,0.042186127607345296,0.01976895250559957,8,2.133958657073571,2.133958562621742,rainbow
0.0,9,0.3041803399177895,0.3493622087569097,1.0,0.07044431114220444,0.15209016995889474,0.17468110437845485,2,0.8706732766816471,0.8706732741894678,monochrome
0.0,10,1.0000000000000002,2.0770370905276122e-16,1.0000000000000004,1.0,0.04166666666666668,1.1506853769672337e-17,24,999999792.2963343,41666666.18721444,hub
0.0,11,0.40990199985124776,0.29548273720135265,1.0,0.1649752334062732,0.05123774998140597,0.03693534215016908,8,1.3872282433362508,1.3872282104727491,rainbow
0.0,12,0.03796330259981271,0.023335271393172735,0.07131618146548854,0.0,0.018981651299906355,0.011667635696586368,2,1.626863486321237,1.6268634166043128,monochrome
0.0,13,0.4591723772985974,0.2617757153674695,1.0,0.2524821157551477,0.057396547162324674,0.03272196442093369,8,1.754067885556011,1.754067838651451,rainbow
0.0,14,0.31667776608889436,0.15021197278429335,0.5020532331341774,0.0,0.039584720761111795,0.01877649659803667,8,2.1082058780723325,2.1082057798282308,rainbow
0.0,15,0.4142635443340674,0.292528079742696,1.0,0.1793438505583446,0.05178294304175843,0.036566009967837,8,1.4161496676910423,1.4161496338035353,rainbow
0.0,16,0.2285114010953282,0.14296154571580905,0.3543361018482074,0.0,0.028563925136916024,0.01787019321447613,8,1.5984116452627806,1.5984115669978118,rainbow
0.0,17,0.31231622160607475,0.14546022925875238,0.4823865295277414,0.0,0.039039527700759344,0.018182528657344047,8,2.147090108756944,2.147090005432276,rainbow
0.0,18,0.466057071834508,0.2589577586925558,1.0,0.23702651514662748,0.0582571339793135,0.03236971983656947,8,1.7997416736529854,1.799741625003386,rainbow
0.0,19,0.2734202340598581,0.1778348512309828,0.4379759486329591,0.0,0.03417752925748226,0.02222935640387285,8,1.5374952132820576,1.5374951527626153,rainbow
0.0,20,0.36916087883381865,0.17610332202715195,0.5681024441501843,0.0,0.04614510985422733,0.022012915253393994,8,2.0962743489905677,2.0962742656649405,rainbow
0.0,21,0.4178559067380854,0.2813139086609273,1.0,0.17406465934815687,0.05223198834226068,0.035164238582615914,8,1.485372363000943,1.485372326040075,rainbow
0.0,22,0.36120697194698104,0.1700053693550981,0.5663782805921903,0.0,0.04515087149337263,0.021250671169387263,8,2.1246797744830723,2.124679686999025,rainbow
0.0,23,0.2515397669390631,0.15935559727618673,0.392988001200718,0.0,0.03144247086738289,0.01991944965952334,8,1.578480892168643,1.5784808228308485,rainbow
0.0,24,0.10641836891269704,0.07478406788244253,0.21764826633449078,0.0,0.05320918445634852,0.037392033941221266,2,1.4230085431695663,1.4230085241413355,monochrome
0.0,25,0.029545837237477515,0.024614772816603396,0.05396504945888322,0.0,0.014772918618738758,0.012307386408301698,2,1.200329422387297,1.200329373622706,monochrome
0.0,26,0.2522293521835468,0.15795281088111657,0.4054061379922793,0.0,0.03152866902294335,0.01974410136013957,8,1.596865223098324,1.5968651523299981,rainbow
0.0,27,0.04366652110881213,0.03339464103938749,0.09039122853744246,0.0,0.021833260554406066,0.016697320519693745,2,1.3075906325724176,1.3075905934167174,monochrome
0.0,28,0.33060432632285175,0.16073211279844515,0.5415278097273805,0.0,0.04132554079035647,0.020091514099805644,8,2.056865417308099,2.056865327730124,rainbow
0.0,29,0.039610600229296605,0.033082735050993066,0.07353299528417112,0.0,0.019805300114648303,0.016541367525496533,2,1.1973193561814723,1.197319319989807,monochrome
0.0,30,0.33419668872686975,0.1585472337097841,0.5235852696789385,0.0,0.04177458609085872,0.019818404213723013,8,2.107868291355612,2.107868198291375,rainbow
0.0,31,0.21134006779661568,0.13927930061769475,0.4311137039362506,0.0,0.10567003389830784,0.06963965030884738,2,1.5173831670747404,1.517383156180206,monochrome
0.0,32,0.2172651620765979,0.13441848889126562,0.34139142921145393,0.0,0.02715814525957474,0.016802311111408202,8,1.6163339005842796,1.6163338164118066,rainbow
0.0,33,0.048791654339254725,0.03671916202159899,0.09247306888494838,0.0,0.024395827169627363,0.018359581010799497,2,1.328779044079911,1.328779007892294,monochrome
