mu,lambda,st_flux_22,st_flux_8,st_flux_17,st_noflux_22,st_noflux_8,st_noflux_17,winner_flux,winner_noflux,winner_changed
0.75,0.4,5.262611289977192,14.182496788474433,2.783410877992097,5.267467810623642,14.222105425956814,2.78172319591726,8,8,False
0.75,0.41,5.266932859896998,14.313384235042198,2.708707517408212,5.261289838102849,14.35043615948949,2.707062772382924,8,8,False
0.75,0.42,5.312399984716023,14.101363871344867,2.641964651816833,5.308373878549872,14.133790418771271,2.6403599274958713,8,8,False
0.75,0.43,5.30857479958175,13.613704748359789,2.582559311951544,5.3063198177385305,13.640688032991852,2.5809920974929432,8,8,False
0.75,0.44,5.254190405696736,13.314165977455378,2.5299365867314063,5.253703113165541,13.341570271469589,2.5284047516570243,8,8,False
0.75,0.45,5.152815370219218,14.026861981113106,2.4835993726168404,5.153938398229609,14.057194134301415,2.48210114615145,8,8,False
0.75,0.46,5.012018785666225,14.530364040959848,2.443099486414173,5.014480569009656,14.563075836758026,2.4416334403010573,8,8,False
0.75,0.47,5.11975234866912,14.754242578478584,2.408029912895984,5.110950160970018,14.788418944034222,2.4065949467211545,8,8,False
0.75,0.48,5.224269608955347,14.665577917050486,2.378018009066096,5.2168175037185325,14.700073278149002,2.3766133371304536,8,8,False
0.75,0.49,5.285525195048234,14.282694419259364,2.3527195293917176,5.279674691667615,14.316373969634105,2.351344668160013,8,8,False
0.75,0.5,5.300223008055728,13.667229408358327,2.3318133726523094,5.296099520623911,13.699192839300718,2.3304681277898607,8,8,False
0.75,0.51,5.269045761926834,12.900575565211726,2.3149969823942684,5.266631480623042,12.930261416511852,2.3136814343891485,8,8,False
0.75,0.52,5.196389670763403,12.060212397238717,2.301982359965132,5.195538277101562,12.087377330712856,2.300696847339183,8,8,False
0.75,0.53,5.089340518131213,11.25755365337564,2.2924926718669707,5.089815968684778,11.282865824308848,2.2912377710190923,8,8,False
0.75,0.54,4.956295124478128,10.99932086692162,2.2862594514113783,4.95781912307982,11.026627433866341,2.285035952227917,8,8,False
0.75,0.55,5.035848245917949,10.583840232223713,2.283020407709831,5.030995641568679,10.611868285910369,2.2818292842352035,8,8,False
0.75,0.56,5.1228394800056565,10.057355812472817,2.282517861976825,5.118759492339353,10.084922045461235,2.2813602376757003,8,8,False
1.25,0.4,5.263730133611396,13.838896167809828,2.755913006454415,5.268751182113052,13.875426777116582,2.754337910975983,8,8,False
1.25,0.41,5.186262381074273,14.058884016421697,2.680801789412916,5.181466315038641,14.093538297795057,2.6792668870370164,8,8,False
