mu,lambda,winner_flux,winner_noflux
0.75,0.4,17,22
1.75,0.4,22,17
1.75,0.41,22,17
1.75,0.42,22,17
1.75,0.43,22,17
1.75,0.44,22,17
1.75,0.45,22,17
