n12_point,w33_point
C00,2
C01,4
C02,8
C03,12
C04,9
C05,28
C06,17
C07,33
C08,6
C09,37
C10,21
C11,29
C12,26
C13,5
C14,16
C15,36
C16,14
C17,11
C18,30
C19,34
C20,31
C21,39
C22,0
C23,22
C24,24
C25,23
C26,15
C27,7
C28,10
C29,35
C30,3
C31,13
C32,20
C33,18
C34,25
C37,27
F35,19
F36,1
X35,32
X36,38
