orbit_id,hyper_idx,m0,in_tomotope15
0,0,0,0
0,1,0,0
0,2,0,1
0,3,0,1
0,4,0,0
0,5,0,0
0,6,0,0
0,7,0,1
0,8,0,0
0,9,1,0
0,10,1,0
0,11,1,1
0,12,1,1
0,13,1,0
0,14,1,0
0,15,1,0
0,16,1,1
0,17,1,0
1,18,2,1
1,19,2,1
1,20,2,1
1,21,2,1
1,22,2,1
1,23,2,1
1,24,2,1
1,25,2,1
1,26,2,1
