group_element_hash,m0_map,img_size,img_m0_counts,img_intersect_tomotope15_size
21d8576b1edf,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",9
1b8d272117a5,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",9
bd08eb333962,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",12
859eea979a47,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",9
f358611627d5,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",9
01f63dbe0bb8,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",9
45acbc8fe6bb,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",9
ed126f19f08d,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",9
faa184ea8aee,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",9
571ec49ba369,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",12
ecda458e8e59,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",9
bda21a7d765e,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",9
dc81b828ae96,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",12
aed8476193b7,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",9
526ff60c6521,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",12
fc04a012582e,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",9
5fda8717d022,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",12
0378d88fad77,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",9
db57d5566fbd,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",12
d369f8e59a9a,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",12
03547edf2535,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",9
828f43997240,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",12
619efbc8de13,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",12
ada9720e6539,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",9
be7545de3cea,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",15
0b2148d7369f,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",9
02d3eb9b165b,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",12
24f4e0e905f0,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",12
d5046150213d,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",12
07ea5b97eddd,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",12
e8cf29a68acc,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",12
f355bde331d4,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",9
99514fcf8435,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",9
4efc39b76fb9,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",9
2210933ef29a,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",9
69a1ac5c6aa8,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",15
