a,b,c,outer_quad,hol_mod12,cover_mask,cover_size,cover12
8,17,30,2 33 34 38,3,3591,6,0
8,17,31,2 33 34 38,9,4039,9,0
8,30,31,2 33 34 38,3,4039,9,0
17,30,31,2 33 34 38,9,4039,9,0
4,17,26,2 5 9 10,3,4095,12,1
4,17,35,2 5 9 10,9,4095,12,1
4,26,35,2 5 9 10,3,511,9,0
17,26,35,2 5 9 10,9,4095,12,1
4,21,30,2 6 7 11,3,4095,12,1
4,21,39,2 6 7 11,9,4095,12,1
4,30,39,2 6 7 11,3,4095,12,1
21,30,39,2 6 7 11,9,4039,9,0
11,13,29,3 14 16 21,3,4095,12,1
11,13,36,3 14 16 21,9,511,9,0
11,29,36,3 14 16 21,3,4088,9,0
13,29,36,3 14 16 21,9,4095,12,1
9,13,27,3 15 17 19,3,4095,12,1
9,13,38,3 15 17 19,9,4095,12,1
9,27,38,3 15 17 19,3,4095,12,1
13,27,38,3 15 17 19,9,511,9,0
11,18,22,3 23 25 30,3,4095,12,1
11,18,38,3 23 25 30,9,4095,12,1
11,22,38,3 23 25 30,3,511,9,0
18,22,38,3 23 25 30,9,3647,9,0
9,20,22,3 24 26 28,3,3647,9,0
9,20,36,3 24 26 28,9,4095,12,1
9,22,36,3 24 26 28,3,4095,12,1
20,22,36,3 24 26 28,9,511,9,0
11,20,27,3 32 34 39,3,511,9,0
11,20,31,3 32 34 39,9,4095,12,1
11,27,31,3 32 34 39,3,4095,12,1
20,27,31,3 32 34 39,9,4095,12,1
9,18,29,3 33 35 37,3,3647,9,0
9,18,31,3 33 35 37,9,4095,12,1
9,29,31,3 33 35 37,3,4095,12,1
18,29,31,3 33 35 37,9,4095,12,1
4,18,27,3 5 7 12,3,4095,12,1
4,18,36,3 5 7 12,9,4095,12,1
4,27,36,3 5 7 12,3,511,9,0
18,27,36,3 5 7 12,9,4095,12,1
4,20,29,3 6 8 10,3,4095,12,1
4,20,38,3 6 8 10,9,511,9,0
4,29,38,3 6 8 10,3,4088,9,0
20,29,38,3 6 8 10,9,3647,9,0
0,1,2,4 13 22 31,9,4095,12,1
0,1,3,4 13 22 31,3,4032,6,0
0,2,3,4 13 22 31,9,4095,12,1
1,2,3,4 13 22 31,3,4095,12,1
0,10,11,4 14 23 32,3,4088,9,0
0,10,12,4 14 23 32,9,4039,9,0
0,11,12,4 14 23 32,3,4095,12,1
10,11,12,4 14 23 32,9,4095,12,1
0,7,8,4 15 24 33,9,4095,12,1
0,7,9,4 15 24 33,3,4088,9,0
0,8,9,4 15 24 33,9,4095,12,1
7,8,9,4 15 24 33,3,4095,12,1
1,5,8,4 16 25 34,3,4039,9,0
1,5,11,4 16 25 34,9,4095,12,1
1,8,11,4 16 25 34,3,4095,12,1
5,8,11,4 16 25 34,9,4095,12,1
2,5,9,4 17 26 35,3,4095,12,1
2,5,10,4 17 26 35,9,4095,12,1
2,9,10,4 17 26 35,3,4095,12,1
5,9,10,4 17 26 35,9,4095,12,1
3,5,7,4 18 27 36,3,4095,12,1
3,5,12,4 18 27 36,9,4039,9,0
3,7,12,4 18 27 36,3,4095,12,1
5,7,12,4 18 27 36,9,4095,12,1
1,6,9,4 19 28 37,9,4095,12,1
1,6,12,4 19 28 37,3,4095,12,1
1,9,12,4 19 28 37,9,4095,12,1
6,9,12,4 19 28 37,3,4095,12,1
3,6,8,4 20 29 38,9,4095,12,1
3,6,10,4 20 29 38,3,4095,12,1
3,8,10,4 20 29 38,9,4039,9,0
6,8,10,4 20 29 38,3,4095,12,1
2,6,7,4 21 30 39,9,4095,12,1
2,6,11,4 21 30 39,3,4095,12,1
2,7,11,4 21 30 39,9,4095,12,1
6,7,11,4 21 30 39,3,4095,12,1
0,16,17,5 13 23 33,9,4095,12,1
0,16,18,5 13 23 33,3,4095,12,1
0,17,18,5 13 23 33,9,4095,12,1
16,17,18,5 13 23 33,3,4095,12,1
0,34,35,5 14 24 31,9,4095,12,1
0,34,36,5 14 24 31,3,4095,12,1
0,35,36,5 14 24 31,9,4095,12,1
34,35,36,5 14 24 31,3,4095,12,1
0,25,26,5 15 22 32,9,4095,12,1
0,25,27,5 15 22 32,3,4095,12,1
0,26,27,5 15 22 32,9,4095,12,1
25,26,27,5 15 22 32,3,4095,12,1
6,16,27,5 19 29 39,9,4095,12,1
6,16,35,5 19 29 39,3,4095,12,1
6,27,35,5 19 29 39,9,4095,12,1
16,27,35,5 19 29 39,3,511,9,0
6,18,26,5 20 30 37,9,4095,12,1
6,18,34,5 20 30 37,3,3647,9,0
6,26,34,5 20 30 37,9,4095,12,1
18,26,34,5 20 30 37,3,4095,12,1
6,17,25,5 21 28 38,9,4095,12,1
6,17,36,5 21 28 38,3,4095,12,1
6,25,36,5 21 28 38,9,4095,12,1
17,25,36,5 21 28 38,3,4095,12,1
0,19,20,6 13 24 32,3,4095,12,1
0,19,21,6 13 24 32,9,4039,9,0
0,20,21,6 13 24 32,3,4095,12,1
19,20,21,6 13 24 32,9,4095,12,1
0,28,29,6 14 22 33,3,4095,12,1
0,28,30,6 14 22 33,9,4039,9,0
0,29,30,6 14 22 33,3,4088,9,0
28,29,30,6 14 22 33,9,3647,9,0
0,37,38,6 15 23 31,3,4095,12,1
0,37,39,6 15 23 31,9,4095,12,1
0,38,39,6 15 23 31,3,4095,12,1
37,38,39,6 15 23 31,9,4095,12,1
5,19,29,6 16 27 35,9,4095,12,1
5,19,39,6 16 27 35,3,4039,9,0
5,29,39,6 16 27 35,9,4095,12,1
19,29,39,6 16 27 35,3,4095,12,1
5,21,28,6 17 25 36,9,4039,9,0
5,21,38,6 17 25 36,3,4095,12,1
5,28,38,6 17 25 36,9,4095,12,1
21,28,38,6 17 25 36,3,3647,9,0
5,20,30,6 18 26 34,9,4095,12,1
5,20,37,6 18 26 34,3,511,9,0
5,30,37,6 18 26 34,9,4095,12,1
20,30,37,6 18 26 34,3,3647,9,0
1,15,18,7 13 25 37,9,4095,12,1
1,15,21,7 13 25 37,3,4095,12,1
1,18,21,7 13 25 37,9,4095,12,1
15,18,21,7 13 25 37,3,3647,9,0
10,15,30,7 14 26 38,9,4095,12,1
10,15,36,7 14 26 38,3,4095,12,1
10,30,36,7 14 26 38,9,4088,9,0
15,30,36,7 14 26 38,3,4095,12,1
1,33,36,7 16 28 31,9,4088,9,0
1,33,39,7 16 28 31,3,4039,9,0
1,36,39,7 16 28 31,9,4095,12,1
33,36,39,7 16 28 31,3,4095,12,1
10,21,27,7 17 29 32,9,4095,12,1
10,21,33,7 17 29 32,3,4039,9,0
10,27,33,7 17 29 32,9,4095,12,1
21,27,33,7 17 29 32,3,4095,12,1
1,24,27,7 19 22 34,9,4095,12,1
1,24,30,7 19 22 34,3,4088,9,0
1,27,30,7 19 22 34,9,4095,12,1
24,27,30,7 19 22 34,3,4095,12,1
10,18,24,7 20 23 35,9,4095,12,1
10,18,39,7 20 23 35,3,4095,12,1
10,24,39,7 20 23 35,9,4095,12,1
18,24,39,7 20 23 35,3,4095,12,1
2,15,16,8 13 26 39,9,4095,12,1
2,15,20,8 13 26 39,3,3647,9,0
2,16,20,8 13 26 39,9,4095,12,1
15,16,20,8 13 26 39,3,4095,12,1
12,15,29,8 14 27 37,9,4095,12,1
12,15,34,8 14 27 37,3,4095,12,1
12,29,34,8 14 27 37,9,4095,12,1
15,29,34,8 14 27 37,3,3647,9,0
2,33,34,8 17 30 31,9,4095,12,1
2,33,38,8 17 30 31,3,4095,12,1
2,34,38,8 17 30 31,9,3647,9,0
33,34,38,8 17 30 31,3,4095,12,1
12,20,25,8 18 28 32,9,4095,12,1
12,20,33,8 18 28 32,3,4095,12,1
12,25,33,8 18 28 32,9,4095,12,1
20,25,33,8 18 28 32,3,4095,12,1
12,16,24,8 19 23 36,9,4095,12,1
12,16,38,8 19 23 36,3,4095,12,1
12,24,38,8 19 23 36,9,4095,12,1
16,24,38,8 19 23 36,3,511,9,0
2,24,25,8 21 22 35,9,4095,12,1
2,24,29,8 21 22 35,3,4095,12,1
2,25,29,8 21 22 35,9,4095,12,1
24,25,29,8 21 22 35,3,4088,9,0
3,15,17,9 13 27 38,9,4095,12,1
3,15,19,9 13 27 38,3,4095,12,1
3,17,19,9 13 27 38,9,4039,9,0
15,17,19,9 13 27 38,3,4095,12,1
11,15,28,9 14 25 39,9,4095,12,1
11,15,35,9 14 25 39,3,4095,12,1
11,28,35,9 14 25 39,9,4095,12,1
15,28,35,9 14 25 39,3,3647,9,0
11,19,26,9 16 30 32,9,4095,12,1
11,19,33,9 16 30 32,3,4095,12,1
11,26,33,9 16 30 32,9,4095,12,1
19,26,33,9 16 30 32,3,4095,12,1
3,33,35,9 18 29 31,9,4095,12,1
3,33,37,9 18 29 31,3,4095,12,1
3,35,37,9 18 29 31,9,511,9,0
33,35,37,9 18 29 31,3,4095,12,1
3,24,26,9 20 22 36,9,511,9,0
3,24,28,9 20 22 36,3,4095,12,1
3,26,28,9 20 22 36,9,4095,12,1
24,26,28,9 20 22 36,3,4095,12,1
11,17,24,9 21 23 34,9,4095,12,1
11,17,37,9 21 23 34,3,4095,12,1
11,24,37,9 21 23 34,9,511,9,0
17,24,37,9 21 23 34,3,4095,12,1
