line_id,r2,intercept,coef_delta_coh,coef_flux_coh,coef_flux_def_mass,coef_mu,coef_lambda,mean_abs_delta,max_abs_delta
8,0.4126589698751102,0.09974134619848116,7.919272834599727,-3.791157831303502,-0.39961414475514256,0.03303242055549808,0.10708551412330879,0.028922485244554194,0.0396086374824768
19,0.8323073498527487,-1.1461972679487442,-51.033849079427256,34.508155907466396,2.872173394086594,-0.14715421253314923,-0.5229639839895488,0.023527809847628128,0.0423758783861156
39,0.5809262756859102,0.12476290491322942,8.340107940303634,-4.784802092023403,-0.4382159699224015,0.03105845166053426,0.1276859301419583,0.01945270245354116,0.0276845319912482
35,0.8290934024176411,0.038786972336030436,-7.062258168573112,5.410544773999291,0.048819302961627335,-0.0016153113582381134,-0.17212305967997835,0.015443508339366748,0.0217918512394685
26,0.7357984213725168,0.0847894778799043,-2.954550478158197,2.2623408183704266,-0.12899617451394382,0.005874199852839306,-0.07348704535083823,0.012538620247055604,0.017897822848079
3,0.8940551802415618,0.07202210993816957,5.365616807243027,-2.7237280738803293,-0.2723606266643202,0.014982114857623166,0.10011317002798877,0.012527663677193305,0.0181395271714883
18,0.8429727502670925,-0.20370268380922246,-7.265503703729224,5.818157518134975,0.40156974512715027,-0.016700146894120627,-0.031939741247220585,0.011371733133028226,0.0201545029575864
7,0.9923223909668586,0.14834205663534591,1.1114232051162416,0.27941403000472065,-0.33806000811394293,0.023760927170628873,-0.014252163230636692,0.011269032396494173,0.0151657764179118
14,0.9887261937932268,0.1387189463700998,0.9822065784070035,0.30486698892976216,-0.31624512341628513,0.022354437855117884,-0.013374504968906879,0.010940248884698398,0.01470714627228
15,0.12022833172933955,-0.4824779441779484,-10.163349014210212,1.052342340798492,1.2591354457151878,-0.08532536114735995,-0.069955137233066,0.010631870193550384,0.0235233316730685
12,0.9883123298620848,0.1323159798593817,0.7986899286176854,0.40425811397135575,-0.29847601029784787,0.02120711552186042,-0.016863303579103695,0.01058666121468012,0.0144149266209216
21,0.912643741989918,-0.01585292296335859,8.142246348590614,-9.844833887854602,0.1184159150185909,-0.019166460992727802,0.11072688561309776,0.010446395495979257,0.024654821356739
24,0.1735644752786829,-0.2481991538056432,-13.000550599089825,8.313744165341445,0.703764160468832,-0.04108654637835176,-0.1749672856989073,0.010319501724717682,0.0143642308762839
32,0.5505740923794296,0.5095493207201198,12.214948453537417,-7.688868921122027,-1.0895791097899228,0.06344559192972514,-0.03694723782713686,0.010237910224970049,0.033452068909785
1,0.9961578961698121,0.09467333887705069,0.19457296703241087,0.5963783615117138,-0.2066478699552756,0.014962673197686592,-0.02126507114784562,0.008255349691236395,0.0112983130623867
33,0.8378448126017246,-0.554015502342264,-21.216034238551593,14.648334870680188,1.2657183764992868,-0.06457126299258042,-0.14241663962598872,0.0069999206963728446,0.0176463190264914
9,0.6149480224573791,-0.7399151912931281,-29.85221783812327,20.864471794448907,1.8339755252106589,-0.10156828532185198,-0.31169850850410624,0.005801912024149036,0.0201545029575509
38,0.9777003659274645,-0.02701256638576499,4.203817139102474,-4.855766962447438,0.10206047858356498,-0.018161140670630578,0.07602133233889735,0.005325899839630358,0.0136780502256659
23,0.9609765644320012,-0.0681876975899244,3.098273060669108,-4.470943227055001,0.19482390007885148,-0.02317132675812636,0.07395023086122236,0.004551378777072269,0.0120124118462694
13,0.9899385985121197,-0.004786057055845356,1.6049277825264097,-1.8749034276242817,0.038970366060076304,-0.009911673593797762,0.02920623679066342,0.0038460383048055037,0.0082144942280217
11,0.9836541684312106,-0.022039952491613404,-3.6730387894800165,3.06237615365064,0.11365449685358665,-0.005816147006278882,-0.08625090994921741,0.003458812317412408,0.0051054071053595
5,0.9836541684312106,-0.022039952491613404,-3.6730387894800165,3.06237615365064,0.11365449685358665,-0.005816147006278882,-0.08625090994921741,0.003458812317412408,0.0051054071053595
25,0.9836541684312106,-0.022039952491613404,-3.6730387894800165,3.06237615365064,0.11365449685358665,-0.005816147006278882,-0.08625090994921741,0.003458812317412408,0.0051054071053595
30,0.9836541684312106,-0.022039952491613404,-3.6730387894800165,3.06237615365064,0.11365449685358665,-0.005816147006278882,-0.08625090994921741,0.003458812317412408,0.0051054071053595
29,0.747732338213597,0.8010810923841782,24.118613110488173,-14.346298710064085,-2.010399221416444,0.10809772726141492,0.25484692296888045,0.0033475162644040195,0.0063616550868808
22,0.09795825569568672,-0.2730698397002818,-9.375827381137999,5.5403164136750265,0.6959481425519692,-0.04027921860117659,-0.09356211759956634,0.0033015429176537804,0.0088021876991071
16,0.9814233209631058,0.3219291365682355,4.486542978501969,-0.7089154304641594,-0.7155745435567648,0.038880212296887054,-0.04265669904889545,0.003200686781064381,0.006374227476531
4,0.8702049035401764,-0.01191760338043902,0.23096858111261803,0.039987224546528616,-0.022579553002435485,0.0013730781439832262,0.0379384012451783,0.0029765083629197443,0.0068611214741451
6,0.9846064390296863,0.25412336706423005,2.361794744097834,0.558939385588274,-0.5507272837375236,0.030410094685192502,-0.06099922360862069,0.0028638058953718427,0.0058803413492629
36,0.9846064390296863,0.25412336706423005,2.361794744097834,0.558939385588274,-0.5507272837375236,0.030410094685192502,-0.06099922360862069,0.0028638058953718427,0.0058803413492629
27,0.7077907923171531,-0.13242895137008698,-4.95657769941479,3.4117401468470336,0.2940638169987643,-0.016098123943486593,-0.02392514787346974,0.0023438753185715112,0.0050210485016579
0,0.23116817391552436,0.2532889426911439,7.942625420430668,-4.771157079943863,-0.6665620400003318,0.03656306077540009,0.11028213000603992,0.0019869504069127747,0.0062537484785396
