missing_sector,missing_class,count,missing_point
0,sec0_m2,6,24-
1,sec1_m2,1,12-
1,sec1_m1,1,34+
1,sec1_m0,1,12+
2,sec2_m0,1,23-
2,sec2_m2,1,14+
2,sec2_m1,1,23+
3,sec3_m1,1,13+
3,sec3_m2,1,24+
3,sec3_m0,1,13-
