action,cycle_index_permutation,coset_rep_permutation
C_complement,0->1 1->0 2->3 3->2,e -> (0 1)(2 3) | (0 1)(2 3) -> e | (0 2)(1 3) -> (0 3)(1 2) | (0 3)(1 2) -> (0 2)(1 3)
H_tetrad_swap,0->2 1->3 2->0 3->1,e -> (0 2)(1 3) | (0 1)(2 3) -> (0 3)(1 2) | (0 2)(1 3) -> e | (0 3)(1 2) -> (0 1)(2 3)
CH,0->3 1->2 2->1 3->0,e -> (0 3)(1 2) | (0 1)(2 3) -> (0 2)(1 3) | (0 2)(1 3) -> (0 1)(2 3) | (0 3)(1 2) -> e
