n12_point,w33_point
C00,20
C01,13
C02,18
C03,3
C04,19
C05,24
C06,9
C07,35
C08,2
C09,30
C10,26
C11,22
C12,8
C13,15
C14,25
C15,38
C16,12
C17,28
C18,36
C19,14
C20,39
C21,11
C22,21
C23,6
C24,29
C25,37
C26,4
C27,10
C28,1
C29,34
C30,32
C31,33
C32,0
C33,31
C34,16
C37,23
F35,5
F36,7
X35,17
X36,27
