w33_point,n12_point
0,C32
1,C28
2,C08
3,C03
4,C26
5,F35
6,C23
7,F36
8,C12
9,C06
10,C27
11,C21
12,C16
13,C01
14,C19
15,C13
16,C34
17,X35
18,C02
19,C04
20,C00
21,C22
22,C11
23,C37
24,C05
25,C14
26,C10
27,X36
28,C17
29,C24
30,C09
31,C33
32,C30
33,C31
34,C29
35,C07
36,C18
37,C25
38,C15
39,C20
