solver,cycle_index,step,u,v,delta,rem_idx,add_idx,remp,addp,support,triad_index,triad,center_quad,outer_quad,excluded_point,triad_hol_mod12,cover12,cover_size,moved_to_next,move_edge_matching_idx,quad_id,gq42_point,orig_sheet,canonical_sheet,commutator_phase,move_idx_in_baseframe
portlaw_reduced,2,3,47,5,2,0,2,6,0,1 2 7 8,23,0 35 36,5 14 24 31,0 34 35 36,34,9,0,9,1,0,7,7,0,0,-1,0
portlaw_reduced,2,4,5,46,6,1,2,0,6,3 6 10 11,358,34 35 36,5 14 24 31,0 34 35 36,0,3,0,9,1,2,7,7,0,0,-1,1
portlaw_reduced,2,5,46,36,0,1,0,0,0,4 5 6 10,21,0 34 35,5 14 24 31,0 34 35 36,36,9,1,12,1,1,7,7,0,0,-1,2
portlaw_reduced,2,6,36,43,2,0,2,6,0,4 6 7 8,23,0 35 36,5 14 24 31,0 34 35 36,34,9,0,9,1,2,7,7,0,0,-1,1
portlaw_reduced,2,7,43,57,0,2,1,6,6,0 4 8 9,22,0 34 36,5 14 24 31,0 34 35 36,35,3,1,12,1,1,7,7,0,0,-1,2
portlaw_reduced,2,8,57,48,6,1,2,2,0,3 6 7 11,358,34 35 36,5 14 24 31,0 34 35 36,0,3,0,9,0,-1,7,7,0,0,1,1
portlaw_reduced,2,9,48,0,6,0,1,0,6,4 5 9 10,358,34 35 36,5 14 24 31,0 34 35 36,0,3,0,9,0,-1,7,7,0,0,1,1
portlaw_reduced,2,10,0,20,4,0,1,0,4,3 7 9 10,358,34 35 36,5 14 24 31,0 34 35 36,0,3,0,9,1,2,7,7,0,0,-1,1
portlaw_reduced,3,0,45,27,4,1,0,6,2,6 7 9 10,358,34 35 36,5 14 24 31,0 34 35 36,0,3,0,9,1,2,7,7,0,0,-1,1
portlaw_reduced,3,1,27,12,0,1,0,0,0,4 5 6 9,21,0 34 35,5 14 24 31,0 34 35 36,36,9,1,12,0,-1,7,7,0,0,1,1
portlaw_reduced,3,2,12,15,2,0,2,6,0,1 2 7 10,21,0 34 35,5 14 24 31,0 34 35 36,36,9,1,12,0,-1,7,7,0,0,1,1
portlaw_reduced,3,3,15,53,0,2,0,0,0,1 4 6 10,21,0 34 35,5 14 24 31,0 34 35 36,36,9,1,12,1,1,7,7,0,0,-1,2
portlaw_reduced,3,4,53,39,2,0,2,6,0,0 1 4 8,23,0 35 36,5 14 24 31,0 34 35 36,34,9,0,9,1,0,7,7,0,0,-1,0
portlaw_reduced,3,5,39,11,6,1,2,0,6,3 6 10 11,358,34 35 36,5 14 24 31,0 34 35 36,0,3,0,9,0,-1,7,7,0,0,1,1
portlaw_reduced,3,6,11,50,0,2,1,6,6,3 5 9 10,358,34 35 36,5 14 24 31,0 34 35 36,0,3,0,9,1,1,7,7,0,0,-1,2
portlaw_reduced,3,7,50,34,6,2,0,0,6,0 1 4 8,22,0 34 36,5 14 24 31,0 34 35 36,35,3,1,12,1,0,7,7,0,0,-1,0
portlaw_reduced,3,8,34,38,0,0,2,0,0,1 4 5 10,21,0 34 35,5 14 24 31,0 34 35 36,36,9,1,12,0,-1,7,7,0,0,1,1
portlaw_reduced,3,9,38,56,0,1,2,6,6,0 3 8 9,21,0 34 35,5 14 24 31,0 34 35 36,36,9,1,12,0,-1,7,7,0,0,1,1
portlaw_reduced,3,10,56,47,0,1,2,6,6,1 3 8 10,21,0 34 35,5 14 24 31,0 34 35 36,36,9,1,12,1,1,7,7,0,0,-1,2
portlaw_reduced,3,11,47,5,2,0,2,6,0,1 2 7 8,23,0 35 36,5 14 24 31,0 34 35 36,34,9,0,9,1,0,7,7,0,0,-1,0
portlaw_reduced,3,12,5,46,6,1,2,0,6,3 6 10 11,358,34 35 36,5 14 24 31,0 34 35 36,0,3,0,9,1,2,7,7,0,0,-1,1
portlaw_reduced,3,13,46,36,0,1,0,0,0,4 5 6 10,21,0 34 35,5 14 24 31,0 34 35 36,36,9,1,12,1,1,7,7,0,0,-1,2
portlaw_reduced,3,14,36,43,2,0,2,6,0,4 6 7 8,23,0 35 36,5 14 24 31,0 34 35 36,34,9,0,9,1,2,7,7,0,0,-1,1
portlaw_reduced,3,15,43,57,0,2,1,6,6,0 4 8 9,22,0 34 36,5 14 24 31,0 34 35 36,35,3,1,12,1,1,7,7,0,0,-1,2
portlaw_reduced,3,16,57,45,6,0,1,0,6,4 5 9 10,358,34 35 36,5 14 24 31,0 34 35 36,0,3,0,9,0,-1,7,7,0,0,1,1
portlaw_reduced,4,0,26,27,4,0,2,0,4,3 7 10 11,358,34 35 36,5 14 24 31,0 34 35 36,0,3,0,9,1,2,7,7,0,0,-1,1
portlaw_reduced,4,1,27,12,0,1,0,0,0,4 5 6 9,21,0 34 35,5 14 24 31,0 34 35 36,36,9,1,12,0,-1,7,7,0,0,1,1
portlaw_reduced,4,2,12,15,2,0,2,6,0,1 2 7 10,21,0 34 35,5 14 24 31,0 34 35 36,36,9,1,12,0,-1,7,7,0,0,1,1
portlaw_reduced,4,3,15,53,0,2,0,0,0,1 4 6 10,21,0 34 35,5 14 24 31,0 34 35 36,36,9,1,12,1,1,7,7,0,0,-1,2
portlaw_reduced,4,4,53,39,2,0,2,6,0,0 1 4 8,23,0 35 36,5 14 24 31,0 34 35 36,34,9,0,9,1,0,7,7,0,0,-1,0
portlaw_reduced,4,5,39,11,6,1,2,0,6,3 6 10 11,358,34 35 36,5 14 24 31,0 34 35 36,0,3,0,9,0,-1,7,7,0,0,1,1
portlaw_reduced,4,6,11,50,0,2,1,6,6,3 5 9 10,358,34 35 36,5 14 24 31,0 34 35 36,0,3,0,9,1,1,7,7,0,0,-1,2
portlaw_reduced,4,7,50,34,6,2,0,0,6,0 1 4 8,22,0 34 36,5 14 24 31,0 34 35 36,35,3,1,12,1,0,7,7,0,0,-1,0
portlaw_reduced,4,8,34,38,0,0,2,0,0,1 4 5 10,21,0 34 35,5 14 24 31,0 34 35 36,36,9,1,12,0,-1,7,7,0,0,1,1
portlaw_reduced,4,9,38,56,0,1,2,6,6,0 3 8 9,21,0 34 35,5 14 24 31,0 34 35 36,36,9,1,12,0,-1,7,7,0,0,1,1
portlaw_reduced,4,10,56,47,0,1,2,6,6,1 3 8 10,21,0 34 35,5 14 24 31,0 34 35 36,36,9,1,12,1,1,7,7,0,0,-1,2
portlaw_reduced,4,11,47,5,2,0,2,6,0,1 2 7 8,23,0 35 36,5 14 24 31,0 34 35 36,34,9,0,9,1,0,7,7,0,0,-1,0
portlaw_reduced,4,12,5,46,6,1,2,0,6,3 6 10 11,358,34 35 36,5 14 24 31,0 34 35 36,0,3,0,9,1,2,7,7,0,0,-1,1
portlaw_reduced,4,13,46,36,0,1,0,0,0,4 5 6 10,21,0 34 35,5 14 24 31,0 34 35 36,36,9,1,12,1,1,7,7,0,0,-1,2
portlaw_reduced,4,14,36,43,2,0,2,6,0,4 6 7 8,23,0 35 36,5 14 24 31,0 34 35 36,34,9,0,9,1,2,7,7,0,0,-1,1
portlaw_reduced,4,15,43,57,0,2,1,6,6,0 4 8 9,22,0 34 36,5 14 24 31,0 34 35 36,35,3,1,12,1,1,7,7,0,0,-1,2
portlaw_reduced,4,16,57,48,6,1,2,2,0,3 6 7 11,358,34 35 36,5 14 24 31,0 34 35 36,0,3,0,9,0,-1,7,7,0,0,1,1
portlaw_reduced,4,17,48,0,6,0,1,0,6,4 5 9 10,358,34 35 36,5 14 24 31,0 34 35 36,0,3,0,9,0,-1,7,7,0,0,1,1
portlaw_reduced,4,18,0,26,6,2,0,2,0,6 9 10 11,358,34 35 36,5 14 24 31,0 34 35 36,0,3,0,9,0,-1,7,7,0,0,1,1
