node,theta_ls,theta_mod_2pi,label_mincut_0or1,sign_mincut_pm1
0,0.0,0.0,0,1
1,-0.5956084168817773,5.687576890297809,0,1
2,-0.578028277592479,5.705157029587108,0,1
3,-0.6541626948728212,5.629022612306765,0,1
4,-0.6971055316756254,5.586079775503961,0,1
5,-0.7307586393365662,5.5524266678430205,0,1
6,-0.45580476564984007,5.827380541529746,0,1
7,-0.6975744756596938,5.585610831519892,0,1
8,-0.6456125153693322,5.637572791810254,0,1
9,-0.6141049326599282,5.669080374519658,0,1
10,0.6937915410056887,0.6937915410056887,0,1
11,-0.6513502152213223,5.631835091958264,0,1
12,-1.3197231135420413,4.963462193637545,1,-1
13,-0.6313482780273051,5.651837029152281,0,1
14,-0.6066260472591806,5.676559259920405,0,1
15,-0.6879278264664979,5.595257480713088,0,1
16,-0.6348290664062624,5.648356240773324,0,1
17,-0.6041009201145847,5.679084387065002,0,1
18,-0.40525853550080404,5.877926771678782,0,1
19,-0.8104369636113038,5.472748343568282,0,1
20,-1.1742899778281095,5.108895329351476,1,-1
21,-0.4874994187666058,5.79568588841298,0,1
22,-0.7045118221379632,5.578673485041623,0,1
23,-0.6525430064650631,5.630642300714523,0,1
24,-0.6696436101338069,5.613541697045779,0,1
25,-0.6669436263695334,5.616241680810052,0,1
26,0.40556169504340345,0.40556169504340345,0,1
27,-0.8234404015755215,5.459744905604065,1,-1
28,-0.6865040036981924,5.596681303481394,0,1
29,-0.6765417545741046,5.606643552605481,0,1
30,-0.6770682110876494,5.606117096091937,0,1
31,-0.6259231267464873,5.657262180433099,0,1
32,-0.5434445604010796,5.739740746778507,0,1
33,-0.14605661207408738,6.137128695105499,0,1
34,-0.643243110239614,5.639942196939972,0,1
35,-0.24658129924172592,6.036604007937861,0,1
36,-0.7190761407293512,5.564109166450235,0,1
37,-0.47921144320653114,5.803973863973055,0,1
38,-0.7094754247098595,5.573709882469727,0,1
39,-0.6543107015685385,5.628874605611047,0,1
40,-0.823240404920953,5.459944902258633,0,1
41,-0.7553652662592114,5.527820040920375,0,1
42,-0.7483741416974309,5.5348111654821555,0,1
43,-0.744007175947846,5.53917813123174,0,1
44,-0.7375540185612186,5.545631288618368,0,1
45,-1.397402333523558,4.8857829736560285,0,1
46,-0.7156467705805141,5.567538536599072,0,1
47,-0.7070791707571398,5.576106136422446,0,1
48,-0.5196572716316903,5.763528035547896,0,1
49,-0.7732653348003959,5.5099199723791905,0,1
50,-0.6299838380743963,5.6532014691051895,0,1
51,-0.34350886359380683,5.939676443585779,0,1
52,-0.6681217097051608,5.615063597474426,0,1
53,-0.6659693741149602,5.617215933064626,0,1
54,-0.5656836994125716,5.717501607767015,0,1
55,-0.638666065869497,5.644519241310089,0,1
56,-0.6825228063804916,5.6006625007990944,0,1
57,-0.887022260367697,5.396163046811889,0,1
58,-0.7590015809190116,5.524183726260574,0,1
