node,mean,median,max,cycle_count,cycle_length_sum
6,14.991392696191706,15.1657508881031,15.491933384829668,0,0
20,14.640497139767142,15.031971592959572,15.231546211727816,2,20
0,13.01328605806658,13.376529372794929,13.638181696985855,3,39
27,12.583612912950125,13.02006860337002,13.71130920080209,2,36
5,11.612282849761195,11.74734012447073,11.999999999999998,4,56
14,11.612282849761195,11.74734012447073,11.999999999999998,0,0
13,11.612282849761195,11.74734012447073,11.999999999999998,0,0
35,11.612282849761195,11.74734012447073,11.999999999999998,0,0
38,11.612282849761195,11.74734012447073,11.999999999999998,3,47
32,11.612282849761195,11.74734012447073,11.999999999999998,0,0
1,11.612282849761195,11.74734012447073,11.999999999999998,0,0
50,11.612282849761195,11.74734012447073,11.999999999999998,2,36
40,11.612282849761195,11.74734012447073,11.999999999999998,1,9
45,11.149451707297803,11.483844145929638,11.832159566199232,1,17
25,9.481389243595686,9.591663046625438,9.797958971132712,0,0
18,9.481389243595686,9.591663046625438,9.797958971132712,0,0
17,9.481389243595686,9.591663046625438,9.797958971132712,0,0
19,9.481389243595686,9.591663046625438,9.797958971132712,0,0
15,9.481389243595686,9.591663046625438,9.797958971132712,3,40
23,9.481389243595686,9.591663046625438,9.797958971132712,0,0
24,9.481389243595686,9.591663046625438,9.797958971132712,0,0
22,9.481389243595686,9.591663046625438,9.797958971132712,0,0
11,9.481389243595686,9.591663046625438,9.797958971132712,2,36
8,9.481389243595686,9.591663046625438,9.797958971132712,0,0
2,9.481389243595686,9.591663046625438,9.797958971132712,0,0
4,9.481389243595686,9.591663046625438,9.797958971132712,0,0
3,9.481389243595686,9.591663046625438,9.797958971132712,0,0
54,9.481389243595686,9.591663046625438,9.797958971132712,0,0
53,9.481389243595686,9.591663046625438,9.797958971132712,2,36
57,9.481389243595686,9.591663046625438,9.797958971132712,4,56
58,9.481389243595686,9.591663046625438,9.797958971132712,0,0
46,9.481389243595686,9.591663046625438,9.797958971132712,4,56
47,9.481389243595686,9.591663046625438,9.797958971132712,3,47
48,9.481389243595686,9.591663046625438,9.797958971132712,3,39
34,9.481389243595686,9.591663046625438,9.797958971132712,2,36
41,9.481389243595686,9.591663046625438,9.797958971132712,0,0
39,9.481389243595686,9.591663046625438,9.797958971132712,2,36
42,9.481389243595686,9.591663046625438,9.797958971132712,0,0
36,9.481389243595686,9.591663046625438,9.797958971132712,4,56
43,9.481389243595686,9.591663046625438,9.797958971132712,4,56
44,9.481389243595686,9.591663046625438,9.797958971132712,0,0
33,9.481389243595686,9.591663046625438,9.797958971132712,1,4
28,9.481389243595686,9.591663046625438,9.797958971132712,0,0
49,9.481389243595686,9.591663046625438,9.797958971132712,0,0
26,8.897958022573636,9.206578800957004,9.69535971483266,1,19
12,8.897958022573636,9.206578800957004,9.69535971483266,3,40
51,6.704354629215702,6.782329983125269,6.92820323027551,0,0
7,6.704354629215702,6.782329983125269,6.92820323027551,0,0
21,6.704354629215702,6.782329983125269,6.92820323027551,0,0
9,6.704354629215702,6.782329983125269,6.92820323027551,0,0
16,6.704354629215702,6.782329983125269,6.92820323027551,0,0
56,6.704354629215702,6.782329983125269,6.92820323027551,3,47
37,6.704354629215702,6.782329983125269,6.92820323027551,0,0
31,6.704354629215702,6.782329983125269,6.92820323027551,0,0
30,6.704354629215702,6.782329983125269,6.92820323027551,0,0
55,6.704354629215702,6.782329983125269,6.92820323027551,0,0
52,6.704354629215702,6.782329983125269,6.92820323027551,0,0
10,5.78697727067005,6.109852926202345,6.92820323027551,1,4
29,0.0,0.0,0.0,0,0
