m0,m1,m2,m3,sum_m_mod3,pred_coef_delta_coh,pred_coef_flux_coh,pred_coef_flux_def_mass,pred_coef_mu,pred_coef_lambda
0,0,0,0,0,-12.332880409452597,6.868301414333681,1.0187321175208432,-0.05675259730597809,-0.09612891358365336
0,0,0,1,1,6.622131962026783,-4.849804625119194,-0.2434069953912914,0.011889173289622416,0.08005894505913935
0,0,0,2,2,1.7942976430051227,-1.2901950802303326,0.05624751720174283,-0.000803993372961896,0.05760997862317634
0,0,1,0,1,-0.8747037595743881,0.4099071212132547,0.043309688565236745,-0.007802857263840921,-0.0436508741477294
0,0,1,1,2,2.4181164497693937,-1.8913182953366066,-0.07075184009129781,-0.0009763246678901453,0.043272609167463186
0,0,1,2,0,3.671292273918589,-1.8702821713534175,-0.21339256905667264,0.010842246433967938,0.056493065810901605
0,0,2,0,2,-6.533299794255615,4.163964100885633,0.4186717448336791,-0.027310915368008226,-0.07830274172689823
0,0,2,1,0,2.8405305582590232,-1.6758347365699,-0.1376850253812646,0.004027354992384944,0.04429016466769579
0,0,2,2,1,-9.818399841830438,6.592215119770469,0.7360082793395697,-0.03957343067002423,-0.022790989432067282
0,1,0,0,1,2.7732097103764444,-4.760757650376658,0.180314227550182,-0.01948259419486244,0.03632278496892949
0,1,0,1,2,4.230208910700043,-3.0553080235564125,-0.3699418801240563,0.017911681408728567,-0.01561218772429701
0,1,0,2,0,6.40129523935933,-5.037609421258277,-0.2944853195805793,0.014446381006766533,0.06703749692335095
0,1,1,0,2,7.780037413663662,-6.942857433777829,-0.2354324931871627,0.002469813219487962,0.05756751709481956
0,1,1,1,0,-8.175241486045282,5.349339706491265,0.4941325339635901,-0.028347030411953234,-0.09259459551040569
0,1,1,2,1,3.577026861578747,-2.5112688932079408,-0.1361932481901239,0.00549116942129207,0.04365004138544096
0,1,2,0,0,3.597029914380988,-4.157080818419243,-0.008164740458460329,-0.009935459806168431,0.029569538586269047
0,1,2,1,1,-2.777066966363214,2.2568091198525093,0.01561794399510142,-0.003448803202402288,-0.06699762177075752
0,1,2,2,2,-6.686990780874783,3.8130811430563174,0.5333697460969875,-0.03142584136880672,-0.020017360202510985
0,2,0,0,2,-0.9953415096618325,-2.0564669642867113,0.3390732949940371,-0.02583852135407847,-0.0073568525704071856
0,2,0,1,0,7.460578338342714,-5.892928280057191,-0.4353807647297584,0.020783620510134816,0.04580682581997728
0,2,0,2,1,-6.116262566256839,4.37845909796823,0.220215250482224,-0.007533293648454246,-0.09070355628399533
