element,comm_norm_coin,comm_norm_transport,comm_norm_total
e,0.0,0.0,0.0
e*,0.0,69.05070600652827,69.05070600652827
(0 1)(2 3),0.0,76.10519036176179,76.10519036176179
(0 1)(2 3)*,0.0,76.10519036176179,76.10519036176179
(0 2)(1 3),0.0,72.49827584156743,72.49827584156743
(0 2)(1 3)*,0.0,72.49827584156743,72.49827584156743
(0 3)(1 2),0.0,72.27724399837061,72.27724399837061
(0 3)(1 2)*,0.0,72.27724399837061,72.27724399837061
(0 1 2),0.0,75.63068160475615,75.63068160475615
(0 1 2)*,0.0,77.14920608794364,77.14920608794364
(0 1 3),0.0,77.14920608794364,77.14920608794364
(0 1 3)*,0.0,77.14920608794364,77.14920608794364
(0 2 1),0.0,75.63068160475615,75.63068160475615
(0 2 1)*,0.0,77.14920608794364,77.14920608794364
(0 2 3),0.0,75.63068160475615,75.63068160475615
(0 2 3)*,0.0,75.63068160475615,75.63068160475615
(0 3 1),0.0,77.14920608794364,77.14920608794364
(0 3 1)*,0.0,77.14920608794364,77.14920608794364
(0 3 2),0.0,75.63068160475615,75.63068160475615
(0 3 2)*,0.0,75.63068160475615,75.63068160475615
(1 2 3),0.0,77.14920608794364,77.14920608794364
(1 2 3)*,0.0,77.14920608794364,77.14920608794364
(1 3 2),0.0,77.14920608794364,77.14920608794364
(1 3 2)*,0.0,77.14920608794364,77.14920608794364
