generator,commutator_frobenius
"(1,3,2,4)(5,8,6,7)(9,16,10,15)(11,19,12,20)(13,21,14,22)(17,24,18,23)",8.722385e+01
"(1,9,14,2,10,13)(3,24,20,4,23,19)(5,18,22,6,17,21)(7,15,11,8,16,12)",8.701724e+01
