line_id,mean_delta,mean_abs_delta,max_abs_delta,std_delta,mean_flux,mean_noflux,card_basis
0,0.0017218626309966482,0.0019869504069128206,0.006253748478539656,0.0020371429929762386,5.302175899888412,5.300454037257414,2♡ 3♠ 8♡ 9♡
1,0.00825534969123644,0.00825534969123644,0.011298313062386711,0.0012622122486828065,5.055417349294277,5.047161999603041,1♡ 3♠ 6♠ 10♠
2,-0.000705304932308466,0.0016091061982513451,0.005021048501657965,0.0019482855683611595,4.569301992115265,4.570007297047574,7♠ 7♡ 7♢ 7♣
3,-0.012527663677193357,0.012527663677193357,0.018139527171488368,0.0029689682287331724,9.465686172551285,9.478213836228479,3♢ 4♣ 8♠ 10♡
4,-0.002976508362919793,0.002976508362919793,0.006861121474145193,0.0020807376514892003,6.174678323942101,6.177654832305021,2♣ 3♢ 6♢ 7♠
5,0.003458812317412455,0.003458812317412455,0.005105407105359561,0.0013014614718993396,6.001772025525501,5.998313213208087,5♡ 7♣ 8♢ 10♠
6,0.0013566683086913937,0.0028638058953718904,0.005880341349262963,0.002984068271220372,8.723966546990479,8.722609878681787,3♠ 3♡ 3♢ 3♣
7,0.01126903239649422,0.01126903239649422,0.015165776417911836,0.0017488042004888031,5.881071237872268,5.869802205475774,6♠ 6♡ 6♢ 6♣
8,-0.02892248524455424,0.02892248524455424,0.039608637482476894,0.004551132060294476,12.988864158499661,13.017786643744216,3♡ 4♠ 8♣ 10♣
9,-0.0031460122376293386,0.00580191202414908,0.020154502957550946,0.007363165942663998,7.879240207382287,7.882386219619916,6♡ 7♢ 8♠ 9♣
10,-0.00019386211219474042,0.0008676125495143917,0.0020660800230141163,0.0010380699389950232,4.930122608312845,4.930316470425041,9♠ 9♡ 9♢ 9♣
11,0.003458812317412455,0.003458812317412455,0.005105407105359561,0.0013014614718993396,6.001772025525501,5.998313213208087,2♡ 4♠ 5♡ 6♡
12,0.01058666121468017,0.01058666121468017,0.014414926620921698,0.0016415240164776306,5.687835025689663,5.677248364474981,6♠ 7♡ 8♣ 9♢
13,0.0038460383048055614,0.0038460383048055614,0.008214494228021785,0.002623177124065149,6.75857320195126,6.754727163646455,3♠ 4♡ 5♢ 7♢
14,0.010940248884698443,0.010940248884698443,0.014707146272280092,0.0016865747405577526,5.788232853914988,5.77729260503029,2♢ 4♣ 5♣ 6♠
15,-0.004043297340008942,0.010631870193550426,0.023523331673068526,0.011719015555166053,8.614311915894724,8.618355213234734,8♠ 8♡ 8♢ 8♣
16,0.0012078857539475146,0.0032006867810644326,0.006374227476531047,0.003463571510621457,9.208718757276124,9.207510871522176,3♣ 4♢ 5♠ 7♡
17,0.0012889051225446393,0.0012889051225446393,0.0016876820748357169,0.0001845025703878496,2.40408393119885,2.4027950260763054,1♠ 1♡ 1♢ 1♣
18,-0.011371733133028266,0.011371733133028266,0.020154502957586473,0.004769834929843788,6.580090909496952,6.59146264262998,1♡ 2♠ 5♠ 8♠
19,0.023507046015737457,0.023527809847628173,0.04237587838611567,0.010943073536661543,11.67809235156592,11.654585305550182,10♠ 10♡ 10♢ 10♣
20,-0.00022301125871923512,0.00034271195484016217,0.0007707470028974761,0.00034875658886033276,2.8900931480550787,2.8903161593137976,1♠ 4♡ 6♢ 8♢
21,0.010446395495979312,0.010446395495979312,0.02465482135673902,0.005347226006385707,9.81694153455292,9.80649513905694,1♢ 2♢ 7♢ 10♣
22,0.0021585904445281024,0.0033015429176538303,0.008802187699107122,0.003382321419982234,5.142298325522705,5.1401397350781775,5♣ 7♠ 8♡ 10♢
