line_id,mean_delta,mean_abs_delta,max_abs_delta,std_delta,mean_flux,mean_noflux,card_basis
8,-0.02892248524455424,0.02892248524455424,0.039608637482476894,0.004551132060294476,12.988864158499661,13.017786643744216,3♡ 4♠ 8♣ 10♣
19,0.023507046015737457,0.023527809847628173,0.04237587838611567,0.010943073536661543,11.67809235156592,11.654585305550182,10♠ 10♡ 10♢ 10♣
39,-0.01945270245354121,0.01945270245354121,0.027684531991248207,0.0031003062089962306,11.115514938254476,11.134967640708018,2♠ 3♡ 6♣ 7♣
35,0.015443508339366788,0.015443508339366788,0.021791851239468585,0.003638799323112304,8.112213224538447,8.09676971619908,1♣ 2♣ 5♢ 8♣
26,0.012538620247055654,0.012538620247055654,0.01789782284807906,0.0017530535991905614,7.2339244791639965,7.22138585891694,2♠ 2♡ 2♢ 2♣
3,-0.012527663677193357,0.012527663677193357,0.018139527171488368,0.0029689682287331724,9.465686172551285,9.478213836228479,3♢ 4♣ 8♠ 10♡
18,-0.011371733133028266,0.011371733133028266,0.020154502957586473,0.004769834929843788,6.580090909496952,6.59146264262998,1♡ 2♠ 5♠ 8♠
7,0.01126903239649422,0.01126903239649422,0.015165776417911836,0.0017488042004888031,5.881071237872268,5.869802205475774,6♠ 6♡ 6♢ 6♣
14,0.010940248884698443,0.010940248884698443,0.014707146272280092,0.0016865747405577526,5.788232853914988,5.77729260503029,2♢ 4♣ 5♣ 6♠
15,-0.004043297340008942,0.010631870193550426,0.023523331673068526,0.011719015555166053,8.614311915894724,8.618355213234734,8♠ 8♡ 8♢ 8♣
12,0.01058666121468017,0.01058666121468017,0.014414926620921698,0.0016415240164776306,5.687835025689663,5.677248364474981,6♠ 7♡ 8♣ 9♢
21,0.010446395495979312,0.010446395495979312,0.02465482135673902,0.005347226006385707,9.81694153455292,9.80649513905694,1♢ 2♢ 7♢ 10♣
24,0.010319501724717722,0.010319501724717722,0.014364230876283912,0.0025164100331355574,7.0302061741073,7.019886672382583,2♣ 4♢ 9♣ 10♠
32,0.000987691913310626,0.010237910224970097,0.03345206890978503,0.012955470800808045,7.198124968487173,7.197137276573864,1♢ 4♢ 6♣ 8♡
1,0.00825534969123644,0.00825534969123644,0.011298313062386711,0.0012622122486828065,5.055417349294277,5.047161999603041,1♡ 3♠ 6♠ 10♠
