line_id,suit,cards,point_ids
9,♠,6♠ 7♠ 8♠ 9♠,10 20 26 32
24,♠,2♠ 4♠ 9♠ 10♠,12 19 27 32
31,♠,1♠ 3♠ 5♠ 9♠,0 31 32 33
27,♡,1♡ 4♡ 7♡ 9♡,3 4 9 11
29,♡,2♡ 3♡ 8♡ 9♡,11 16 23 39
33,♡,5♡ 6♡ 9♡ 10♡,11 14 30 34
12,♢,6♢ 7♢ 8♢ 9♢,8 15 25 38
25,♢,1♢ 3♢ 5♢ 9♢,5 18 25 35
38,♢,2♢ 4♢ 9♢ 10♢,1 22 25 28
0,♣,2♣ 3♣ 8♣ 9♣,2 13 17 21
34,♣,1♣ 4♣ 7♣ 9♣,6 21 29 37
37,♣,5♣ 6♣ 9♣ 10♣,7 21 24 36
