lam,mu,best_line_flux,stability_flux,best_line_noflux,stability_noflux
0.4,0.75,22,1.407001581228032,8,1.4091378708668139
0.41,0.75,22,1.4044384994575716,8,1.4064450438354195
0.42,0.75,22,1.4014040521015687,8,1.4033828543917386
0.43,0.75,22,1.3978334882278516,8,1.399886777523983
0.47,1.0,22,1.3734702174154263,17,1.3746926169600069
