line_id,corr_deltaS_deltaCoh,corr_deltaS_fluxCoh,corr_deltaS_fluxDefMass,mean_abs_delta
8,-0.32297572288025767,-0.08202874242266603,0.48060692179731584,0.028922485244554194
19,-0.40901089545415786,0.07753455040177298,0.41618942131445597,0.023527809847628128
39,-0.3421652390661316,-0.010965832021076656,0.49551106489854707,0.01945270245354116
35,-0.2621419226042836,-0.6603713353146233,0.2060065218420841,0.015443508339366748
26,-0.20116809228274882,-0.5618903066699691,0.07271218759540858,0.012538620247055604
3,0.5499390506461721,0.8690382996901287,-0.46206387367398616,0.012527663677193305
18,-0.13596350446878164,0.36682806848664046,0.206885311494632,0.011371733133028226
7,-0.8260520754752069,-0.780169110909854,0.9180024722715792,0.011269032396494173
14,-0.8328060339893424,-0.7695324973783161,0.9238701762154091,0.010940248884698398
15,-0.03230554705097469,-0.15900182274035768,-0.06684509632960817,0.010631870193550384
12,-0.8243988537590587,-0.7897271577248811,0.9130277353415542,0.01058666121468012
21,0.06353416910211508,-0.41929257398183706,-0.20753700865958277,0.010446395495979257
24,-0.04147206340035724,-0.11682150468594157,-0.07284046800605128,0.010319501724717682
32,-0.1648824277620477,-0.5248354368654022,0.1532974173773654,0.010237910224970049
1,-0.804986096203865,-0.8270045122895476,0.8861569718177975,0.008255349691236395
33,-0.1445154642633744,0.362042518816254,0.1722213157162636,0.0069999206963728446
9,0.23170505927014315,0.5841318840491179,-0.226361040921903,0.005801912024149036
38,0.7737614645813189,0.4683091508086,-0.9010521558754429,0.005325899839630358
23,0.7287856204574348,0.4491043884220155,-0.883242860741649,0.004551378777072269
13,0.8548236127771923,0.609741262473581,-0.9625381659718995,0.0038460383048055037
25,0.22153615967576115,-0.29448214307084625,-0.22871703769576093,0.003458812317412408
30,0.22153615967576115,-0.29448214307084625,-0.22871703769576093,0.003458812317412408
11,0.22153615967576115,-0.29448214307084625,-0.22871703769576093,0.003458812317412408
5,0.22153615967576115,-0.29448214307084625,-0.22871703769576093,0.003458812317412408
29,0.5247589651903886,0.19556406451928976,-0.5153053077858635,0.0033475162644040195
22,0.028725311154681573,0.15221814058446367,-0.0736484951268042,0.0033015429176537804
16,0.559003414202847,0.06587902936889206,-0.5416311800304607,0.003200686781064381
4,0.12963108871886406,0.6055273068994473,-0.09292123156709513,0.0029765083629197443
6,0.5397149735976224,0.04602209047118453,-0.5171368994158299,0.0028638058953718427
36,0.5397149735976224,0.04602209047118453,-0.5171368994158299,0.0028638058953718427
27,0.04740498862421059,0.49213415750569356,-0.03646051679515825,0.0023438753185715112
0,0.10681746998215914,0.2968560301039423,-0.08185438868694996,0.0019869504069127747
2,0.33060228530974434,0.6129120720223851,-0.3404091375125898,0.0016091061982512968
34,-0.2626890512518147,-0.7154528090585672,0.2408809175774625,0.0015838462187076398
37,-0.2801613914636607,-0.7245529441652562,0.272337744588767,0.0013504470492692532
17,0.4901536388337118,-0.011136076017276024,-0.6117136103083811,0.0012889051225445883
10,-0.24073200331744973,-0.5635318117581416,0.2806703741480926,0.0008676125495143485
28,0.42786113082306987,0.18569699907784795,-0.3964633721455922,0.00044766330387038404
31,0.29034205368332583,0.33313031067881677,-0.2597843177846007,0.0003705151227652207
20,-0.3875803880058701,-0.13197884286226974,0.5354136856778103,0.00034271195484012346
