cycle_nodes,holonomy,num_supports,avg_included_all,avg_included_defects,min_included_defects,max_included_defects,defects_with_zero,defects_count
12-10-33-15,(0 1 2),4,3.511111111111111,0.9655172413793104,0,1,2,58
20-40-5-46-36-43-57-48-0,(0 2 1),9,7.905555555555556,2.206896551724138,0,7,14,58
20-38-56-47-5-46-36-43-57-48-0,(0 2 1),11,9.652777777777779,2.6379310344827585,0,6,2,58
45-27-12-15-53-39-11-50-34-38-56-47-5-46-36-43-57,(0 2 1),17,14.966666666666667,4.379310344827586,0,8,1,58
26-27-12-15-53-39-11-50-34-38-56-47-5-46-36-43-57-48-0,(0 2 1),19,16.72222222222222,4.862068965517241,0,10,1,58
