n12_point,w33_point
C00,36
C01,26
C02,5
C03,16
C04,8
C05,12
C06,2
C07,4
C08,0
C09,33
C10,31
C11,32
C12,22
C13,28
C14,25
C15,1
C16,27
C17,15
C18,7
C19,39
C20,18
C21,30
C22,38
C23,23
C24,10
C25,17
C26,35
C27,19
C28,20
C29,13
C30,37
C31,6
C32,29
C33,21
C34,14
C37,11
F35,3
F36,34
X35,24
X36,9
