w33_point,n12_point
0,C08
1,C15
2,C06
3,F35
4,C07
5,C02
6,C31
7,C18
8,C04
9,X36
10,C24
11,C37
12,C05
13,C29
14,C34
15,C17
16,C03
17,C25
18,C20
19,C27
20,C28
21,C33
22,C12
23,C23
24,X35
25,C14
26,C01
27,C16
28,C13
29,C32
30,C21
31,C10
32,C11
33,C09
34,F36
35,C26
36,C00
37,C30
38,C22
39,C19
