name,cover12_four_center_triads,loop_total_min_cover12,cycle_costs
loopopt_296_cover12_total28,296,28,"[1, 3, 5, 9, 10]"
cover306_total30,306,30,"[2, 4, 5, 9, 10]"
v4_cover307_total31,307,31,"[2, 4, 6, 9, 10]"
