line_id,var_q_class,var_q_r,k12_entropy,k12_kl_global,tau_shift_similarity,native_mean_abs_delta,prior_score,fit_score
0,low(1/9),0.111111,2.584962500721156,0.6274218645099946,0.048611,2.05432739528306,0.37806499105771063,3.1638509418368486
1,mid(1/3),0.333333,2.5219280948873624,0.388454659525131,0.08,6.42374277101512,-2.724165707976187,2.0930337734621345
2,low(1/9),0.111111,2.751629167387823,0.4607552005383319,0.083333,2.05378337379744,-1.6849313564929278,2.4201167907204164
3,low(1/9),0.111111,2.617492461184755,0.27478338570578686,0.0625,7.51718648772467,-1.450733549969423,4.802562206612129
4,low(1/9),0.111111,2.584962500721156,0.6274218645099946,0.076389,1.46572821925664,-0.4860028638072148,2.1188503442684548
5,low(1/9),0.111111,2.5849625007211565,0.6274218645099945,0.048611,2.03658341353729,0.37806499105770924,3.163850941836848
6,low(1/9),0.111111,2.751629167387823,0.46075520053833185,0.083333,2.37877467207672,-1.684931356492928,2.4201167907204164
7,low(1/9),0.111111,2.4508257945180887,0.4414500496774495,0.055556,6.82391524261373,-0.2518050572837115,4.501295760160167
8,low(1/9),0.111111,2.4508257945180882,0.4414500496774496,0.055556,8.49327497788095,-0.2518050572837102,4.501295760160167
9,low(1/9),0.111111,2.617492461184755,0.2747833857057869,0.0625,2.20011628197,-1.450733549969423,4.802562206612129
10,low(1/9),0.111111,2.5849625007211565,0.6274218645099945,0.076389,2.56335998412914,-0.4860028638072162,2.118850344268454
11,low(1/9),0.111111,2.117492461184755,0.774783377620775,0.013889,5.68006457380964,3.0101508891465647,4.94380108454519
12,low(1/9),0.111111,2.4508257945180882,0.4414500496774496,0.055556,5.6741830431834,-0.2518050572837102,4.501295760160167
13,low(1/9),0.111111,2.5849625007211565,0.6274218645099945,0.076389,2.7848646882616,-0.4860028638072162,2.118850344268454
14,low(1/9),0.111111,2.1174924611847548,0.7747833776207749,0.013889,7.48677624862613,3.010150889146565,4.943801084545192
15,low(1/9),0.111111,1.8879185026711327,1.0043573333418994,0.0,1.95585971635075,4.796111587002356,4.691492317134676
16,low(1/9),0.111111,2.751629167387823,0.46075520053833185,0.083333,1.33306049256639,-1.684931356492928,2.4201167907204164
17,high(1),1.0,0.0,1.3810900835452342,0.0,0.847793906948965,4.798677933746334,1.5537912326582386
18,mid(1/3),0.333333,2.5219280948873624,0.388454659525131,0.08,1.22196840314173,-2.724165707976187,2.0930337734621345
19,low(1/9),0.111111,2.5849625007211565,0.6274218645099945,0.076389,2.52075354719484,-0.4860028638072162,2.118850344268454
20,mid(1/3),0.333333,2.5219280948873624,0.388454659525131,0.08,0.911797624781329,-2.724165707976187,2.0930337734621345
21,mid(1/3),0.333333,1.9219280948873623,1.163943399708877,0.0,5.06605320477297,3.9634226755673305,1.952995384024687
22,low(1/9),0.111111,2.584962500721156,0.6274218645099945,0.048611,2.07701708523186,0.3780649910577102,3.163850941836849
23,low(1/9),0.111111,2.4508257945180887,0.4414500496774496,0.055556,1.39942476543326,-0.25180505728371116,4.501295760160166
24,low(1/9),0.111111,2.751629167387823,0.4607552005383319,0.083333,1.46572821925664,-1.6849313564929278,2.4201167907204164
25,mid(1/3),0.333333,1.9219280948873623,1.163943399708877,0.0,4.12338081202633,3.9634226755673305,1.952995384024687
26,low(1/9),0.111111,2.355388542207534,0.8569958202311193,0.034722,1.46572821925664,2.164025688913502,2.91154217442633
27,mid(1/3),0.333333,2.5219280948873624,0.388454659525131,0.08,2.40573633646218,-2.724165707976187,2.0930337734621345
28,mid(1/3),0.333333,2.5219280948873624,0.388454659525131,0.08,0.861640392092124,-2.724165707976187,2.0930337734621345
29,low(1/9),0.111111,2.584962500721156,0.6274218645099946,0.048611,2.42213330205873,0.37806499105771063,3.1638509418368486
30,low(1/9),0.111111,2.3553885422075336,0.8569958202311192,0.034722,1.32867382060093,2.1640256889135023,2.911542174426333
31,mid(1/3),0.333333,2.5219280948873624,0.388454659525131,0.08,0.794367767804505,-2.724165707976187,2.0930337734621345
32,mid(1/3),0.333333,1.9219280948873623,1.163943399708877,0.0,2.08596386649166,3.9634226755673305,1.952995384024687
33,low(1/9),0.111111,2.751629167387823,0.46075520053833185,0.083333,2.55866257390285,-1.684931356492928,2.4201167907204164
34,mid(1/3),0.333333,2.1609640474436813,0.6652884781367054,0.0,2.05378337379744,1.576464138020246,4.423513172576636
35,mid(1/3),0.333333,2.1609640474436813,0.6652884781367054,0.0,1.46572821925664,1.576464138020246,4.423513172576636
36,mid(1/3),0.333333,2.1609640474436813,0.6652884781367054,0.0,7.097558018763,1.576464138020246,4.423513172576636
37,low(1/9),0.111111,2.9182958340544896,0.29408853656666917,0.090278,3.06200856181143,-2.883890955372565,2.7213456174518247
38,low(1/9),0.111111,2.9182958340544896,0.2940885365666692,0.090278,4.26822312536555,-2.883890955372565,2.7213456174518247
39,low(1/9),0.111111,2.751629167387823,0.46075520053833185,0.083333,1.91847622729074,-1.684931356492928,2.4201167907204164
