class_a,class_b,weight
sec0_m0,sec0_m1,0.039382520809073694
sec0_m0,sec0_m2,0.039382520809073784
sec0_m0,sec1_m0,0.025910358000135823
sec0_m0,sec1_m1,0.04002505313887997
sec0_m0,sec1_m2,0.013960969333961536
sec0_m0,sec2_m0,0.05002984938796734
sec0_m0,sec2_m1,0.06563521020844884
sec0_m0,sec2_m2,-0.03576867912343905
sec0_m0,sec3_m0,-0.030396627939295137
sec0_m0,sec3_m1,0.06552547147591241
sec0_m0,sec3_m2,0.04476753693636021
sec0_m1,sec0_m2,0.039382520809073805
sec0_m1,sec1_m0,-0.06751367967750493
sec0_m1,sec1_m1,0.010402393270556802
sec0_m1,sec1_m2,0.03234328285638473
sec0_m1,sec2_m0,-0.031027543015485163
sec0_m1,sec2_m1,0.014312847828220704
sec0_m1,sec2_m2,-0.008053308363299094
sec0_m1,sec3_m0,0.02181498640635128
sec0_m1,sec3_m1,-0.08018077315825918
sec0_m1,sec3_m2,0.03359778320134433
sec0_m2,sec1_m0,-0.00036300888281443067
sec0_m2,sec1_m1,-0.08773457026688546
sec0_m2,sec1_m2,0.005982682948625771
sec0_m2,sec2_m0,-0.011802982266372629
sec0_m2,sec2_m1,-0.09733578996252848
sec0_m2,sec2_m2,0.027023876027827038
sec0_m2,sec3_m0,-0.05252171721314615
sec0_m2,sec3_m1,0.023726977981778797
sec0_m2,sec3_m2,-0.053320156969706656
sec1_m0,sec1_m1,0.01276878378033462
sec1_m0,sec1_m2,0.012768783780334619
sec1_m0,sec2_m0,-0.08827454048754645
sec1_m0,sec2_m1,0.09889784104224804
sec1_m0,sec2_m2,-0.052589631114885196
sec1_m0,sec3_m0,0.08903815667727018
sec1_m0,sec3_m1,-0.048878199664092035
sec1_m0,sec3_m2,-0.08212628757336174
sec1_m1,sec1_m2,0.012768783780334622
sec1_m1,sec2_m0,-0.004749721466008987
sec1_m1,sec2_m1,-0.13556890837982502
sec1_m1,sec2_m2,0.10301150598838538
sec1_m1,sec3_m0,-0.11665620443590241
sec1_m1,sec3_m1,0.08235278499922866
sec1_m1,sec3_m2,-0.0030037044207748345
sec1_m2,sec2_m0,0.10022358605966504
sec1_m2,sec2_m1,0.01928333541171806
sec1_m2,sec2_m2,-0.0672199863324111
sec1_m2,sec3_m0,-0.03348531098745776
sec1_m2,sec3_m1,-0.024402909035704606
sec1_m2,sec3_m2,0.11017515516213439
sec2_m0,sec2_m1,0.014242368901403261
sec2_m0,sec2_m2,0.014242368901403261
sec2_m0,sec3_m0,0.055971838080482436
sec2_m0,sec3_m1,-0.029881492401671067
sec2_m0,sec3_m2,-0.018891021572701703
sec2_m1,sec2_m2,0.014242368901403261
sec2_m1,sec3_m0,-0.07362997526541015
sec2_m1,sec3_m1,0.08633659685556798
sec2_m1,sec3_m2,-0.030094353516016765
sec2_m2,sec3_m0,-0.04344522156116228
sec2_m2,sec3_m1,-0.04738342815446489
sec2_m2,sec3_m2,0.07403053825671635
sec3_m0,sec3_m1,-0.008778875591229507
sec3_m0,sec3_m2,-0.008778875591229507
sec3_m1,sec3_m2,-0.008778875591229507
