line_id,mode1_weight,canonical_mean_delta,canonical_mean_abs_delta,native_mean_delta,native_mean_abs_delta
0,0.08391140618824909,0.0017218626309966482,0.0019869504069128206,1.8697547809512147,2.054327395283058
1,0.28577370167502847,0.00825534969123644,0.00825534969123644,6.423742771015122,6.423742771015123
2,0.06640044599490508,-0.000705304932308466,0.0016091061982513451,1.4938353607340666,2.0537833737974394
3,-0.3400867855253991,-0.012527663677193357,0.012527663677193357,-7.517186487724674,7.517186487724674
4,-0.06559006426408795,-0.002976508362919793,0.002976508362919793,-1.4657282192566359,1.4657282192566357
5,0.06562503466396377,0.003458812317412455,0.003458812317412455,1.4766354004739217,2.0365834135372944
6,-0.0031664097334956616,0.0013566683086913937,0.0028638058953718904,-0.3723489244630677,2.3787746720767156
7,0.30461997640107613,0.01126903239649422,0.01126903239649422,6.821564636883753,6.823915242613725
8,-0.37157372852755177,-0.02892248524455424,0.02892248524455424,-8.49327497788095,8.49327497788095
9,-0.052294208155300094,-0.0031460122376293386,0.00580191202414908,-1.5206187273074425,2.200116281970003
10,0.11358224944334941,-0.00019386211219474042,0.0008676125495143917,2.563359984129138,2.563359984129138
11,-0.11936763310094244,0.003458812317412455,0.003458812317412455,-3.571114628316917,5.680064573809641
12,0.25258918836361877,0.01058666121468017,0.01058666121468017,5.674183043183397,5.674183043183397
13,0.1291199005810059,0.0038460383048055614,0.0038460383048055614,2.784864688261598,2.7848646882615986
14,0.32727675109713433,0.010940248884698443,0.010940248884698443,7.4867762486261284,7.486776248626127
15,0.08210904755317756,-0.004043297340008942,0.010631870193550426,1.8516504774355436,1.9558597163507505
16,0.061099993513002965,0.0012078857539475146,0.0032006867810644326,1.3330604925663916,1.3330604925663916
17,0.03758823229443234,0.0012889051225446393,0.0012889051225446393,0.8477939069489654,0.8477939069489654
18,0.05661397569038289,-0.011371733133028266,0.011371733133028266,1.2219684031417337,1.2219684031417337
19,0.037990400572433344,0.023507046015737457,0.023527809847628173,1.0673486930604412,2.520753547194836
20,0.040424683162357936,-0.00022301125871923512,0.00034271195484016217,0.9117976247813289,0.9117976247813288
21,-0.21495305105671603,0.010446395495979312,0.010446395495979312,-4.839152131104147,5.066053204772975
22,0.08555096172299308,0.0021585904445281024,0.0033015429176538303,1.902328830196189,2.077017085231858
23,-0.002732658644511103,0.004546578511083726,0.004551378777072315,-0.2623472406574003,1.3994247654332626
24,-0.06559006426408795,0.010319501724717722,0.010319501724717722,-1.4657282192566359,1.4657282192566357
25,-0.18050903374907998,0.003458812317412455,0.003458812317412455,-4.12338081202633,4.12338081202633
26,-0.06559006426408795,0.012538620247055654,0.012538620247055654,-1.4657282192566359,1.4657282192566357
27,0.10735110530777162,-0.0008769584525988893,0.0023438753185715654,2.4057363364621795,2.4057363364621795
28,0.038156831429189846,-0.00031128941702593773,0.00044766330387043,0.8616403920921245,0.8616403920921244
29,0.10839412337015662,0.002050628705746804,0.0033475162644040655,2.422133302058729,2.4221333020587292
30,0.061320006552643726,0.003458812317412455,0.003458812317412455,1.3286738206009352,1.3286738206009348
31,0.03535095285502157,4.995338799049395e-05,0.000370515122765257,0.7943677678045049,0.7943677678045048
32,0.0882580346097405,0.000987691913310626,0.010237910224970097,1.9817546275764508,2.085963866491658
33,0.1136861224556122,-0.0012504701564998188,0.006999920696372897,2.5586625739028515,2.5586625739028515
34,0.06640044599490508,-0.0009410817321979792,0.0015838462187076803,1.4938353607340666,2.0537833737974394
35,-0.06559006426408795,0.015443508339366788,0.015443508339366788,-1.4657282192566359,1.4657282192566357
36,0.3214638306860519,0.0013566683086913937,0.0028638058953718904,7.097558018762999,7.097558018762999
37,0.13764465489483155,-0.0007076825627595942,0.0013504470492692953,3.0620085618114343,3.0620085618114348
38,0.19023377478641826,0.005325899839630405,0.005325899839630405,4.26530002094214,4.268223125365549
39,0.06123562586494906,-0.01945270245354121,0.01945270245354121,1.3585282142273636,1.918476227290736
