mode_k,c0,c_lam,c_mu,c_lam2,c_lam_mu,c_mu2,r2
1,-104.25528902620198,510.4241121347641,12.375490482711712,-503.90661555906706,-12.247614476055077,-5.18689088408189,0.9863460683904535
2,-125.1394089473719,540.8973640017676,-29.30529345619931,-583.9902123502887,105.15581641597966,-15.037565562504994,0.9970105977547384
3,185.3766432151208,-608.9674943824577,-4.586442856172425,496.5162198262125,6.847341810261213,-4.2937320485894475,0.9992997851394368
4,115.58143479726714,-360.917758176209,-44.581078091072186,208.2440801459123,123.81502288370638,-5.362024521932511,0.9805838827194366
5,-143.3303926596743,570.3638213005881,15.922501955748317,-595.8567632565524,-3.4212875284352435,-5.56646496480306,0.8070772387305398
