triad_id,w33_points,n12_points,cover_size,cover12,cover_symbols,bitmask
104,4 15 24,C01 C26 C24,12,True,0123456789ab,4095
105,4 15 33,C01 C26 C07,12,True,0123456789ab,4095
106,4 16 25,C01 C14 C34,9,False,0123459ab,3647
107,4 16 34,C01 C14 C19,12,True,0123456789ab,4095
108,4 17 26,C01 C06 C12,12,True,0123456789ab,4095
109,4 17 35,C01 C06 C29,12,True,0123456789ab,4095
110,4 18 27,C01 C33 C37,12,True,0123456789ab,4095
111,4 18 36,C01 C33 C15,12,True,0123456789ab,4095
112,4 19 28,C01 F35 C05,12,True,0123456789ab,4095
113,4 19 37,C01 F35 C09,12,True,0123456789ab,4095
114,4 20 29,C01 C32 C11,12,True,0123456789ab,4095
115,4 20 38,C01 C32 X36,12,True,0123456789ab,4095
116,4 21 30,C01 C10 C18,12,True,0123456789ab,4095
117,4 21 39,C01 C10 C21,12,True,0123456789ab,4095
118,4 22 31,C01 C23 C20,12,True,0123456789ab,4095
119,4 23 32,C01 C25 X35,12,True,0123456789ab,4095
120,4 24 33,C01 C24 C07,12,True,0123456789ab,4095
121,4 25 34,C01 C34 C19,12,True,0123456789ab,4095
122,4 26 35,C01 C12 C29,12,True,0123456789ab,4095
123,4 27 36,C01 C37 C15,12,True,0123456789ab,4095
124,4 28 37,C01 C05 C09,12,True,0123456789ab,4095
125,4 29 38,C01 C11 X36,9,False,0123459ab,3647
126,4 30 39,C01 C18 C21,12,True,0123456789ab,4095
127,5 7 12,C13 C27 C03,12,True,0123456789ab,4095
128,5 8 11,C13 C02 C17,12,True,0123456789ab,4095
129,5 9 10,C13 C04 C28,9,False,0126789ab,4039
130,5 13 23,C13 C31 C25,12,True,0123456789ab,4095
131,5 13 33,C13 C31 C07,12,True,0123456789ab,4095
132,5 14 24,C13 C16 C24,12,True,0123456789ab,4095
133,5 14 31,C13 C16 C20,12,True,0123456789ab,4095
134,5 15 22,C13 C26 C23,12,True,0123456789ab,4095
135,5 15 32,C13 C26 X35,12,True,0123456789ab,4095
136,5 19 29,C13 F35 C11,12,True,0123456789ab,4095
137,5 19 39,C13 F35 C21,12,True,0123456789ab,4095
138,5 20 30,C13 C32 C18,12,True,0123456789ab,4095
139,5 20 37,C13 C32 C09,9,False,0126789ab,4039
140,5 21 28,C13 C10 C05,12,True,0123456789ab,4095
141,5 21 38,C13 C10 X36,12,True,0123456789ab,4095
142,5 22 32,C13 C23 X35,12,True,0123456789ab,4095
143,5 23 33,C13 C25 C07,9,False,0126789ab,4039
144,5 24 31,C13 C24 C20,12,True,0123456789ab,4095
145,5 28 38,C13 C05 X36,12,True,0123456789ab,4095
146,5 29 39,C13 C11 C21,12,True,0123456789ab,4095
147,5 30 37,C13 C18 C09,12,True,0123456789ab,4095
148,6 7 11,C08 C27 C17,12,True,0123456789ab,4095
149,6 8 10,C08 C02 C28,12,True,0123456789ab,4095
150,6 9 12,C08 C04 C03,12,True,0123456789ab,4095
151,6 13 24,C08 C31 C24,12,True,0123456789ab,4095
152,6 13 32,C08 C31 X35,9,False,0123459ab,3647
153,6 14 22,C08 C16 C23,9,False,012345678,511
154,6 14 33,C08 C16 C07,12,True,0123456789ab,4095
155,6 15 23,C08 C26 C25,12,True,0123456789ab,4095
156,6 15 31,C08 C26 C20,12,True,0123456789ab,4095
157,6 16 27,C08 C14 C37,12,True,0123456789ab,4095
158,6 16 35,C08 C14 C29,12,True,0123456789ab,4095
159,6 17 25,C08 C06 C34,9,False,0123459ab,3647
160,6 17 36,C08 C06 C15,12,True,0123456789ab,4095
161,6 18 26,C08 C33 C12,12,True,0123456789ab,4095
162,6 18 34,C08 C33 C19,12,True,0123456789ab,4095
163,6 22 33,C08 C23 C07,12,True,0123456789ab,4095
164,6 23 31,C08 C25 C20,12,True,0123456789ab,4095
165,6 24 32,C08 C24 X35,12,True,0123456789ab,4095
166,6 25 36,C08 C34 C15,12,True,0123456789ab,4095
167,6 26 34,C08 C12 C19,12,True,0123456789ab,4095
168,6 27 35,C08 C37 C29,12,True,0123456789ab,4095
169,7 8 9,C27 C02 C04,12,True,0123456789ab,4095
170,7 13 25,C27 C31 C34,12,True,0123456789ab,4095
171,7 13 37,C27 C31 C09,12,True,0123456789ab,4095
172,7 14 26,C27 C16 C12,9,False,012345678,511
173,7 14 38,C27 C16 X36,12,True,0123456789ab,4095
174,7 16 28,C27 C14 C05,12,True,0123456789ab,4095
175,7 16 31,C27 C14 C20,12,True,0123456789ab,4095
176,7 17 29,C27 C06 C11,9,False,3456789ab,4088
177,7 17 32,C27 C06 X35,9,False,3456789ab,4088
178,7 19 22,C27 F35 C23,9,False,012345678,511
179,7 19 34,C27 F35 C19,9,False,3456789ab,4088
180,7 20 23,C27 C32 C25,12,True,0123456789ab,4095
181,7 20 35,C27 C32 C29,12,True,0123456789ab,4095
182,7 22 34,C27 C23 C19,12,True,0123456789ab,4095
183,7 23 35,C27 C25 C29,9,False,3456789ab,4088
184,7 25 37,C27 C34 C09,12,True,0123456789ab,4095
185,7 26 38,C27 C12 X36,12,True,0123456789ab,4095
186,7 28 31,C27 C05 C20,9,False,012345678,511
187,7 29 32,C27 C11 X35,9,False,3456789ab,4088
188,8 13 26,C02 C31 C12,12,True,0123456789ab,4095
189,8 13 39,C02 C31 C21,12,True,0123456789ab,4095
190,8 14 27,C02 C16 C37,12,True,0123456789ab,4095
191,8 14 37,C02 C16 C09,9,False,0126789ab,4039
192,8 17 30,C02 C06 C18,12,True,0123456789ab,4095
193,8 17 31,C02 C06 C20,12,True,0123456789ab,4095
194,8 18 28,C02 C33 C05,12,True,0123456789ab,4095
195,8 18 32,C02 C33 X35,12,True,0123456789ab,4095
196,8 19 23,C02 F35 C25,9,False,0126789ab,4039
197,8 19 36,C02 F35 C15,12,True,0123456789ab,4095
198,8 21 22,C02 C10 C23,12,True,0123456789ab,4095
199,8 21 35,C02 C10 C29,12,True,0123456789ab,4095
200,8 22 35,C02 C23 C29,12,True,0123456789ab,4095
201,8 23 36,C02 C25 C15,12,True,0123456789ab,4095
202,8 26 39,C02 C12 C21,12,True,0123456789ab,4095
203,8 27 37,C02 C37 C09,12,True,0123456789ab,4095
204,8 28 32,C02 C05 X35,12,True,0123456789ab,4095
205,8 30 31,C02 C18 C20,12,True,0123456789ab,4095
206,9 13 27,C04 C31 C37,12,True,0123456789ab,4095
207,9 13 38,C04 C31 X36,9,False,0123459ab,3647
208,9 14 25,C04 C16 C34,12,True,0123456789ab,4095
209,9 14 39,C04 C16 C21,12,True,0123456789ab,4095
210,9 16 30,C04 C14 C18,12,True,0123456789ab,4095
211,9 16 32,C04 C14 X35,9,False,0123459ab,3647
212,9 18 29,C04 C33 C11,12,True,0123456789ab,4095
213,9 18 31,C04 C33 C20,12,True,0123456789ab,4095
214,9 20 22,C04 C32 C23,12,True,0123456789ab,4095
215,9 20 36,C04 C32 C15,12,True,0123456789ab,4095
216,9 21 23,C04 C10 C25,12,True,0123456789ab,4095
217,9 21 34,C04 C10 C19,12,True,0123456789ab,4095
218,9 22 36,C04 C23 C15,12,True,0123456789ab,4095
219,9 23 34,C04 C25 C19,9,False,0126789ab,4039
220,9 25 39,C04 C34 C21,9,False,0123459ab,3647
221,9 27 38,C04 C37 X36,12,True,0123456789ab,4095
222,9 29 31,C04 C11 C20,12,True,0123456789ab,4095
223,9 30 32,C04 C18 X35,12,True,0123456789ab,4095
224,10 11 12,C28 C17 C03,12,True,0123456789ab,4095
225,10 13 28,C28 C31 C05,12,True,0123456789ab,4095
226,10 13 34,C28 C31 C19,12,True,0123456789ab,4095
227,10 15 30,C28 C26 C18,12,True,0123456789ab,4095
228,10 15 36,C28 C26 C15,12,True,0123456789ab,4095
229,10 16 22,C28 C14 C23,12,True,0123456789ab,4095
230,10 16 37,C28 C14 C09,9,False,0126789ab,4039
231,10 18 24,C28 C33 C24,12,True,0123456789ab,4095
232,10 18 39,C28 C33 C21,12,True,0123456789ab,4095
233,10 19 25,C28 F35 C34,12,True,0123456789ab,4095
234,10 19 31,C28 F35 C20,12,True,0123456789ab,4095
235,10 21 27,C28 C10 C37,12,True,0123456789ab,4095
236,10 21 33,C28 C10 C07,12,True,0123456789ab,4095
237,10 22 37,C28 C23 C09,12,True,0123456789ab,4095
238,10 24 39,C28 C24 C21,12,True,0123456789ab,4095
239,10 25 31,C28 C34 C20,12,True,0123456789ab,4095
240,10 27 33,C28 C37 C07,12,True,0123456789ab,4095
241,10 28 34,C28 C05 C19,12,True,0123456789ab,4095
242,10 30 36,C28 C18 C15,12,True,0123456789ab,4095
243,11 13 29,C17 C31 C11,9,False,0123459ab,3647
244,11 13 36,C17 C31 C15,12,True,0123456789ab,4095
245,11 15 28,C17 C26 C05,12,True,0123456789ab,4095
246,11 15 35,C17 C26 C29,12,True,0123456789ab,4095
247,11 17 24,C17 C06 C24,12,True,0123456789ab,4095
248,11 17 37,C17 C06 C09,12,True,0123456789ab,4095
249,11 18 22,C17 C33 C23,12,True,0123456789ab,4095
250,11 18 38,C17 C33 X36,12,True,0123456789ab,4095
251,11 19 26,C17 F35 C12,12,True,0123456789ab,4095
252,11 19 33,C17 F35 C07,12,True,0123456789ab,4095
253,11 20 27,C17 C32 C37,12,True,0123456789ab,4095
254,11 20 31,C17 C32 C20,12,True,0123456789ab,4095
255,11 22 38,C17 C23 X36,12,True,0123456789ab,4095
256,11 24 37,C17 C24 C09,12,True,0123456789ab,4095
257,11 26 33,C17 C12 C07,12,True,0123456789ab,4095
258,11 27 31,C17 C37 C20,12,True,0123456789ab,4095
259,11 28 35,C17 C05 C29,12,True,0123456789ab,4095
260,11 29 36,C17 C11 C15,12,True,0123456789ab,4095
261,12 13 30,C03 C31 C18,12,True,0123456789ab,4095
262,12 13 35,C03 C31 C29,12,True,0123456789ab,4095
263,12 15 29,C03 C26 C11,12,True,0123456789ab,4095
264,12 15 34,C03 C26 C19,12,True,0123456789ab,4095
265,12 16 24,C03 C14 C24,12,True,0123456789ab,4095
266,12 16 38,C03 C14 X36,12,True,0123456789ab,4095
267,12 17 22,C03 C06 C23,12,True,0123456789ab,4095
268,12 17 39,C03 C06 C21,12,True,0123456789ab,4095
269,12 20 25,C03 C32 C34,12,True,0123456789ab,4095
270,12 20 33,C03 C32 C07,12,True,0123456789ab,4095
271,12 21 26,C03 C10 C12,12,True,0123456789ab,4095
272,12 21 31,C03 C10 C20,12,True,0123456789ab,4095
273,12 22 39,C03 C23 C21,12,True,0123456789ab,4095
274,12 24 38,C03 C24 X36,9,False,3456789ab,4088
275,12 25 33,C03 C34 C07,12,True,0123456789ab,4095
276,12 26 31,C03 C12 C20,12,True,0123456789ab,4095
277,12 29 34,C03 C11 C19,9,False,3456789ab,4088
278,12 30 35,C03 C18 C29,9,False,3456789ab,4088
279,13 22 31,C31 C23 C20,12,True,0123456789ab,4095
280,13 23 33,C31 C25 C07,12,True,0123456789ab,4095
281,13 24 32,C31 C24 X35,12,True,0123456789ab,4095
282,13 25 37,C31 C34 C09,12,True,0123456789ab,4095
283,13 26 39,C31 C12 C21,12,True,0123456789ab,4095
284,13 27 38,C31 C37 X36,12,True,0123456789ab,4095
285,13 28 34,C31 C05 C19,12,True,0123456789ab,4095
