triad_index,w33_a,w33_b,w33_c,n12_a,n12_b,n12_c,cover_size,cover12,mask
41,1,23,29,C33,C27,C06,9,False,4088
42,1,24,27,C33,C10,C00,12,True,4095
43,1,24,30,C33,C10,X36,9,False,4088
44,1,26,29,C33,C23,C06,12,True,4095
45,1,27,30,C33,C00,X36,12,True,4095
46,1,32,35,C33,C24,C08,12,True,4095
47,1,32,38,C33,C24,X35,9,False,4088
48,1,33,36,C33,C07,C15,9,False,4088
49,1,33,39,C33,C07,C02,9,False,4039
50,1,35,38,C33,C08,X35,12,True,4095
51,1,36,39,C33,C15,C02,12,True,4095
52,2,5,9,C21,C16,C11,12,True,4095
53,2,5,10,C21,C16,C25,12,True,4095
54,2,6,7,C21,C17,C03,12,True,4095
55,2,6,11,C21,C17,C29,12,True,4095
56,2,7,11,C21,C03,C29,12,True,4095
57,2,9,10,C21,C11,C25,12,True,4095
58,2,14,18,C21,C12,C34,12,True,4095
59,2,14,19,C21,C12,C09,12,True,4095
60,2,15,16,C21,C01,C05,12,True,4095
61,2,15,20,C21,C01,C22,9,False,3647
62,2,16,20,C21,C05,C22,12,True,4095
63,2,18,19,C21,C34,C09,12,True,4095
64,2,23,27,C21,C27,C00,12,True,4095
65,2,23,28,C21,C27,C14,12,True,4095
66,2,24,25,C21,C10,C37,12,True,4095
67,2,24,29,C21,C10,C06,12,True,4095
68,2,25,29,C21,C37,C06,12,True,4095
69,2,27,28,C21,C00,C14,12,True,4095
70,2,32,36,C21,C24,C15,12,True,4095
71,2,32,37,C21,C24,C30,12,True,4095
72,2,33,34,C21,C07,C31,12,True,4095
73,2,33,38,C21,C07,X35,12,True,4095
74,2,34,38,C21,C31,X35,9,False,3647
75,2,36,37,C21,C15,C30,12,True,4095
76,3,5,7,F35,C16,C03,12,True,4095
77,3,5,12,F35,C16,C13,9,False,4039
78,3,6,8,F35,C17,C04,12,True,4095
79,3,6,10,F35,C17,C25,12,True,4095
80,3,7,12,F35,C03,C13,12,True,4095
81,3,8,10,F35,C04,C25,9,False,4039
82,3,14,16,F35,C12,C05,9,False,511
83,3,14,21,F35,C12,C28,12,True,4095
84,3,15,17,F35,C01,C26,12,True,4095
85,3,15,19,F35,C01,C09,12,True,4095
86,3,16,21,F35,C05,C28,12,True,4095
87,3,17,19,F35,C26,C09,9,False,4039
88,3,23,25,F35,C27,C37,9,False,4088
89,3,23,30,F35,C27,X36,9,False,4088
90,3,24,26,F35,C10,C23,9,False,511
91,3,24,28,F35,C10,C14,12,True,4095
92,3,25,30,F35,C37,X36,9,False,4088
93,3,26,28,F35,C23,C14,12,True,4095
94,3,32,34,F35,C24,C31,12,True,4095
95,3,32,39,F35,C24,C02,12,True,4095
96,3,33,35,F35,C07,C08,12,True,4095
97,3,33,37,F35,C07,C30,12,True,4095
98,3,34,39,F35,C31,C02,12,True,4095
99,3,35,37,F35,C08,C30,9,False,511
100,4,13,22,C18,C20,F36,9,False,511
101,4,13,31,C18,C20,C32,12,True,4095
102,4,14,32,C18,C12,C24,12,True,4095
103,4,14,23,C18,C12,C27,9,False,511
104,4,15,33,C18,C01,C07,12,True,4095
105,4,15,24,C18,C01,C10,12,True,4095
106,4,16,34,C18,C05,C31,12,True,4095
107,4,16,25,C18,C05,C37,12,True,4095
108,4,17,35,C18,C26,C08,12,True,4095
109,4,17,26,C18,C26,C23,12,True,4095
110,4,18,36,C18,C34,C15,12,True,4095
111,4,18,27,C18,C34,C00,12,True,4095
112,4,19,37,C18,C09,C30,12,True,4095
113,4,19,28,C18,C09,C14,12,True,4095
114,4,20,38,C18,C22,X35,9,False,511
115,4,20,29,C18,C22,C06,12,True,4095
