tetra_id,Pi_family_S6,Pi_type_single_double,rank_block,rank_block_P1F9,rank_block_triads,points,points_rank_suit,suits_by_rank_order,suit_pattern_sorted
73,duad,single,"[2, 5, 8, 9]","['1', '2', '1a', '2a']","[[[1, 2, 5], [3, 4, 6]], [[1, 2, 6], [3, 4, 5]], [[1, 3, 4], [2, 5, 6]], [[1, 5, 6], [2, 3, 4]]]","[25, 27, 32, 34]","['2:1', '5:2', '8:0', '9:3']","[1, 2, 0, 3]","[0, 1, 2, 3]"
74,syntheme,double,"[3, 4, 6, 7]","['2+1a', '2+2a', '1+2a', '1+1a']","[[[1, 3, 6], [2, 4, 5]], [[1, 4, 5], [2, 3, 6]], [[1, 4, 6], [2, 3, 5]], [[1, 3, 5], [2, 4, 6]]]","[9, 15, 20, 38]","['3:1', '4:0', '6:2', '7:3']","[1, 0, 2, 3]","[0, 1, 2, 3]"
75,syntheme,double,"[3, 4, 6, 7]","['2+1a', '2+2a', '1+2a', '1+1a']","[[[1, 3, 6], [2, 4, 5]], [[1, 4, 5], [2, 3, 6]], [[1, 4, 6], [2, 3, 5]], [[1, 3, 5], [2, 4, 6]]]","[10, 28, 31, 37]","['3:0', '4:2', '6:3', '7:1']","[0, 2, 3, 1]","[0, 1, 2, 3]"
76,syntheme,double,"[3, 4, 6, 7]","['2+1a', '2+2a', '1+2a', '1+1a']","[[[1, 3, 6], [2, 4, 5]], [[1, 4, 5], [2, 3, 6]], [[1, 4, 6], [2, 3, 5]], [[1, 3, 5], [2, 4, 6]]]","[11, 13, 22, 36]","['3:2', '4:3', '6:1', '7:0']","[2, 3, 1, 0]","[0, 1, 2, 3]"
77,syntheme,double,"[3, 4, 6, 7]","['2+1a', '2+2a', '1+2a', '1+1a']","[[[1, 3, 6], [2, 4, 5]], [[1, 4, 5], [2, 3, 6]], [[1, 4, 6], [2, 3, 5]], [[1, 3, 5], [2, 4, 6]]]","[14, 16, 19, 21]","['3:3', '4:1', '6:0', '7:2']","[3, 1, 0, 2]","[0, 1, 2, 3]"
78,syntheme,double,"[3, 4, 8, 9]","['2+1a', '2+2a', '1a', '2a']","[[[1, 3, 6], [2, 4, 5]], [[1, 4, 5], [2, 3, 6]], [[1, 3, 4], [2, 5, 6]], [[1, 5, 6], [2, 3, 4]]]","[9, 11, 18, 32]","['3:1', '4:3', '8:0', '9:2']","[1, 3, 0, 2]","[0, 1, 2, 3]"
79,syntheme,double,"[3, 4, 8, 9]","['2+1a', '2+2a', '1a', '2a']","[[[1, 3, 6], [2, 4, 5]], [[1, 4, 5], [2, 3, 6]], [[1, 3, 4], [2, 5, 6]], [[1, 5, 6], [2, 3, 4]]]","[10, 17, 19, 24]","['3:3', '4:2', '8:1', '9:0']","[3, 2, 1, 0]","[0, 1, 2, 3]"
80,syntheme,double,"[3, 4, 8, 9]","['2+1a', '2+2a', '1a', '2a']","[[[1, 3, 6], [2, 4, 5]], [[1, 4, 5], [2, 3, 6]], [[1, 3, 4], [2, 5, 6]], [[1, 5, 6], [2, 3, 4]]]","[20, 22, 29, 35]","['3:2', '4:0', '8:3', '9:1']","[2, 0, 3, 1]","[0, 1, 2, 3]"
81,syntheme,double,"[3, 4, 8, 9]","['2+1a', '2+2a', '1a', '2a']","[[[1, 3, 6], [2, 4, 5]], [[1, 4, 5], [2, 3, 6]], [[1, 3, 4], [2, 5, 6]], [[1, 5, 6], [2, 3, 4]]]","[21, 27, 28, 30]","['3:0', '4:1', '8:2', '9:3']","[0, 1, 2, 3]","[0, 1, 2, 3]"
82,duad,single,"[3, 5, 6, 9]","['2+1a', '2', '1+2a', '2a']","[[[1, 3, 6], [2, 4, 5]], [[1, 2, 6], [3, 4, 5]], [[1, 4, 6], [2, 3, 5]], [[1, 5, 6], [2, 3, 4]]]","[12, 19, 29, 38]","['3:3', '5:0', '6:2', '9:1']","[3, 0, 2, 1]","[0, 1, 2, 3]"
83,duad,single,"[3, 5, 6, 9]","['2+1a', '2', '1+2a', '2a']","[[[1, 3, 6], [2, 4, 5]], [[1, 2, 6], [3, 4, 5]], [[1, 4, 6], [2, 3, 5]], [[1, 5, 6], [2, 3, 4]]]","[13, 18, 28, 39]","['3:0', '5:3', '6:1', '9:2']","[0, 3, 1, 2]","[0, 1, 2, 3]"
84,duad,single,"[4, 5, 7, 8]","['2+2a', '2', '1+1a', '1a']","[[[1, 4, 5], [2, 3, 6]], [[1, 2, 6], [3, 4, 5]], [[1, 3, 5], [2, 4, 6]], [[1, 3, 4], [2, 5, 6]]]","[11, 12, 30, 37]","['4:3', '5:0', '7:1', '8:2']","[3, 0, 1, 2]","[0, 1, 2, 3]"
85,duad,single,"[4, 5, 7, 8]","['2+2a', '2', '1+1a', '1a']","[[[1, 4, 5], [2, 3, 6]], [[1, 2, 6], [3, 4, 5]], [[1, 3, 5], [2, 4, 6]], [[1, 3, 4], [2, 5, 6]]]","[14, 17, 20, 39]","['4:0', '5:3', '7:2', '8:1']","[0, 3, 2, 1]","[0, 1, 2, 3]"
86,syntheme,double,"[6, 7, 8, 9]","['1+2a', '1+1a', '1a', '2a']","[[[1, 4, 6], [2, 3, 5]], [[1, 3, 5], [2, 4, 6]], [[1, 3, 4], [2, 5, 6]], [[1, 5, 6], [2, 3, 4]]]","[13, 15, 24, 30]","['6:1', '7:3', '8:2', '9:0']","[1, 3, 2, 0]","[0, 1, 2, 3]"
87,syntheme,double,"[6, 7, 8, 9]","['1+2a', '1+1a', '1a', '2a']","[[[1, 4, 6], [2, 3, 5]], [[1, 3, 5], [2, 4, 6]], [[1, 3, 4], [2, 5, 6]], [[1, 5, 6], [2, 3, 4]]]","[14, 29, 31, 32]","['6:3', '7:2', '8:0', '9:1']","[3, 2, 0, 1]","[0, 1, 2, 3]"
88,syntheme,double,"[6, 7, 8, 9]","['1+2a', '1+1a', '1a', '2a']","[[[1, 4, 6], [2, 3, 5]], [[1, 3, 5], [2, 4, 6]], [[1, 3, 4], [2, 5, 6]], [[1, 5, 6], [2, 3, 4]]]","[16, 18, 35, 37]","['6:0', '7:1', '8:3', '9:2']","[0, 1, 3, 2]","[0, 1, 2, 3]"
89,syntheme,double,"[6, 7, 8, 9]","['1+2a', '1+1a', '1a', '2a']","[[[1, 4, 6], [2, 3, 5]], [[1, 3, 5], [2, 4, 6]], [[1, 3, 4], [2, 5, 6]], [[1, 5, 6], [2, 3, 4]]]","[17, 27, 36, 38]","['6:2', '7:0', '8:1', '9:3']","[2, 0, 1, 3]","[0, 1, 2, 3]"
