n12_block,w33_line_id,w33_points
C00 C01 C02 C03,16,7 15 27 39
C04 C05 C06 C07,14,8 16 29 33
C08 C09 C10 C11,4,9 19 24 35
C12 C13 C14 C15,19,12 14 28 36
C16 C17 C18 C19,17,0 4 5 6
C22 C23 C24 C25,9,10 20 26 32
C30 C31 C32 C33,39,1 31 34 37
