line_id,points
0,0 33 36 40 44
1,0 34 37 41 42
2,0 35 38 39 43
3,1 11 23 29 33
4,1 15 21 27 34
5,1 13 19 31 35
6,2 14 20 32 35
7,2 12 24 30 33
8,2 16 22 28 34
9,3 10 22 31 36
10,3 15 18 30 39
11,3 14 23 26 42
12,4 9 21 32 36
13,4 16 17 29 39
14,4 13 24 25 42
15,5 11 18 32 41
16,5 10 24 27 38
17,5 16 19 26 44
18,6 9 23 28 38
19,6 12 17 31 41
20,6 15 20 25 44
21,7 10 20 29 37
22,7 13 18 28 40
23,7 12 21 26 43
24,8 9 19 30 37
25,8 14 17 27 40
26,8 11 22 25 43
