p,q,k_mod12,abs_inner
10,39,11,0.5773502691902807
11,0,0,0.57735026919
11,1,1,0.5773502691902808
11,2,11,0.5773502691900001
11,5,2,0.5773502691897193
11,6,5,0.5773502691897193
11,7,1,0.5773502691902808
11,8,11,0.57735026919
11,10,9,0.57735026919
11,12,3,0.57735026919
11,13,10,0.57735026919
11,15,4,0.57735026919
11,17,1,0.5773502691902807
11,18,11,0.57735026919
11,19,11,0.57735026919
11,20,1,0.5773502691902807
11,22,2,0.5773502691897193
11,24,8,0.5773502691897193
11,26,1,0.5773502691902807
11,27,11,0.57735026919
11,28,11,0.57735026919
11,29,1,0.5773502691902807
11,31,6,0.57735026919
11,33,0,0.57735026919
11,35,1,0.5773502691902807
11,36,11,0.57735026919
11,37,11,0.57735026919
11,38,1,0.5773502691902807
12,0,0,0.57735026919
12,1,11,0.5773502691902808
12,3,1,0.57735026919
12,5,10,0.5773502691897193
12,6,1,0.5773502691897193
12,7,11,0.5773502691902808
12,9,1,0.5773502691900001
12,10,3,0.57735026919
12,11,9,0.57735026919
12,13,6,0.57735026919
12,15,0,0.57735026919
12,16,1,0.57735026919
12,17,11,0.5773502691902807
12,20,11,0.5773502691902807
12,21,1,0.57735026919
12,22,10,0.5773502691897193
12,24,4,0.5773502691897193
12,25,1,0.57735026919
12,26,11,0.5773502691902807
12,29,11,0.5773502691902807
12,30,1,0.57735026919
12,31,2,0.57735026919
12,33,8,0.57735026919
12,34,1,0.57735026919
12,35,11,0.5773502691902807
12,38,11,0.5773502691902807
12,39,1,0.57735026919
13,4,0,0.57735026919
13,5,5,0.5773502691897193
13,6,6,0.57735026919
13,7,4,0.57735026919
13,8,0,0.57735026919
13,9,8,0.57735026919
13,10,10,0.5773502691902807
13,11,2,0.57735026919
13,12,6,0.57735026919
13,22,3,0.57735026919
13,23,11,0.5773502691902807
13,24,11,0.57735026919
13,25,8,0.5773502691902807
13,26,4,0.5773502691902807
13,27,0,0.57735026919
13,28,2,0.57735026919
13,29,6,0.57735026919
13,30,10,0.57735026919
13,31,9,0.57735026919
13,32,1,0.57735026919
13,33,1,0.5773502691905614
13,34,6,0.57735026919
13,35,2,0.5773502691902807
13,36,10,0.5773502691902807
13,37,0,0.57735026919
13,38,4,0.5773502691902807
13,39,8,0.57735026919
14,1,4,0.5773502691897193
14,2,0,0.57735026919
14,3,8,0.57735026919
14,4,0,0.57735026919
14,5,1,0.5773502691897193
14,6,10,0.5773502691897193
14,7,10,0.5773502691897193
14,8,6,0.57735026919
14,9,2,0.57735026919
14,16,0,0.57735026919
14,17,8,0.5773502691902807
14,18,4,0.57735026919
14,19,8,0.57735026919
14,20,0,0.57735026919
14,21,4,0.57735026919
14,22,11,0.5773502691902808
14,23,3,0.57735026919
14,24,11,0.5773502691902808
14,25,10,0.57735026919
14,26,6,0.57735026919
14,27,2,0.57735026919
14,31,1,0.5773502691900001
14,32,9,0.57735026919
14,33,1,0.57735026919
14,37,10,0.57735026919
14,38,2,0.5773502691902807
14,39,6,0.57735026919
15,1,10,0.57735026919
15,2,6,0.57735026919
15,3,2,0.57735026919
15,4,0,0.57735026919
15,5,9,0.57735026919
15,6,2,0.5773502691897193
15,10,4,0.5773502691902807
15,11,8,0.57735026919
15,12,0,0.57735026919
15,16,2,0.57735026919
15,17,10,0.5773502691902807
15,18,6,0.57735026919
15,19,6,0.57735026919
15,20,10,0.5773502691902807
15,21,2,0.5773502691902807
15,22,11,0.5773502691900001
15,23,11,0.5773502691902807
15,24,3,0.57735026919
15,28,4,0.5773502691902807
15,29,8,0.5773502691902807
15,30,0,0.57735026919
15,31,1,0.5773502691905614
15,32,1,0.5773502691900001
15,33,9,0.57735026919
15,34,4,0.57735026919
15,35,0,0.57735026919
15,36,8,0.57735026919
16,0,0,0.57735026919
16,2,1,0.5773502691902807
16,3,11,0.57735026919
16,4,11,0.5773502691897193
16,6,11,0.5773502691897193
16,7,11,0.57735026919
16,9,1,0.5773502691902807
16,10,1,0.5773502691902807
16,12,11,0.57735026919
16,14,0,0.57735026919
16,15,10,0.57735026919
16,17,9,0.57735026919
16,18,3,0.57735026919
16,20,11,0.57735026919
16,21,1,0.5773502691902807
16,22,10,0.57735026919
16,24,0,0.57735026919
16,25,11,0.57735026919
16,27,1,0.5773502691902807
16,28,1,0.5773502691902807
16,30,11,0.57735026919
16,31,0,0.57735026919
16,32,10,0.57735026919
16,34,1,0.5773502691902807
16,35,11,0.57735026919
16,37,11,0.57735026919
16,38,1,0.5773502691902807
17,0,0,0.57735026919
17,1,11,0.5773502691902807
17,3,1,0.5773502691902807
17,4,3,0.57735026919
17,6,3,0.57735026919
17,7,1,0.5773502691902807
17,8,11,0.5773502691902807
17,11,11,0.5773502691902807
17,12,1,0.5773502691902807
17,14,4,0.5773502691902807
17,15,2,0.5773502691902807
17,16,3,0.57735026919
17,18,9,0.57735026919
17,19,11,0.5773502691902807
17,20,1,0.5773502691902807
17,22,2,0.5773502691902807
17,24,4,0.5773502691902807
17,25,1,0.5773502691902807
17,26,11,0.5773502691902807
17,29,11,0.5773502691902807
17,30,1,0.5773502691902807
17,31,4,0.5773502691902807
17,32,2,0.5773502691902807
17,35,1,0.5773502691902807
17,36,11,0.5773502691902807
17,37,1,0.5773502691902807
17,39,11,0.5773502691902807
18,0,0,0.57735026919
18,1,1,0.57735026919
18,2,11,0.5773502691902807
18,4,7,0.5773502691897193
18,6,7,0.5773502691897193
18,8,1,0.57735026919
18,9,11,0.5773502691902807
18,10,11,0.5773502691902807
18,11,1,0.57735026919
18,14,8,0.57735026919
18,15,6,0.57735026919
18,16,9,0.57735026919
18,17,3,0.57735026919
18,19,1,0.57735026919
18,21,11,0.5773502691902807
18,22,6,0.57735026919
18,24,8,0.57735026919
18,26,1,0.57735026919
18,27,11,0.5773502691902807
18,28,11,0.5773502691902807
18,29,1,0.57735026919
18,31,8,0.57735026919
18,32,6,0.57735026919
18,34,11,0.5773502691902807
18,36,1,0.57735026919
18,38,11,0.5773502691902807
18,39,1,0.57735026919
19,0,0,0.57735026919
19,2,1,0.57735026919
19,3,11,0.5773502691902807
19,4,5,0.5773502691897193
19,5,4,0.5773502691897193
19,7,1,0.57735026919
19,8,11,0.5773502691902807
19,10,11,0.5773502691902807
19,11,1,0.57735026919
19,14,4,0.57735026919
19,15,6,0.57735026919
19,17,1,0.5773502691902807
19,18,11,0.57735026919
19,20,3,0.57735026919
19,21,9,0.57735026919
19,22,4,0.57735026919
19,23,6,0.57735026919
19,25,1,0.5773502691902807
19,26,11,0.57735026919
19,28,11,0.5773502691900001
19,29,1,0.57735026919
19,31,6,0.57735026919
19,33,4,0.57735026919
19,34,11,0.57735026919
19,36,1,0.5773502691902807
19,37,1,0.5773502691902808
19,39,11,0.5773502691902808
20,0,0,0.57735026919
20,1,1,0.5773502691902807
20,2,11,0.5773502691902807
20,4,1,0.5773502691897193
20,5,0,0.57735026919
20,7,11,0.5773502691902807
20,9,1,0.5773502691902807
20,11,11,0.5773502691902807
20,12,1,0.5773502691902807
20,14,0,0.57735026919
20,15,2,0.5773502691902807
20,16,1,0.57735026919
20,17,11,0.5773502691902807
20,19,9,0.57735026919
20,21,3,0.57735026919
20,22,0,0.57735026919
20,23,2,0.5773502691902807
20,25,11,0.5773502691902807
20,27,1,0.57735026919
20,29,11,0.5773502691905614
20,30,1,0.57735026919
20,31,2,0.5773502691902807
20,33,0,0.57735026919
20,35,1,0.57735026919
20,36,11,0.5773502691902807
20,37,11,0.57735026919
20,38,1,0.5773502691902807
21,0,0,0.57735026919
21,1,11,0.57735026919
21,3,1,0.5773502691902807
21,4,9,0.57735026919
21,5,8,0.5773502691897193
21,8,1,0.5773502691902807
21,9,11,0.57735026919
21,10,1,0.5773502691902807
21,12,11,0.57735026919
21,14,8,0.57735026919
21,15,10,0.5773502691902807
21,16,11,0.5773502691902807
21,18,1,0.5773502691902807
21,19,3,0.57735026919
21,20,9,0.57735026919
21,22,8,0.57735026919
21,23,10,0.5773502691902807
21,26,1,0.5773502691902807
21,27,11,0.5773502691902807
21,28,1,0.5773502691905614
21,30,11,0.5773502691900001
21,31,10,0.5773502691902807
21,33,8,0.57735026919
21,34,1,0.5773502691902807
21,35,11,0.5773502691902807
21,38,11,0.5773502691902807
21,39,1,0.5773502691900001
22,4,0,0.57735026919
22,5,1,0.5773502691897193
22,6,2,0.5773502691897193
22,7,0,0.57735026919
22,8,8,0.57735026919
22,9,4,0.57735026919
22,10,6,0.57735026919
22,11,10,0.5773502691897193
22,12,2,0.5773502691897193
22,13,9,0.57735026919
22,14,1,0.5773502691902808
22,15,1,0.5773502691900001
22,16,2,0.57735026919
22,17,10,0.5773502691902807
22,18,6,0.57735026919
22,19,8,0.57735026919
22,20,0,0.57735026919
22,21,4,0.57735026919
22,31,3,0.57735026919
22,32,11,0.5773502691902808
22,33,11,0.57735026919
22,34,4,0.57735026919
22,35,0,0.57735026919
22,36,8,0.57735026919
22,37,10,0.57735026919
22,38,2,0.5773502691902807
22,39,6,0.57735026919
23,1,0,0.57735026919
23,2,8,0.5773502691902807
23,3,4,0.5773502691902807
23,4,0,0.57735026919
23,5,9,0.57735026919
23,6,6,0.57735026919
23,7,6,0.57735026919
23,8,2,0.5773502691902807
23,9,10,0.5773502691902807
23,13,1,0.5773502691902807
23,14,9,0.57735026919
23,15,1,0.5773502691902807
23,19,6,0.57735026919
23,20,10,0.5773502691902807
23,21,2,0.5773502691902807
23,25,8,0.5773502691902807
23,26,4,0.5773502691902807
23,27,0,0.57735026919
23,28,4,0.5773502691902807
23,29,8,0.5773502691902807
23,30,0,0.57735026919
23,31,11,0.5773502691902807
23,32,3,0.57735026919
23,33,11,0.5773502691902807
23,34,6,0.57735026919
23,35,2,0.5773502691902807
23,36,10,0.5773502691902807
24,1,6,0.57735026919
24,2,2,0.57735026919
24,3,10,0.57735026919
24,4,0,0.57735026919
24,5,5,0.5773502691897193
24,6,10,0.5773502691897193
24,10,0,0.57735026919
24,11,4,0.5773502691897193
24,12,8,0.5773502691897193
24,13,1,0.57735026919
24,14,1,0.5773502691902808
24,15,9,0.57735026919
24,16,0,0.57735026919
24,17,8,0.5773502691902807
24,18,4,0.57735026919
24,25,10,0.57735026919
24,26,6,0.57735026919
24,27,2,0.57735026919
24,28,2,0.57735026919
24,29,6,0.57735026919
24,30,10,0.57735026919
24,31,11,0.5773502691900001
24,32,11,0.5773502691902808
24,33,3,0.57735026919
24,37,0,0.57735026919
24,38,4,0.5773502691902807
24,39,8,0.57735026919
25,0,0,0.57735026919
25,2,1,0.5773502691902807
25,3,11,0.57735026919
25,4,3,0.57735026919
25,6,11,0.5773502691897193
25,7,11,0.57735026919
25,9,1,0.5773502691902807
25,10,1,0.5773502691902807
25,12,11,0.57735026919
25,13,4,0.5773502691902807
25,14,2,0.57735026919
25,16,1,0.57735026919
25,17,11,0.5773502691902807
25,19,11,0.5773502691902807
25,20,1,0.5773502691902807
25,23,4,0.5773502691902807
25,24,2,0.57735026919
25,26,9,0.57735026919
25,27,3,0.57735026919
25,29,11,0.5773502691902807
25,30,1,0.5773502691902807
25,31,2,0.57735026919
25,33,4,0.5773502691902807
25,34,11,0.57735026919
25,36,1,0.5773502691905614
25,37,1,0.5773502691902807
25,39,11,0.5773502691902807
26,0,0,0.57735026919
26,1,11,0.5773502691902807
26,3,1,0.5773502691902807
26,4,7,0.5773502691897193
26,6,3,0.57735026919
26,7,1,0.5773502691902807
26,8,11,0.5773502691902807
26,11,11,0.5773502691902807
26,12,1,0.5773502691902807
26,13,8,0.5773502691902807
26,14,6,0.57735026919
26,17,1,0.5773502691902807
26,18,11,0.57735026919
26,19,1,0.57735026919
26,21,11,0.5773502691902807
26,23,8,0.5773502691902807
26,24,6,0.57735026919
26,25,3,0.57735026919
26,27,9,0.57735026919
26,28,11,0.5773502691902807
26,29,1,0.57735026919
26,31,6,0.57735026919
26,33,8,0.5773502691902807
26,34,1,0.57735026919
26,35,11,0.5773502691905614
26,38,11,0.5773502691902807
26,39,1,0.57735026919
27,0,0,0.57735026919
27,1,1,0.57735026919
27,2,11,0.5773502691902807
27,4,11,0.5773502691897193
27,6,7,0.5773502691897193
27,8,1,0.57735026919
27,9,11,0.5773502691902807
27,10,11,0.5773502691902807
27,11,1,0.57735026919
27,13,0,0.57735026919
27,14,10,0.57735026919
27,16,11,0.5773502691902807
27,18,1,0.5773502691902807
27,20,11,0.57735026919
27,21,1,0.5773502691902807
27,23,0,0.57735026919
27,24,10,0.57735026919
27,25,9,0.57735026919
27,26,3,0.57735026919
27,28,1,0.5773502691902807
27,30,11,0.57735026919
27,31,10,0.57735026919
27,33,0,0.57735026919
27,35,1,0.57735026919
27,36,11,0.57735026919
27,37,11,0.57735026919
27,38,1,0.5773502691902807
28,0,0,0.57735026919
28,2,1,0.57735026919
28,3,11,0.5773502691902807
28,4,9,0.57735026919
28,5,4,0.5773502691897193
28,7,1,0.57735026919
28,8,11,0.5773502691902807
28,10,11,0.5773502691902807
28,11,1,0.57735026919
28,13,10,0.57735026919
28,15,8,0.5773502691902807
28,16,11,0.5773502691902807
28,18,1,0.5773502691902807
28,19,1,0.5773502691900001
28,21,11,0.5773502691905614
28,23,8,0.5773502691902807
28,24,10,0.57735026919
28,26,1,0.5773502691902807
28,27,11,0.5773502691902807
28,29,3,0.57735026919
28,30,9,0.57735026919
28,31,8,0.5773502691902807
28,32,10,0.57735026919
28,34,1,0.5773502691902807
28,35,11,0.5773502691902807
28,37,11,0.5773502691900001
28,38,1,0.5773502691902807
29,0,0,0.57735026919
29,1,1,0.5773502691902807
29,2,11,0.5773502691902807
29,4,5,0.5773502691897193
29,5,0,0.57735026919
29,7,11,0.5773502691902807
29,9,1,0.5773502691902807
29,11,11,0.5773502691902807
29,12,1,0.5773502691902807
29,13,6,0.57735026919
29,15,4,0.5773502691902807
29,17,1,0.5773502691902807
29,18,11,0.57735026919
29,19,11,0.57735026919
29,20,1,0.5773502691905614
29,23,4,0.5773502691902807
29,24,6,0.57735026919
29,25,1,0.5773502691902807
29,26,11,0.57735026919
29,28,9,0.57735026919
29,30,3,0.57735026919
29,31,4,0.5773502691902807
29,32,6,0.57735026919
29,34,11,0.57735026919
29,36,1,0.5773502691902807
29,38,11,0.5773502691902807
29,39,1,0.57735026919
30,0,0,0.57735026919
30,1,11,0.57735026919
30,3,1,0.5773502691902807
30,4,1,0.5773502691897193
30,5,8,0.5773502691897193
30,8,1,0.5773502691902807
30,9,11,0.57735026919
30,10,1,0.5773502691902807
30,12,11,0.57735026919
30,13,2,0.57735026919
30,15,0,0.57735026919
30,16,1,0.57735026919
30,17,11,0.5773502691902807
30,20,11,0.57735026919
30,21,1,0.5773502691900001
30,23,0,0.57735026919
30,24,2,0.57735026919
30,25,11,0.5773502691902807
30,27,1,0.57735026919
30,28,3,0.57735026919
30,29,9,0.57735026919
30,31,0,0.57735026919
30,32,2,0.57735026919
30,35,1,0.57735026919
30,36,11,0.5773502691902807
30,37,1,0.5773502691902808
30,39,11,0.5773502691902808
31,4,0,0.57735026919
31,5,9,0.57735026919
31,6,10,0.5773502691897193
31,7,8,0.57735026919
31,8,4,0.57735026919
31,9,0,0.57735026919
31,10,2,0.5773502691902807
31,11,6,0.57735026919
31,12,10,0.57735026919
31,13,3,0.57735026919
31,14,11,0.5773502691900001
31,15,11,0.5773502691905614
31,16,0,0.57735026919
31,17,8,0.5773502691902807
31,18,4,0.57735026919
31,19,6,0.57735026919
31,20,10,0.5773502691902807
31,21,2,0.5773502691902807
31,22,9,0.57735026919
31,23,1,0.5773502691902807
31,24,1,0.5773502691900001
31,25,10,0.57735026919
31,26,6,0.57735026919
31,27,2,0.57735026919
31,28,4,0.5773502691902807
31,29,8,0.5773502691902807
31,30,0,0.57735026919
32,1,8,0.5773502691897193
32,2,4,0.57735026919
32,3,0,0.57735026919
32,4,0,0.57735026919
32,5,5,0.5773502691897193
32,6,2,0.5773502691897193
32,7,2,0.5773502691897193
32,8,10,0.57735026919
32,9,6,0.57735026919
32,13,11,0.57735026919
32,14,3,0.57735026919
32,15,11,0.5773502691900001
32,16,2,0.57735026919
32,17,10,0.5773502691902807
32,18,6,0.57735026919
32,22,1,0.5773502691902808
32,23,9,0.57735026919
32,24,1,0.5773502691902808
32,28,2,0.57735026919
32,29,6,0.57735026919
32,30,10,0.57735026919
32,34,4,0.57735026919
32,35,0,0.57735026919
32,36,8,0.57735026919
32,37,0,0.57735026919
32,38,4,0.5773502691902807
32,39,8,0.57735026919
33,1,2,0.57735026919
33,2,10,0.57735026919
33,3,6,0.57735026919
33,4,0,0.57735026919
33,5,1,0.5773502691897193
33,6,6,0.57735026919
33,10,8,0.5773502691902807
33,11,0,0.57735026919
33,12,4,0.57735026919
33,13,11,0.5773502691905614
33,14,11,0.57735026919
33,15,3,0.57735026919
33,19,8,0.57735026919
33,20,0,0.57735026919
33,21,4,0.57735026919
33,22,1,0.57735026919
33,23,1,0.5773502691902807
33,24,9,0.57735026919
33,25,8,0.5773502691902807
33,26,4,0.5773502691902807
33,27,0,0.57735026919
33,34,6,0.57735026919
33,35,2,0.5773502691902807
33,36,10,0.5773502691902807
33,37,10,0.57735026919
33,38,2,0.5773502691902807
33,39,6,0.57735026919
34,0,0,0.57735026919
34,2,1,0.5773502691902807
34,3,11,0.57735026919
34,4,7,0.5773502691897193
34,6,11,0.5773502691897193
34,7,11,0.57735026919
34,9,1,0.5773502691902807
34,10,1,0.5773502691902807
34,12,11,0.57735026919
34,13,6,0.57735026919
34,15,8,0.57735026919
34,16,11,0.5773502691902807
34,18,1,0.5773502691902807
34,19,1,0.57735026919
34,21,11,0.5773502691902807
34,22,8,0.57735026919
34,23,6,0.57735026919
34,25,1,0.57735026919
34,26,11,0.57735026919
34,28,11,0.5773502691902807
34,29,1,0.57735026919
34,32,8,0.57735026919
34,33,6,0.57735026919
34,35,9,0.57735026919
34,36,3,0.57735026919
34,38,11,0.5773502691902807
34,39,1,0.57735026919
35,0,0,0.57735026919
35,1,11,0.5773502691902807
35,3,1,0.5773502691902807
35,4,11,0.5773502691897193
35,6,3,0.57735026919
35,7,1,0.5773502691902807
35,8,11,0.5773502691902807
35,11,11,0.5773502691902807
35,12,1,0.5773502691902807
35,13,10,0.5773502691902807
35,15,0,0.57735026919
35,16,1,0.57735026919
35,17,11,0.5773502691902807
35,20,11,0.57735026919
35,21,1,0.5773502691902807
35,22,0,0.57735026919
35,23,10,0.5773502691902807
35,26,1,0.5773502691905614
35,27,11,0.57735026919
35,28,1,0.5773502691902807
35,30,11,0.57735026919
35,32,0,0.57735026919
35,33,10,0.5773502691902807
35,34,3,0.57735026919
35,36,9,0.57735026919
35,37,11,0.57735026919
35,38,1,0.5773502691902807
36,0,0,0.57735026919
36,1,1,0.57735026919
36,2,11,0.5773502691902807
36,4,3,0.57735026919
36,6,7,0.5773502691897193
36,8,1,0.57735026919
36,9,11,0.5773502691902807
36,10,11,0.5773502691902807
36,11,1,0.57735026919
36,13,2,0.5773502691902807
36,15,4,0.57735026919
36,17,1,0.5773502691902807
36,18,11,0.57735026919
36,19,11,0.5773502691902807
36,20,1,0.5773502691902807
36,22,4,0.57735026919
36,23,2,0.5773502691902807
36,25,11,0.5773502691905614
36,27,1,0.57735026919
36,29,11,0.5773502691902807
36,30,1,0.5773502691902807
36,32,4,0.57735026919
36,33,2,0.5773502691902807
36,34,9,0.57735026919
36,35,3,0.57735026919
36,37,1,0.5773502691902807
36,39,11,0.5773502691902807
