w33_point,n12_point,n12_mask
0,C19,4032
1,C33,4032
2,C21,3647
3,F35,448
4,C18,504
5,C16,455
6,C17,3647
7,C03,4088
8,C04,3591
9,C11,3640
10,C25,4032
11,C29,504
12,C13,4039
13,C20,511
14,C12,511
15,C01,3647
16,C05,511
17,C26,3591
18,C34,3647
19,C09,4039
20,C22,63
21,C28,3591
22,F36,7
23,C27,504
24,C10,504
25,C37,4088
26,C23,511
27,C00,511
28,C14,3591
29,C06,3640
30,X36,3584
31,C32,4039
32,C24,4088
33,C07,4032
34,C31,3647
35,C08,63
36,C15,504
37,C30,63
38,X35,56
39,C02,4039
