triad_index,triad,center_quad,triad_hol_mod12,cover12
196,8 19 23,12 16 24 38,9,0
197,8 19 36,12 16 24 38,3,1
198,8 21 22,2 24 25 29,3,1
199,8 21 35,2 24 25 29,9,1
200,8 22 35,2 24 25 29,3,1
201,8 23 36,12 16 24 38,9,1
202,8 26 39,2 15 16 20,3,1
203,8 27 37,12 15 29 34,9,1
204,8 28 32,12 20 25 33,9,1
205,8 30 31,2 33 34 38,3,1
206,9 13 27,3 15 17 19,3,1
207,9 13 38,3 15 17 19,9,0
208,9 14 25,11 15 28 35,9,1
209,9 14 39,11 15 28 35,3,1
210,9 16 30,11 19 26 33,9,1
211,9 16 32,11 19 26 33,3,0
212,9 18 29,3 33 35 37,3,1
213,9 18 31,3 33 35 37,9,1
214,9 20 22,3 24 26 28,3,1
215,9 20 36,3 24 26 28,9,1
216,9 21 23,11 17 24 37,9,1
217,9 21 34,11 17 24 37,3,1
218,9 22 36,3 24 26 28,3,1
219,9 23 34,11 17 24 37,9,0
220,9 25 39,11 15 28 35,9,0
221,9 27 38,3 15 17 19,3,1
222,9 29 31,3 33 35 37,3,1
223,9 30 32,11 19 26 33,9,1
224,10 11 12,4 14 23 32,9,1
225,10 13 28,1 14 17 20,3,1
226,10 13 34,1 14 17 20,9,1
227,10 15 30,7 14 26 38,9,1
228,10 15 36,7 14 26 38,3,1
229,10 16 22,1 23 26 29,3,1
230,10 16 37,1 23 26 29,9,0
231,10 18 24,7 20 23 35,9,1
232,10 18 39,7 20 23 35,3,1
233,10 19 25,1 32 35 38,3,1
234,10 19 31,1 32 35 38,9,1
235,10 21 27,7 17 29 32,9,1
236,10 21 33,7 17 29 32,3,1
237,10 22 37,1 23 26 29,3,1
238,10 24 39,7 20 23 35,9,1
239,10 25 31,1 32 35 38,3,1
240,10 27 33,7 17 29 32,9,1
241,10 28 34,1 14 17 20,3,1
242,10 30 36,7 14 26 38,9,1
243,11 13 29,3 14 16 21,3,0
244,11 13 36,3 14 16 21,9,1
245,11 15 28,9 14 25 39,9,1
246,11 15 35,9 14 25 39,3,1
247,11 17 24,9 21 23 34,9,1
248,11 17 37,9 21 23 34,3,1
249,11 18 22,3 23 25 30,3,1
250,11 18 38,3 23 25 30,9,1
251,11 19 26,9 16 30 32,9,1
252,11 19 33,9 16 30 32,3,1
253,11 20 27,3 32 34 39,3,1
254,11 20 31,3 32 34 39,9,1
255,11 22 38,3 23 25 30,3,1
256,11 24 37,9 21 23 34,9,1
257,11 26 33,9 16 30 32,9,1
258,11 27 31,3 32 34 39,3,1
259,11 28 35,9 14 25 39,9,1
260,11 29 36,3 14 16 21,3,1
261,12 13 30,2 14 18 19,3,1
262,12 13 35,2 14 18 19,9,1
263,12 15 29,8 14 27 37,9,1
264,12 15 34,8 14 27 37,3,1
265,12 16 24,8 19 23 36,9,1
266,12 16 38,8 19 23 36,3,1
267,12 17 22,2 23 27 28,3,1
268,12 17 39,2 23 27 28,9,1
269,12 20 25,8 18 28 32,9,1
270,12 20 33,8 18 28 32,3,1
271,12 21 26,2 32 36 37,3,1
272,12 21 31,2 32 36 37,9,1
273,12 22 39,2 23 27 28,3,1
274,12 24 38,8 19 23 36,9,0
275,12 25 33,8 18 28 32,9,1
276,12 26 31,2 32 36 37,3,1
277,12 29 34,8 14 27 37,9,0
278,12 30 35,2 14 18 19,3,0
279,13 22 31,0 1 2 3,9,1
280,13 23 33,0 16 17 18,9,1
281,13 24 32,0 19 20 21,9,1
282,13 25 37,1 15 18 21,9,1
283,13 26 39,2 15 16 20,9,1
284,13 27 38,3 15 17 19,9,1
285,13 28 34,1 14 17 20,9,1
286,13 29 36,3 14 16 21,9,1
287,13 30 35,2 14 18 19,9,1
288,14 16 21,11 13 29 36,9,1
289,14 17 20,10 13 28 34,9,1
290,14 18 19,12 13 30 35,9,0
291,14 22 33,0 28 29 30,9,1
292,14 23 32,0 10 11 12,9,1
293,14 24 31,0 34 35 36,9,1
294,14 25 39,11 15 28 35,3,1
295,14 26 38,10 15 30 36,3,1
296,14 27 37,12 15 29 34,3,1
297,15 16 20,8 13 26 39,3,0
298,15 17 19,9 13 27 38,3,1
299,15 18 21,7 13 25 37,3,1
300,15 22 32,0 25 26 27,9,1
301,15 23 31,0 37 38 39,9,1
302,15 24 33,0 7 8 9,9,1
303,15 28 35,9 14 25 39,3,1
304,15 29 34,8 14 27 37,3,1
305,15 30 36,7 14 26 38,3,1
306,16 17 18,5 13 23 33,3,1
307,16 22 37,1 23 26 29,9,1
308,16 24 38,8 19 23 36,3,1
309,16 25 34,1 5 8 11,9,1
310,16 27 35,5 19 29 39,3,1
311,16 28 31,1 33 36 39,9,1
312,16 30 32,11 19 26 33,3,1
313,17 22 39,2 23 27 28,9,1
314,17 24 37,9 21 23 34,3,1
315,17 25 36,5 21 28 38,3,1
316,17 26 35,2 5 9 10,9,1
317,17 29 32,10 21 27 33,3,0
318,17 30 31,2 33 34 38,9,1
319,18 22 38,3 23 25 30,9,1
320,18 24 39,7 20 23 35,3,1
321,18 26 34,5 20 30 37,3,1
322,18 27 36,3 5 7 12,9,0
323,18 28 32,12 20 25 33,3,1
324,18 29 31,3 33 35 37,9,1
325,19 20 21,6 13 24 32,9,1
326,19 22 34,1 24 27 30,9,1
327,19 23 36,12 16 24 38,3,0
328,19 25 31,1 32 35 38,9,1
329,19 26 33,9 16 30 32,3,1
330,19 28 37,1 6 9 12,9,1
331,19 29 39,6 16 27 35,3,1
332,20 22 36,3 24 26 28,9,1
333,20 23 35,10 18 24 39,3,1
334,20 25 33,8 18 28 32,3,1
335,20 27 31,3 32 34 39,9,1
336,20 29 38,3 6 8 10,9,1
337,20 30 37,6 18 26 34,3,1
338,21 22 35,2 24 25 29,9,0
339,21 23 34,11 17 24 37,3,0
340,21 26 31,2 32 36 37,9,0
341,21 27 33,7 17 29 32,3,0
342,21 28 38,6 17 25 36,3,1
343,21 30 39,2 6 7 11,9,1
344,23 25 30,11 18 22 38,9,1
345,23 26 29,10 16 22 37,9,1
346,23 27 28,12 17 22 39,9,1
347,24 25 29,8 21 22 35,3,1
348,24 26 28,9 20 22 36,3,1
349,24 27 30,7 19 22 34,3,0
350,25 26 27,5 15 22 32,3,1
351,28 29 30,6 14 22 33,9,1
352,32 34 39,11 20 27 31,9,1
353,32 35 38,10 19 25 31,9,0
354,32 36 37,12 21 26 31,9,1
355,33 34 38,8 17 30 31,3,0
356,33 35 37,9 18 29 31,3,1
357,33 36 39,7 16 28 31,3,1
358,34 35 36,5 14 24 31,3,0
359,37 38 39,6 15 23 31,9,1
