line_bits,p1,p2,p3
0001|0010|0011,0001,0010,0011
0001|1000|1001,0001,1000,1001
0001|1010|1011,0001,1010,1011
0010|0100|0110,0010,0100,0110
0010|0101|0111,0010,0101,0111
0011|1100|1111,0011,1100,1111
0011|1101|1110,0011,1101,1110
0100|1000|1100,0100,1000,1100
0100|1010|1110,0100,1010,1110
0101|1000|1101,0101,1000,1101
0101|1010|1111,0101,1010,1111
0110|1001|1111,0110,1001,1111
0110|1011|1101,0110,1011,1101
0111|1001|1110,0111,1001,1110
0111|1011|1100,0111,1011,1100
