u,v,z2_voltage,s3_perm,s3_class,s3_sign
19,32,1,"(2, 0, 1)",3-cycle,0
19,33,1,"(1, 0, 2)",transposition,1
19,34,0,"(0, 2, 1)",transposition,1
19,36,0,"(0, 1, 2)",id,0
19,38,1,"(1, 0, 2)",transposition,1
19,39,0,"(0, 1, 2)",id,0
19,40,0,"(0, 2, 1)",transposition,1
19,41,0,"(0, 1, 2)",id,0
19,42,0,"(0, 1, 2)",id,0
19,43,1,"(2, 1, 0)",transposition,1
20,0,0,"(0, 1, 2)",id,0
20,1,1,"(1, 2, 0)",3-cycle,0
20,3,0,"(0, 1, 2)",id,0
20,4,0,"(0, 1, 2)",id,0
20,5,1,"(0, 2, 1)",transposition,1
20,8,1,"(0, 1, 2)",id,0
20,9,1,"(2, 1, 0)",transposition,1
20,11,0,"(0, 1, 2)",id,0
20,12,0,"(0, 1, 2)",id,0
20,13,1,"(0, 1, 2)",id,0
20,16,1,"(1, 0, 2)",transposition,1
20,17,0,"(0, 1, 2)",id,0
20,18,0,"(0, 1, 2)",id,0
20,19,0,"(0, 1, 2)",id,0
20,21,0,"(0, 1, 2)",id,0
20,22,0,"(0, 1, 2)",id,0
20,23,0,"(0, 1, 2)",id,0
20,24,0,"(0, 1, 2)",id,0
20,26,1,"(1, 2, 0)",3-cycle,0
20,27,0,"(0, 1, 2)",id,0
20,28,0,"(0, 1, 2)",id,0
20,30,1,"(0, 1, 2)",id,0
20,31,1,"(2, 1, 0)",transposition,1
20,33,0,"(1, 2, 0)",3-cycle,0
20,34,1,"(1, 0, 2)",transposition,1
20,36,1,"(0, 1, 2)",id,0
20,38,0,"(1, 0, 2)",transposition,1
20,39,1,"(0, 1, 2)",id,0
20,40,1,"(0, 1, 2)",id,0
20,41,1,"(0, 1, 2)",id,0
20,42,1,"(0, 1, 2)",id,0
20,43,0,"(2, 1, 0)",transposition,1
21,0,0,"(0, 1, 2)",id,0
21,2,1,"(2, 1, 0)",transposition,1
21,3,1,"(1, 0, 2)",transposition,1
21,5,0,"(0, 1, 2)",id,0
21,6,0,"(0, 1, 2)",id,0
21,8,1,"(2, 0, 1)",3-cycle,0
21,10,1,"(2, 1, 0)",transposition,1
21,11,1,"(0, 2, 1)",transposition,1
21,13,0,"(0, 1, 2)",id,0
21,14,0,"(0, 1, 2)",id,0
21,16,1,"(1, 0, 2)",transposition,1
21,17,0,"(0, 1, 2)",id,0
21,18,0,"(2, 0, 1)",3-cycle,0
21,19,0,"(0, 1, 2)",id,0
21,20,0,"(0, 1, 2)",id,0
21,22,0,"(0, 1, 2)",id,0
21,23,0,"(0, 2, 1)",transposition,1
21,24,0,"(0, 2, 1)",transposition,1
21,25,1,"(2, 1, 0)",transposition,1
21,28,1,"(0, 1, 2)",id,0
21,29,0,"(0, 1, 2)",id,0
21,30,0,"(0, 1, 2)",id,0
21,31,1,"(0, 1, 2)",id,0
21,33,0,"(0, 1, 2)",id,0
21,35,1,"(0, 1, 2)",id,0
21,37,1,"(0, 2, 1)",transposition,1
21,38,0,"(0, 1, 2)",id,0
21,39,0,"(0, 1, 2)",id,0
21,40,0,"(1, 2, 0)",3-cycle,0
21,41,0,"(2, 1, 0)",transposition,1
21,42,1,"(1, 0, 2)",transposition,1
21,44,0,"(0, 1, 2)",id,0
22,0,0,"(0, 1, 2)",id,0
22,1,1,"(1, 0, 2)",transposition,1
22,4,1,"(2, 0, 1)",3-cycle,0
22,5,0,"(0, 1, 2)",id,0
22,6,0,"(0, 1, 2)",id,0
22,7,1,"(1, 0, 2)",transposition,1
22,9,1,"(1, 2, 0)",3-cycle,0
22,12,1,"(2, 0, 1)",3-cycle,0
22,13,0,"(0, 1, 2)",id,0
22,14,0,"(0, 1, 2)",id,0
22,15,1,"(2, 1, 0)",transposition,1
22,17,0,"(0, 1, 2)",id,0
22,18,0,"(0, 1, 2)",id,0
22,19,0,"(1, 0, 2)",transposition,1
22,20,0,"(0, 1, 2)",id,0
22,21,0,"(0, 1, 2)",id,0
22,23,0,"(0, 2, 1)",transposition,1
22,24,0,"(0, 2, 1)",transposition,1
22,26,1,"(1, 2, 0)",3-cycle,0
22,27,1,"(2, 0, 1)",3-cycle,0
22,29,0,"(0, 1, 2)",id,0
22,30,0,"(0, 1, 2)",id,0
22,32,1,"(0, 2, 1)",transposition,1
22,33,1,"(0, 1, 2)",id,0
22,35,0,"(2, 1, 0)",transposition,1
22,37,0,"(0, 2, 1)",transposition,1
22,38,1,"(1, 0, 2)",transposition,1
22,39,1,"(0, 1, 2)",id,0
22,40,1,"(2, 1, 0)",transposition,1
22,41,1,"(1, 0, 2)",transposition,1
22,42,0,"(1, 0, 2)",transposition,1
22,44,1,"(1, 0, 2)",transposition,1
23,0,0,"(0, 1, 2)",id,0
23,2,1,"(2, 0, 1)",3-cycle,0
23,4,1,"(2, 0, 1)",3-cycle,0
23,5,1,"(1, 2, 0)",3-cycle,0
23,7,0,"(0, 1, 2)",id,0
23,8,0,"(0, 1, 2)",id,0
23,10,1,"(1, 0, 2)",transposition,1
23,12,1,"(0, 1, 2)",id,0
23,13,1,"(0, 1, 2)",id,0
23,15,0,"(0, 1, 2)",id,0
23,16,0,"(0, 1, 2)",id,0
23,17,0,"(0, 1, 2)",id,0
23,18,0,"(0, 1, 2)",id,0
23,19,0,"(0, 1, 2)",id,0
23,20,0,"(0, 1, 2)",id,0
23,21,0,"(0, 2, 1)",transposition,1
23,22,0,"(0, 2, 1)",transposition,1
23,24,0,"(0, 1, 2)",id,0
23,25,1,"(0, 2, 1)",transposition,1
23,27,1,"(2, 1, 0)",transposition,1
23,30,1,"(1, 2, 0)",3-cycle,0
23,31,0,"(0, 1, 2)",id,0
23,32,0,"(0, 1, 2)",id,0
23,34,1,"(0, 1, 2)",id,0
23,35,0,"(2, 0, 1)",3-cycle,0
23,36,1,"(2, 1, 0)",transposition,1
23,37,0,"(0, 1, 2)",id,0
23,39,0,"(0, 1, 2)",id,0
23,40,0,"(1, 0, 2)",transposition,1
23,41,0,"(2, 0, 1)",3-cycle,0
23,43,0,"(0, 1, 2)",id,0
23,44,1,"(0, 2, 1)",transposition,1
24,0,0,"(0, 1, 2)",id,0
24,1,1,"(2, 0, 1)",3-cycle,0
24,3,1,"(2, 0, 1)",3-cycle,0
24,6,1,"(2, 0, 1)",3-cycle,0
24,7,0,"(0, 1, 2)",id,0
24,8,0,"(0, 1, 2)",id,0
24,9,1,"(1, 0, 2)",transposition,1
24,11,1,"(1, 2, 0)",3-cycle,0
24,14,1,"(0, 2, 1)",transposition,1
24,15,0,"(0, 1, 2)",id,0
24,16,0,"(0, 1, 2)",id,0
24,17,0,"(0, 1, 2)",id,0
24,18,0,"(0, 1, 2)",id,0
24,19,0,"(0, 1, 2)",id,0
24,20,0,"(0, 1, 2)",id,0
24,21,0,"(0, 2, 1)",transposition,1
24,22,0,"(0, 2, 1)",transposition,1
24,23,0,"(0, 1, 2)",id,0
24,26,1,"(1, 2, 0)",3-cycle,0
24,28,1,"(1, 2, 0)",3-cycle,0
24,29,1,"(1, 2, 0)",3-cycle,0
24,31,0,"(0, 1, 2)",id,0
24,32,0,"(0, 1, 2)",id,0
24,34,0,"(0, 1, 2)",id,0
24,35,1,"(0, 1, 2)",id,0
24,36,0,"(2, 1, 0)",transposition,1
24,37,1,"(2, 0, 1)",3-cycle,0
24,39,1,"(0, 1, 2)",id,0
24,40,1,"(1, 0, 2)",transposition,1
24,41,1,"(1, 0, 2)",transposition,1
24,43,1,"(0, 1, 2)",id,0
24,44,0,"(0, 2, 1)",transposition,1
25,0,0,"(0, 1, 2)",id,0
25,1,0,"(0, 1, 2)",id,0
25,2,0,"(0, 1, 2)",id,0
25,3,1,"(0, 2, 1)",transposition,1
25,5,1,"(0, 2, 1)",transposition,1
25,7,1,"(0, 2, 1)",transposition,1
25,9,0,"(0, 1, 2)",id,0
25,10,0,"(0, 1, 2)",id,0
25,12,1,"(0, 1, 2)",id,0
25,14,1,"(2, 0, 1)",3-cycle,0
25,16,1,"(1, 0, 2)",transposition,1
25,17,0,"(0, 1, 2)",id,0
25,18,0,"(0, 1, 2)",id,0
25,19,1,"(1, 0, 2)",transposition,1
25,21,1,"(2, 1, 0)",transposition,1
25,23,1,"(0, 2, 1)",transposition,1
25,26,0,"(0, 1, 2)",id,0
25,27,0,"(0, 1, 2)",id,0
25,28,0,"(0, 1, 2)",id,0
25,29,0,"(0, 2, 1)",transposition,1
25,30,0,"(1, 2, 0)",3-cycle,0
25,31,0,"(0, 1, 2)",id,0
25,32,0,"(0, 2, 1)",transposition,1
25,33,1,"(0, 2, 1)",transposition,1
25,34,1,"(0, 2, 1)",transposition,1
25,35,1,"(0, 1, 2)",id,0
25,36,0,"(1, 2, 0)",3-cycle,0
25,37,0,"(2, 1, 0)",transposition,1
25,38,0,"(0, 1, 2)",id,0
25,39,1,"(0, 1, 2)",id,0
25,40,1,"(1, 2, 0)",3-cycle,0
25,41,1,"(0, 1, 2)",id,0
26,0,0,"(0, 1, 2)",id,0
26,1,0,"(0, 1, 2)",id,0
26,2,0,"(0, 1, 2)",id,0
26,4,1,"(0, 2, 1)",transposition,1
26,6,1,"(0, 1, 2)",id,0
26,8,1,"(0, 2, 1)",transposition,1
26,9,0,"(0, 1, 2)",id,0
26,10,0,"(0, 1, 2)",id,0
26,11,1,"(1, 0, 2)",transposition,1
26,13,1,"(2, 0, 1)",3-cycle,0
26,15,1,"(0, 2, 1)",transposition,1
26,17,0,"(0, 1, 2)",id,0
26,18,0,"(0, 1, 2)",id,0
26,20,1,"(2, 0, 1)",3-cycle,0
26,22,1,"(2, 0, 1)",3-cycle,0
26,24,1,"(2, 0, 1)",3-cycle,0
26,25,0,"(0, 1, 2)",id,0
26,27,0,"(2, 1, 0)",transposition,1
26,28,0,"(0, 1, 2)",id,0
26,29,0,"(0, 1, 2)",id,0
26,30,0,"(0, 2, 1)",transposition,1
26,31,0,"(0, 1, 2)",id,0
26,32,0,"(2, 1, 0)",transposition,1
26,33,0,"(0, 1, 2)",id,0
26,34,0,"(0, 1, 2)",id,0
26,35,0,"(0, 1, 2)",id,0
26,36,1,"(2, 1, 0)",transposition,1
26,37,1,"(2, 1, 0)",transposition,1
26,38,1,"(0, 1, 2)",id,0
26,39,0,"(0, 2, 1)",transposition,1
26,40,0,"(0, 1, 2)",id,0
26,41,0,"(0, 1, 2)",id,0
27,0,0,"(0, 1, 2)",id,0
27,2,1,"(1, 2, 0)",3-cycle,0
27,3,0,"(0, 1, 2)",id,0
27,4,0,"(0, 1, 2)",id,0
27,6,1,"(0, 2, 1)",transposition,1
27,7,1,"(0, 1, 2)",id,0
27,9,1,"(1, 0, 2)",transposition,1
27,11,0,"(0, 1, 2)",id,0
27,12,0,"(0, 1, 2)",id,0
27,13,1,"(1, 0, 2)",transposition,1
27,16,1,"(2, 0, 1)",3-cycle,0
27,18,1,"(1, 2, 0)",3-cycle,0
27,19,0,"(0, 1, 2)",id,0
27,20,0,"(0, 1, 2)",id,0
27,22,1,"(1, 2, 0)",3-cycle,0
27,23,1,"(2, 1, 0)",transposition,1
27,25,0,"(0, 1, 2)",id,0
27,26,0,"(2, 1, 0)",transposition,1
27,28,0,"(0, 1, 2)",id,0
27,29,0,"(1, 0, 2)",transposition,1
27,30,0,"(1, 0, 2)",transposition,1
27,31,0,"(0, 1, 2)",id,0
27,32,0,"(2, 1, 0)",transposition,1
27,33,0,"(0, 2, 1)",transposition,1
27,35,1,"(1, 0, 2)",transposition,1
27,36,0,"(0, 1, 2)",id,0
27,37,1,"(2, 1, 0)",transposition,1
27,39,0,"(0, 1, 2)",id,0
27,41,1,"(1, 0, 2)",transposition,1
27,42,0,"(0, 2, 1)",transposition,1
27,43,0,"(0, 1, 2)",id,0
27,44,0,"(1, 2, 0)",3-cycle,0
28,0,0,"(0, 1, 2)",id,0
28,1,1,"(0, 1, 2)",id,0
28,3,0,"(0, 1, 2)",id,0
28,4,0,"(0, 1, 2)",id,0
28,5,1,"(0, 1, 2)",id,0
28,8,1,"(0, 2, 1)",transposition,1
28,10,1,"(1, 2, 0)",3-cycle,0
28,11,0,"(0, 1, 2)",id,0
28,12,0,"(0, 1, 2)",id,0
28,14,1,"(1, 2, 0)",3-cycle,0
28,15,1,"(0, 1, 2)",id,0
28,17,1,"(2, 0, 1)",3-cycle,0
28,19,0,"(0, 1, 2)",id,0
28,20,0,"(0, 1, 2)",id,0
28,21,1,"(0, 1, 2)",id,0
28,24,1,"(2, 0, 1)",3-cycle,0
28,25,0,"(0, 1, 2)",id,0
28,26,0,"(0, 1, 2)",id,0
28,27,0,"(0, 1, 2)",id,0
28,29,0,"(1, 0, 2)",transposition,1
28,30,0,"(1, 0, 2)",transposition,1
28,31,0,"(0, 1, 2)",id,0
28,32,0,"(0, 1, 2)",id,0
28,33,1,"(0, 1, 2)",id,0
28,35,0,"(0, 1, 2)",id,0
28,36,1,"(0, 1, 2)",id,0
28,37,0,"(2, 1, 0)",transposition,1
28,39,1,"(0, 1, 2)",id,0
28,41,0,"(1, 0, 2)",transposition,1
28,42,1,"(0, 1, 2)",id,0
28,43,1,"(2, 0, 1)",3-cycle,0
28,44,1,"(1, 2, 0)",3-cycle,0
29,0,0,"(0, 1, 2)",id,0
29,2,1,"(1, 0, 2)",transposition,1
29,3,1,"(1, 0, 2)",transposition,1
29,5,0,"(0, 1, 2)",id,0
29,6,0,"(0, 1, 2)",id,0
29,8,1,"(1, 0, 2)",transposition,1
29,9,1,"(0, 1, 2)",id,0
29,12,1,"(1, 0, 2)",transposition,1
29,13,0,"(0, 1, 2)",id,0
29,14,0,"(0, 1, 2)",id,0
29,15,1,"(2, 1, 0)",transposition,1
29,18,1,"(2, 1, 0)",transposition,1
29,19,1,"(0, 2, 1)",transposition,1
29,21,0,"(0, 1, 2)",id,0
29,22,0,"(0, 1, 2)",id,0
29,24,1,"(2, 0, 1)",3-cycle,0
29,25,0,"(0, 2, 1)",transposition,1
29,26,0,"(0, 1, 2)",id,0
29,27,0,"(1, 0, 2)",transposition,1
29,28,0,"(1, 0, 2)",transposition,1
29,30,0,"(0, 1, 2)",id,0
29,31,0,"(0, 1, 2)",id,0
29,32,0,"(0, 1, 2)",id,0
29,34,1,"(0, 2, 1)",transposition,1
29,35,0,"(0, 1, 2)",id,0
29,36,1,"(0, 2, 1)",transposition,1
29,38,0,"(0, 1, 2)",id,0
29,40,1,"(0, 2, 1)",transposition,1
29,41,0,"(0, 1, 2)",id,0
29,42,0,"(2, 0, 1)",3-cycle,0
29,43,0,"(0, 1, 2)",id,0
29,44,0,"(2, 1, 0)",transposition,1
30,0,0,"(0, 1, 2)",id,0
30,1,1,"(1, 2, 0)",3-cycle,0
30,4,1,"(1, 0, 2)",transposition,1
30,5,0,"(0, 1, 2)",id,0
30,6,0,"(0, 1, 2)",id,0
30,7,1,"(1, 0, 2)",transposition,1
30,10,1,"(1, 2, 0)",3-cycle,0
30,11,1,"(0, 2, 1)",transposition,1
30,13,0,"(0, 1, 2)",id,0
30,14,0,"(0, 1, 2)",id,0
30,16,1,"(2, 0, 1)",3-cycle,0
30,17,1,"(0, 2, 1)",transposition,1
30,20,1,"(0, 1, 2)",id,0
30,21,0,"(0, 1, 2)",id,0
30,22,0,"(0, 1, 2)",id,0
30,23,1,"(2, 0, 1)",3-cycle,0
30,25,0,"(2, 0, 1)",3-cycle,0
30,26,0,"(0, 2, 1)",transposition,1
30,27,0,"(1, 0, 2)",transposition,1
30,28,0,"(1, 0, 2)",transposition,1
30,29,0,"(0, 1, 2)",id,0
30,31,0,"(0, 1, 2)",id,0
30,32,0,"(0, 1, 2)",id,0
30,34,0,"(2, 1, 0)",transposition,1
30,35,1,"(0, 1, 2)",id,0
30,36,0,"(1, 0, 2)",transposition,1
30,38,1,"(1, 0, 2)",transposition,1
30,40,0,"(0, 2, 1)",transposition,1
30,41,1,"(0, 1, 2)",id,0
30,42,1,"(0, 2, 1)",transposition,1
30,43,1,"(0, 2, 1)",transposition,1
30,44,1,"(2, 1, 0)",transposition,1
31,0,0,"(0, 1, 2)",id,0
31,2,1,"(2, 0, 1)",3-cycle,0
31,4,1,"(2, 0, 1)",3-cycle,0
31,5,1,"(2, 0, 1)",3-cycle,0
31,7,0,"(0, 1, 2)",id,0
31,8,0,"(0, 1, 2)",id,0
31,9,1,"(0, 2, 1)",transposition,1
31,11,1,"(2, 1, 0)",transposition,1
31,14,1,"(2, 1, 0)",transposition,1
31,15,0,"(0, 1, 2)",id,0
31,16,0,"(0, 1, 2)",id,0
31,18,1,"(2, 1, 0)",transposition,1
31,20,1,"(2, 1, 0)",transposition,1
31,21,1,"(0, 1, 2)",id,0
31,23,0,"(0, 1, 2)",id,0
31,24,0,"(0, 1, 2)",id,0
31,25,0,"(0, 1, 2)",id,0
31,26,0,"(0, 1, 2)",id,0
31,27,0,"(0, 1, 2)",id,0
31,28,0,"(0, 1, 2)",id,0
31,29,0,"(0, 1, 2)",id,0
31,30,0,"(0, 1, 2)",id,0
31,32,0,"(0, 1, 2)",id,0
31,33,1,"(1, 2, 0)",3-cycle,0
31,34,0,"(0, 1, 2)",id,0
31,37,0,"(0, 1, 2)",id,0
31,38,1,"(1, 0, 2)",transposition,1
31,39,1,"(0, 2, 1)",transposition,1
31,40,0,"(0, 1, 2)",id,0
31,42,0,"(0, 1, 2)",id,0
31,43,0,"(0, 1, 2)",id,0
31,44,0,"(0, 1, 2)",id,0
32,0,0,"(0, 1, 2)",id,0
32,1,1,"(1, 0, 2)",transposition,1
32,3,1,"(2, 0, 1)",3-cycle,0
32,6,1,"(1, 2, 0)",3-cycle,0
32,7,0,"(0, 1, 2)",id,0
32,8,0,"(0, 1, 2)",id,0
32,10,1,"(0, 1, 2)",id,0
32,12,1,"(0, 2, 1)",transposition,1
32,13,1,"(1, 0, 2)",transposition,1
32,15,0,"(0, 1, 2)",id,0
32,16,0,"(0, 1, 2)",id,0
32,17,1,"(0, 2, 1)",transposition,1
32,19,1,"(1, 2, 0)",3-cycle,0
32,22,1,"(0, 2, 1)",transposition,1
32,23,0,"(0, 1, 2)",id,0
32,24,0,"(0, 1, 2)",id,0
32,25,0,"(0, 2, 1)",transposition,1
32,26,0,"(2, 1, 0)",transposition,1
32,27,0,"(2, 1, 0)",transposition,1
32,28,0,"(0, 1, 2)",id,0
32,29,0,"(0, 1, 2)",id,0
32,30,0,"(0, 1, 2)",id,0
32,31,0,"(0, 1, 2)",id,0
32,33,0,"(0, 1, 2)",id,0
32,34,1,"(0, 2, 1)",transposition,1
32,37,1,"(0, 1, 2)",id,0
32,38,0,"(0, 2, 1)",transposition,1
32,39,0,"(2, 1, 0)",transposition,1
32,40,1,"(2, 0, 1)",3-cycle,0
32,42,1,"(0, 2, 1)",transposition,1
32,43,1,"(0, 1, 2)",id,0
32,44,1,"(0, 1, 2)",id,0
33,3,0,"(0, 1, 2)",id,0
33,4,1,"(0, 1, 2)",id,0
33,5,0,"(0, 1, 2)",id,0
33,6,1,"(0, 1, 2)",id,0
33,7,0,"(0, 1, 2)",id,0
33,8,1,"(0, 1, 2)",id,0
33,9,1,"(0, 2, 1)",transposition,1
33,10,0,"(0, 1, 2)",id,0
33,13,1,"(1, 0, 2)",transposition,1
33,14,0,"(2, 1, 0)",transposition,1
33,15,0,"(0, 1, 2)",id,0
33,16,1,"(0, 1, 2)",id,0
33,17,1,"(0, 2, 1)",transposition,1
33,18,0,"(0, 1, 2)",id,0
33,19,1,"(1, 0, 2)",transposition,1
33,20,0,"(2, 0, 1)",3-cycle,0
33,21,0,"(0, 1, 2)",id,0
33,22,1,"(0, 1, 2)",id,0
33,25,1,"(0, 2, 1)",transposition,1
33,26,0,"(0, 1, 2)",id,0
33,27,0,"(0, 2, 1)",transposition,1
33,28,1,"(0, 1, 2)",id,0
33,31,1,"(2, 0, 1)",3-cycle,0
33,32,0,"(0, 1, 2)",id,0
33,34,0,"(0, 1, 2)",id,0
33,35,0,"(0, 1, 2)",id,0
33,37,1,"(0, 1, 2)",id,0
33,38,0,"(2, 1, 0)",transposition,1
33,39,0,"(0, 1, 2)",id,0
33,41,1,"(2, 1, 0)",transposition,1
33,42,1,"(1, 2, 0)",3-cycle,0
33,43,0,"(1, 2, 0)",3-cycle,0
34,3,0,"(0, 1, 2)",id,0
34,4,1,"(1, 0, 2)",transposition,1
34,5,0,"(0, 1, 2)",id,0
34,6,1,"(0, 2, 1)",transposition,1
34,7,0,"(0, 1, 2)",id,0
34,8,1,"(1, 2, 0)",3-cycle,0
34,9,1,"(0, 2, 1)",transposition,1
34,10,0,"(0, 1, 2)",id,0
34,11,1,"(0, 1, 2)",id,0
34,12,0,"(0, 1, 2)",id,0
34,13,0,"(1, 2, 0)",3-cycle,0
34,14,1,"(0, 1, 2)",id,0
34,17,1,"(0, 1, 2)",id,0
34,18,0,"(0, 1, 2)",id,0
34,19,0,"(0, 2, 1)",transposition,1
34,20,1,"(1, 0, 2)",transposition,1
34,23,1,"(0, 1, 2)",id,0
34,24,0,"(0, 1, 2)",id,0
34,25,1,"(0, 2, 1)",transposition,1
34,26,0,"(0, 1, 2)",id,0
34,29,1,"(0, 2, 1)",transposition,1
34,30,0,"(2, 1, 0)",transposition,1
34,31,0,"(0, 1, 2)",id,0
34,32,1,"(0, 2, 1)",transposition,1
34,33,0,"(0, 1, 2)",id,0
34,35,0,"(0, 1, 2)",id,0
34,36,0,"(2, 0, 1)",3-cycle,0
34,38,1,"(0, 1, 2)",id,0
34,39,1,"(0, 1, 2)",id,0
34,40,0,"(1, 2, 0)",3-cycle,0
34,43,1,"(2, 0, 1)",3-cycle,0
34,44,0,"(0, 1, 2)",id,0
35,3,0,"(0, 1, 2)",id,0
35,4,1,"(0, 1, 2)",id,0
35,5,0,"(0, 1, 2)",id,0
35,6,1,"(0, 1, 2)",id,0
35,7,0,"(0, 1, 2)",id,0
35,8,1,"(0, 2, 1)",transposition,1
35,9,1,"(0, 1, 2)",id,0
35,10,0,"(0, 1, 2)",id,0
35,11,0,"(0, 2, 1)",transposition,1
35,12,1,"(2, 1, 0)",transposition,1
35,15,1,"(0, 2, 1)",transposition,1
35,16,0,"(2, 0, 1)",3-cycle,0
35,17,1,"(0, 2, 1)",transposition,1
35,18,0,"(0, 1, 2)",id,0
35,21,1,"(0, 1, 2)",id,0
35,22,0,"(2, 1, 0)",transposition,1
35,23,0,"(1, 2, 0)",3-cycle,0
35,24,1,"(0, 1, 2)",id,0
35,25,1,"(0, 1, 2)",id,0
35,26,0,"(0, 1, 2)",id,0
35,27,1,"(1, 0, 2)",transposition,1
35,28,0,"(0, 1, 2)",id,0
35,29,0,"(0, 1, 2)",id,0
35,30,1,"(0, 1, 2)",id,0
35,33,0,"(0, 1, 2)",id,0
35,34,0,"(0, 1, 2)",id,0
35,36,1,"(0, 1, 2)",id,0
35,37,0,"(1, 2, 0)",3-cycle,0
35,40,1,"(2, 0, 1)",3-cycle,0
35,41,0,"(0, 1, 2)",id,0
35,42,0,"(0, 2, 1)",transposition,1
35,44,1,"(0, 1, 2)",id,0
36,1,0,"(0, 1, 2)",id,0
36,2,1,"(0, 2, 1)",transposition,1
36,5,0,"(0, 1, 2)",id,0
36,6,1,"(0, 1, 2)",id,0
36,7,1,"(0, 2, 1)",transposition,1
36,8,0,"(0, 1, 2)",id,0
36,11,0,"(0, 2, 1)",transposition,1
36,12,1,"(0, 1, 2)",id,0
36,13,0,"(0, 1, 2)",id,0
36,14,1,"(0, 2, 1)",transposition,1
36,15,0,"(2, 0, 1)",3-cycle,0
36,16,1,"(0, 2, 1)",transposition,1
36,17,1,"(2, 1, 0)",transposition,1
36,18,0,"(2, 1, 0)",transposition,1
36,19,0,"(0, 1, 2)",id,0
36,20,1,"(0, 1, 2)",id,0
36,23,1,"(2, 1, 0)",transposition,1
36,24,0,"(2, 1, 0)",transposition,1
36,25,0,"(2, 0, 1)",3-cycle,0
36,26,1,"(2, 1, 0)",transposition,1
36,27,0,"(0, 1, 2)",id,0
36,28,1,"(0, 1, 2)",id,0
36,29,1,"(0, 2, 1)",transposition,1
36,30,0,"(1, 0, 2)",transposition,1
36,34,0,"(1, 2, 0)",3-cycle,0
36,35,1,"(0, 1, 2)",id,0
36,37,0,"(2, 1, 0)",transposition,1
36,38,0,"(0, 1, 2)",id,0
36,39,0,"(0, 1, 2)",id,0
36,41,1,"(1, 0, 2)",transposition,1
36,42,0,"(0, 1, 2)",id,0
36,43,1,"(2, 1, 0)",transposition,1
37,1,0,"(0, 1, 2)",id,0
37,2,1,"(0, 1, 2)",id,0
37,3,0,"(0, 1, 2)",id,0
37,4,1,"(0, 1, 2)",id,0
37,5,1,"(0, 1, 2)",id,0
37,6,0,"(0, 1, 2)",id,0
37,11,0,"(1, 2, 0)",3-cycle,0
37,12,1,"(2, 1, 0)",transposition,1
37,13,0,"(0, 2, 1)",transposition,1
37,14,1,"(0, 1, 2)",id,0
37,15,0,"(1, 0, 2)",transposition,1
37,16,1,"(1, 2, 0)",3-cycle,0
37,17,1,"(2, 1, 0)",transposition,1
37,18,0,"(2, 0, 1)",3-cycle,0
37,21,1,"(0, 2, 1)",transposition,1
37,22,0,"(0, 2, 1)",transposition,1
37,23,0,"(0, 1, 2)",id,0
37,24,1,"(1, 2, 0)",3-cycle,0
37,25,0,"(2, 1, 0)",transposition,1
37,26,1,"(2, 1, 0)",transposition,1
37,27,1,"(2, 1, 0)",transposition,1
37,28,0,"(2, 1, 0)",transposition,1
37,31,0,"(0, 1, 2)",id,0
37,32,1,"(0, 1, 2)",id,0
37,33,1,"(0, 1, 2)",id,0
37,35,0,"(2, 0, 1)",3-cycle,0
37,36,0,"(2, 1, 0)",transposition,1
37,38,0,"(1, 2, 0)",3-cycle,0
37,39,1,"(0, 2, 1)",transposition,1
37,40,0,"(0, 1, 2)",id,0
37,43,0,"(0, 1, 2)",id,0
37,44,1,"(0, 2, 1)",transposition,1
38,1,0,"(0, 1, 2)",id,0
38,2,1,"(2, 0, 1)",3-cycle,0
38,3,1,"(0, 1, 2)",id,0
38,4,0,"(0, 1, 2)",id,0
38,7,0,"(0, 1, 2)",id,0
38,8,1,"(0, 1, 2)",id,0
38,11,0,"(0, 1, 2)",id,0
38,12,1,"(0, 1, 2)",id,0
38,13,0,"(0, 1, 2)",id,0
38,14,1,"(0, 1, 2)",id,0
38,15,0,"(0, 1, 2)",id,0
38,16,1,"(0, 1, 2)",id,0
38,17,1,"(2, 1, 0)",transposition,1
38,18,0,"(0, 1, 2)",id,0
38,19,1,"(1, 0, 2)",transposition,1
38,20,0,"(1, 0, 2)",transposition,1
38,21,0,"(0, 1, 2)",id,0
38,22,1,"(1, 0, 2)",transposition,1
38,25,0,"(0, 1, 2)",id,0
38,26,1,"(0, 1, 2)",id,0
38,29,0,"(0, 1, 2)",id,0
38,30,1,"(1, 0, 2)",transposition,1
38,31,1,"(1, 0, 2)",transposition,1
38,32,0,"(0, 2, 1)",transposition,1
38,33,0,"(2, 1, 0)",transposition,1
38,34,1,"(0, 1, 2)",id,0
38,36,0,"(0, 1, 2)",id,0
38,37,0,"(2, 0, 1)",3-cycle,0
38,40,1,"(0, 1, 2)",id,0
38,41,0,"(0, 1, 2)",id,0
38,42,1,"(0, 1, 2)",id,0
38,44,0,"(0, 1, 2)",id,0
39,1,0,"(0, 1, 2)",id,0
39,2,1,"(0, 1, 2)",id,0
39,5,0,"(0, 1, 2)",id,0
39,6,1,"(0, 1, 2)",id,0
39,7,1,"(0, 1, 2)",id,0
39,8,0,"(0, 1, 2)",id,0
39,9,0,"(0, 1, 2)",id,0
39,10,1,"(2, 1, 0)",transposition,1
39,11,0,"(0, 1, 2)",id,0
39,12,1,"(0, 1, 2)",id,0
39,13,1,"(1, 0, 2)",transposition,1
