u,v,z2_voltage,s3_perm,s3_class,s3_sign
4,22,1,"(1, 2, 0)",3-cycle,0
4,23,1,"(1, 2, 0)",3-cycle,0
4,26,1,"(0, 2, 1)",transposition,1
4,27,0,"(0, 1, 2)",id,0
4,28,0,"(0, 1, 2)",id,0
4,30,1,"(1, 0, 2)",transposition,1
4,31,1,"(1, 2, 0)",3-cycle,0
4,33,1,"(0, 1, 2)",id,0
4,34,1,"(1, 0, 2)",transposition,1
4,35,1,"(0, 1, 2)",id,0
4,37,1,"(0, 1, 2)",id,0
4,38,0,"(0, 1, 2)",id,0
4,40,1,"(0, 1, 2)",id,0
4,41,0,"(0, 1, 2)",id,0
4,43,1,"(0, 1, 2)",id,0
4,44,0,"(0, 1, 2)",id,0
5,0,0,"(0, 2, 1)",transposition,1
5,1,0,"(0, 1, 2)",id,0
5,2,0,"(0, 1, 2)",id,0
5,3,0,"(0, 1, 2)",id,0
5,4,0,"(0, 1, 2)",id,0
5,6,0,"(2, 1, 0)",transposition,1
5,7,0,"(0, 1, 2)",id,0
5,8,0,"(0, 1, 2)",id,0
5,9,1,"(0, 2, 1)",transposition,1
5,12,1,"(0, 1, 2)",id,0
5,13,0,"(0, 1, 2)",id,0
5,14,0,"(0, 1, 2)",id,0
5,15,1,"(1, 0, 2)",transposition,1
5,17,1,"(0, 2, 1)",transposition,1
5,20,1,"(0, 2, 1)",transposition,1
5,21,0,"(0, 1, 2)",id,0
5,22,0,"(0, 1, 2)",id,0
5,23,1,"(2, 0, 1)",3-cycle,0
5,25,1,"(0, 2, 1)",transposition,1
5,28,1,"(0, 1, 2)",id,0
5,29,0,"(0, 1, 2)",id,0
5,30,0,"(0, 1, 2)",id,0
5,31,1,"(1, 2, 0)",3-cycle,0
5,33,0,"(0, 1, 2)",id,0
5,34,0,"(0, 1, 2)",id,0
5,35,0,"(0, 1, 2)",id,0
5,36,0,"(0, 1, 2)",id,0
5,37,1,"(0, 1, 2)",id,0
5,39,0,"(0, 1, 2)",id,0
5,40,1,"(0, 2, 1)",transposition,1
5,42,0,"(0, 1, 2)",id,0
5,43,1,"(0, 1, 2)",id,0
6,0,0,"(0, 1, 2)",id,0
6,1,0,"(0, 1, 2)",id,0
6,2,0,"(2, 0, 1)",3-cycle,0
6,3,0,"(1, 0, 2)",transposition,1
6,4,0,"(0, 1, 2)",id,0
6,5,0,"(2, 1, 0)",transposition,1
6,7,0,"(2, 1, 0)",transposition,1
6,8,0,"(0, 1, 2)",id,0
6,10,1,"(0, 2, 1)",transposition,1
6,11,1,"(1, 0, 2)",transposition,1
6,13,0,"(0, 1, 2)",id,0
6,14,0,"(0, 1, 2)",id,0
6,16,1,"(1, 2, 0)",3-cycle,0
6,18,1,"(0, 2, 1)",transposition,1
6,19,1,"(0, 1, 2)",id,0
6,21,0,"(0, 1, 2)",id,0
6,22,0,"(0, 1, 2)",id,0
6,24,1,"(1, 2, 0)",3-cycle,0
6,26,1,"(0, 1, 2)",id,0
6,27,1,"(0, 2, 1)",transposition,1
6,29,0,"(0, 1, 2)",id,0
6,30,0,"(0, 1, 2)",id,0
6,32,1,"(2, 0, 1)",3-cycle,0
6,33,1,"(0, 1, 2)",id,0
6,34,1,"(0, 2, 1)",transposition,1
6,35,1,"(0, 1, 2)",id,0
6,36,1,"(0, 1, 2)",id,0
6,37,0,"(0, 1, 2)",id,0
6,39,1,"(0, 1, 2)",id,0
6,40,0,"(0, 1, 2)",id,0
6,42,1,"(0, 1, 2)",id,0
6,43,0,"(0, 1, 2)",id,0
7,0,0,"(0, 1, 2)",id,0
7,1,0,"(0, 1, 2)",id,0
7,2,0,"(0, 2, 1)",transposition,1
7,3,0,"(0, 1, 2)",id,0
7,4,0,"(2, 1, 0)",transposition,1
7,5,0,"(0, 1, 2)",id,0
7,6,0,"(2, 1, 0)",transposition,1
7,8,0,"(0, 1, 2)",id,0
7,9,1,"(2, 0, 1)",3-cycle,0
7,11,1,"(1, 0, 2)",transposition,1
7,14,1,"(1, 0, 2)",transposition,1
7,15,0,"(0, 1, 2)",id,0
7,16,0,"(0, 1, 2)",id,0
7,17,1,"(0, 2, 1)",transposition,1
7,19,1,"(0, 1, 2)",id,0
7,22,1,"(1, 0, 2)",transposition,1
7,23,0,"(0, 1, 2)",id,0
7,24,0,"(0, 1, 2)",id,0
7,25,1,"(0, 2, 1)",transposition,1
7,27,1,"(0, 1, 2)",id,0
7,30,1,"(1, 0, 2)",transposition,1
7,31,0,"(0, 1, 2)",id,0
7,32,0,"(0, 1, 2)",id,0
7,33,0,"(0, 1, 2)",id,0
7,34,0,"(0, 1, 2)",id,0
7,35,0,"(0, 1, 2)",id,0
7,36,1,"(0, 2, 1)",transposition,1
7,38,0,"(0, 1, 2)",id,0
7,39,1,"(0, 1, 2)",id,0
7,41,0,"(0, 1, 2)",id,0
7,42,1,"(0, 1, 2)",id,0
7,44,0,"(0, 1, 2)",id,0
8,0,0,"(0, 1, 2)",id,0
8,1,0,"(0, 1, 2)",id,0
8,2,0,"(0, 1, 2)",id,0
8,3,0,"(0, 1, 2)",id,0
8,4,0,"(0, 1, 2)",id,0
8,5,0,"(0, 1, 2)",id,0
8,6,0,"(0, 1, 2)",id,0
8,7,0,"(0, 1, 2)",id,0
8,10,1,"(2, 0, 1)",3-cycle,0
8,12,1,"(1, 0, 2)",transposition,1
8,13,1,"(1, 0, 2)",transposition,1
8,15,0,"(0, 1, 2)",id,0
8,16,0,"(0, 1, 2)",id,0
8,18,1,"(0, 1, 2)",id,0
8,20,1,"(0, 1, 2)",id,0
8,21,1,"(1, 2, 0)",3-cycle,0
8,23,0,"(0, 1, 2)",id,0
8,24,0,"(0, 1, 2)",id,0
