A4_orbit_id,size,tomotope_triangle_orbit,example
0,12,0,038
1,12,1,6ab
5,12,1,789
9,12,1,123
2,12,2,136
6,12,2,25a
12,12,2,02a
3,12,3,259
7,12,3,246
11,12,3,59b
13,12,4,17a
15,4,5,38b
4,12,5,29b
8,4,6,25b
14,12,6,05a
10,12,7,236
