nodes,edges,min_deg,max_deg,avg_deg,components,component_sizes,adj_eigs_top5,id,metric,wl_hash
8,2,0,1,0.5,6,"[2, 2, 1, 1, 1, 1]","[1.0, 1.0, 0.0, 0.0, 0.0]",54,intersection_dim>=1,bd8b309c95dde3ff9b188f7dab31d61a
10,4,0,2,0.8,7,"[3, 2, 1, 1, 1, 1, 1]","[2.0, 1.0, 8.966351966455122e-17, 0.0, 0.0]",57,intersection_dim>=1,e2db6b1336a1be2dd4949587ba5472d0
8,26,5,7,6.5,1,[8],"[6.5605253243508415, 0.39061047881403876, -0.999999999999999, -0.9999999999999998, -1.0]",54,dot_score>=3,ad3b80a5e421247de60bd5789f05c76e
10,36,6,9,7.2,1,[10],"[7.346042523993249, 1.1727493609134885, 0.38230349336641617, -3.157006611222147e-16, -0.9999999999999997]",57,dot_score>=3,74ee8aefa2fea36ab10d8d1f6ae95e55
