lambda,mu,m,base_rank,branch,eigval,base_eigval,coin_slope,defect_mass,ipr,mult,defect_localized
0.0,-2.0,0,1,sym,4.665936694986883,4.665936694986883,3.0,0.03218222015638033,0.03832109643842629,1,0
0.0,-2.0,0,1,anti,4.665936694986883,4.665936694986883,-1.0,0.03218222015638033,0.03832109643842629,3,0
0.0,-2.0,1,1,sym,4.655952820905697,4.655952820905697,3.0,0.027617882693381217,0.038577117131538316,1,0
0.0,-2.0,5,1,anti,4.655952820905697,4.655952820905697,-1.0,0.027617882693381217,0.038577117131538316,3,0
0.0,-2.0,5,1,sym,4.655952820905697,4.655952820905697,3.0,0.027617882693381217,0.038577117131538316,1,0
0.0,-2.0,1,1,anti,4.655952820905697,4.655952820905697,-1.0,0.027617882693381217,0.038577117131538316,3,0
0.0,-2.0,4,1,anti,4.636064227833992,4.636064227833992,-1.0,0.018480834982146803,0.03914722360939919,3,0
0.0,-2.0,4,1,sym,4.636064227833992,4.636064227833992,3.0,0.018480834982146803,0.03914722360939919,1,0
0.0,-2.0,2,1,anti,4.636064227833991,4.636064227833991,-1.0,0.01848083498214685,0.03914722360939919,3,0
0.0,-2.0,2,1,sym,4.636064227833991,4.636064227833991,3.0,0.01848083498214685,0.03914722360939919,1,0
0.0,-2.0,3,1,anti,4.626166396877236,4.626166396877236,-1.0,0.013917327699925488,0.03946159352680995,3,0
0.0,-2.0,3,1,sym,4.626166396877236,4.626166396877236,3.0,0.013917327699925488,0.03946159352680995,1,0
0.0,-2.0,0,2,anti,3.6535614788631685,3.6535614788631685,-1.0,0.011328231863670015,0.04938162225556449,3,0
0.0,-2.0,0,2,sym,3.6535614788631685,3.6535614788631685,3.0,0.011328231863670015,0.04938162225556449,1,0
0.0,-2.0,1,2,anti,3.6533507832946217,3.6533507832946217,-1.0,0.011283571218442298,0.04926975553543428,3,0
0.0,-2.0,1,2,sym,3.6533507832946217,3.6533507832946217,3.0,0.011283571218442298,0.04926975553543428,1,0
0.0,-2.0,5,2,sym,3.6533507832946217,3.6533507832946217,3.0,0.011283571218442298,0.04926975553543428,1,0
0.0,-2.0,5,2,anti,3.6533507832946217,3.6533507832946217,-1.0,0.011283571218442298,0.04926975553543428,3,0
0.0,-2.0,4,2,anti,3.6529359759423468,3.6529359759423468,-1.0,0.011166173071642745,0.04921006511160088,3,0
0.0,-2.0,4,2,sym,3.6529359759423468,3.6529359759423468,3.0,0.011166173071642745,0.04921006511160088,1,0
0.0,-2.0,2,2,anti,3.652935975942344,3.652935975942344,-1.0,0.01116617307164272,0.04921006511160089,3,0
0.0,-2.0,2,2,sym,3.652935975942344,3.652935975942344,3.0,0.01116617307164272,0.04921006511160089,1,0
0.0,-2.0,3,2,sym,3.652732984919662,3.652732984919662,3.0,0.011094795923129707,0.04927355763303376,1,0
0.0,-2.0,3,2,anti,3.652732984919662,3.652732984919662,-1.0,0.011094795923129707,0.04927355763303376,3,0
0.0,-2.0,3,3,sym,3.5096929223457045,3.5096929223457045,3.0,0.019957432324738428,0.045529706329558675,1,0
0.0,-2.0,3,3,anti,3.5096929223457045,3.5096929223457045,-1.0,0.019957432324738428,0.045529706329558675,3,0
0.0,-2.0,4,3,sym,3.5083216571955793,3.5083216571955793,3.0,0.019904588541304582,0.046006750745782414,1,0
0.0,-2.0,4,3,anti,3.5083216571955793,3.5083216571955793,-1.0,0.019904588541304582,0.046006750745782414,3,0
0.0,-2.0,2,3,anti,3.508321657195576,3.508321657195576,-1.0,0.019904588541304603,0.04600675074578236,3,0
0.0,-2.0,2,3,sym,3.508321657195576,3.508321657195576,3.0,0.019904588541304603,0.04600675074578236,1,0
0.0,-2.0,1,3,sym,3.50519857651901,3.50519857651901,3.0,0.01945039509354293,0.047424422961558986,1,0
0.0,-2.0,1,3,anti,3.50519857651901,3.50519857651901,-1.0,0.01945039509354293,0.047424422961558986,3,0
0.0,-2.0,5,3,sym,3.50519857651901,3.50519857651901,3.0,0.01945039509354293,0.047424422961558986,1,0
