potential,m,branch,mu_cross_mass0p6,max_defect_mass,max_ipr,eigval_mu_minus2,eigval_mu_plus2,defect_mass_mu_plus2,O6_mass_mu_plus2,O12_mass_mu_plus2,bias_mu_plus2,slope_mu_ge_1p5,localized_mass0p6,min_overlap,median_overlap
V_O12_4,2,0,,0.5628611198625224,0.08240280718692856,4.6439731203368435,5.098670334810331,0.5628611198625224,0.18201363503209073,0.5156472323534228,O12,0.40009000173710385,0,0.9998924377663942,0.9999958892056021
V_O12_4,2,1,,0.5673298190660498,0.07163146618134261,3.66229041917742,4.4768520917968955,0.3560673708065313,0.11243700457385865,0.31810612966602947,O12,0.3876687303094908,0,0.9967906928631377,0.9999317184883003
V_O12_4,2,2,,0.2403133412450431,0.045014483480314164,3.519301519627153,3.8216084522814064,0.1862713014991129,0.05314705718519972,0.16277151325134118,O12,0.12233022313238766,0,0.9967779358151837,0.9999745189752627
V_O12_4,2,3,,0.29589162840167726,0.056297874967197604,3.1890000668558995,3.547272622469969,0.12117881808814213,0.024614299912745184,0.10286735343818663,O12,0.08820272798290568,0,0.9998838595137363,0.9999512676900152
V_O12_4,2,4,,0.11292058304802799,0.040836676985941754,3.036208365896257,3.2360576296105594,0.11292058304802799,0.037771471252044504,0.09649769096515695,O12,0.07371662989127686,0,0.9999227031457641,0.9999699157028847
V_O12_4,2,5,,0.23173786861172968,0.04105755904149967,2.7756677114018005,3.079863235958701,0.23173786861172968,0.0928157584900384,0.21802135349119833,O12,0.1693040604608824,0,0.9997350593253715,0.9999592722623634
V_O12_4,2,6,,0.20489964228577895,0.04730403081839593,2.621185911825292,2.9269948924851708,0.20489964228577895,0.13135804744861493,0.14159723244750683,O12,0.1435649042952381,0,0.9996867120202859,0.9999517441636522
V_O12_4,2,7,,0.2111156310170224,0.039593479259587734,2.4846062573964516,2.7419964333571514,0.2111156310170224,0.04603882522763964,0.1884372352210489,O12,0.15860635898646652,0,0.9998111815523171,0.9999620757802831
V_O12_4,2,8,,0.29887926932513575,0.04016863786950351,2.150674284763475,2.4913349106414375,0.17048425925524935,0.11932731478086052,0.1238889772125208,O12,0.1068354649136903,0,0.9998152231557427,0.9999591140659048
V_O12_4,2,9,,0.3403441640420335,0.04512437239022916,1.9400950182395669,2.319522896317156,0.21904928081036376,0.10928946939073991,0.15447514420671296,O12,0.18133731721910873,0,0.9997360139984094,0.9999084494790658
V_O12_4,2,10,,0.32889743587718634,0.056717496220367654,1.860982100977122,2.1785875334303415,0.32888278771428514,0.12439719976155107,0.21132690581232366,O12,0.2309751781296075,0,0.9988201709752736,0.9998819210566664
V_O12_4,2,11,,0.18723899753783352,0.04653390394350618,1.7861811895951543,1.9905571836967884,0.038926835267897954,0.012114552519324832,0.03629691861086116,O12,0.040062753050914786,0,0.9988606319831458,0.9999612282347808
V_O12_4,2,12,,0.11561049115108583,0.03999199828214104,1.5709727910956586,1.8033868727500075,0.09531230113908101,0.04365180258886246,0.07084067599253709,O12,0.06251164065015533,0,0.9997497618111624,0.9999295588687658
V_O12_4,2,13,,0.19325841957689482,0.04734364985303053,1.437503201422616,1.714342823546157,0.18871272041120354,0.12887982301953071,0.07432409986411583,O6,0.08315284881816094,0,0.999577949460717,0.9997790786152727
V_O12_4,2,14,,0.15491068550030315,0.05340467142540201,1.3598685231008327,1.6569860550458988,0.07427523638639894,0.028987320495619917,0.05289132450833542,O12,0.06783886405033829,0,0.9996544989184326,0.9998311542154742
V_O12_4,2,15,,0.15653153232459688,0.05763102721581909,1.2416081831115555,1.4101251597763544,0.15653153232459688,0.08247485407652462,0.08773111548497775,O12,0.07551403688269921,0,0.999786404225072,0.9999601708785234
V_O12_4,2,16,,0.15327981632708249,0.05808378796954815,1.106275924144331,1.3478454161063966,0.1401056969435353,0.04520744452600873,0.10414246855954365,O12,0.09726935336692384,0,0.9997486210945814,0.9999386718303397
