,"0,0,0,0,0,0","0,0,0,0,0,2","0,0,0,0,0,6","0,0,0,0,2,6","0,0,0,0,6,6","0,0,0,2,6,6"
"0,0,0,0,0,0",0,2,4,0,0,0
"0,0,0,0,0,2",2,0,0,12,0,0
"0,0,0,0,0,6",4,0,0,8,6,0
"0,0,0,0,2,6",0,12,8,0,0,21
"0,0,0,0,6,6",0,0,6,0,0,5
"0,0,0,2,6,6",0,0,0,21,5,0
