tomotope_triangle_orbit,size,faces_in_orbit,missing_in_orbit,example_triangle
1,48,12,36,689
2,48,12,36,036
3,48,12,36,037
0,16,4,12,78a
4,16,4,12,17a
5,16,0,16,1ab
6,16,0,16,05a
7,12,0,12,236
