lambda,lambda_step,top1,top2,gap12,median,min,max
0.0,0.025,4.802493312043019,4.802493312043019,0.0,1.0567884832397467e-16,-4.641975938161361,4.802493312043019
0.025,0.025,4.877493312043019,4.845531255977423,0.031962056065596656,-0.024999999999999727,-4.666975938161361,4.877493312043019
0.05,0.025,4.9524933120430195,4.920531255977423,0.031962056065596656,-0.04395498347678356,-4.69197593816136,4.9524933120430195
0.07500000000000001,0.025,5.027493312043019,4.995531255977422,0.031962056065596656,-0.06290996695356871,-4.716975938161361,5.027493312043019
0.1,0.025,5.102493312043019,5.070531255977422,0.031962056065596656,-0.08280569395155671,-4.74197593816136,5.102493312043019
0.125,0.025,5.177493312043019,5.1455312559774224,0.031962056065596656,-0.10238050146650846,-4.766975938161361,5.177493312043019
0.15000000000000002,0.025,5.252493312043019,5.220531255977423,0.031962056065596656,-0.11084242071650341,-4.791975938161361,5.252493312043019
0.17500000000000002,0.025,5.3274933120430195,5.295531255977423,0.031962056065596656,-0.08698523453620634,-4.81697593816136,5.3274933120430195
0.2,0.025,5.402493312043019,5.370531255977422,0.031962056065596656,-0.07166382695304982,-4.841975938161361,5.402493312043019
0.225,0.025,5.477493312043019,5.445531255977422,0.031962056065596656,-0.07354205438838046,-4.86697593816136,5.477493312043019
0.25,0.025,5.552493312043019,5.5205312559774224,0.031962056065596656,-0.05940242992741704,-4.891975938161361,5.552493312043019
0.275,0.025,5.627493312043019,5.595531255977423,0.031962056065596656,-0.03850413600472788,-4.916975938161361,5.627493312043019
0.30000000000000004,0.025,5.7024933120430195,5.670531255977423,0.031962056065596656,-0.014177260043852169,-4.94197593816136,5.7024933120430195
0.325,0.025,5.777493312043019,5.745531255977422,0.031962056065596656,-0.0057764856407963305,-4.966975938161361,5.777493312043019
0.35000000000000003,0.025,5.852493312043019,5.820531255977422,0.031962056065596656,-0.004622400056533527,-4.99197593816136,5.852493312043019
0.375,0.025,5.927493312043019,5.8955312559774224,0.031962056065596656,-0.02777270342921931,-5.016975938161361,5.927493312043019
0.4,0.025,6.002493312043019,5.970531255977423,0.031962056065596656,-0.050923006801904536,-5.041975938161361,6.002493312043019
0.42500000000000004,0.025,6.0774933120430195,6.045531255977423,0.031962056065596656,0.017576065673335806,-5.06697593816136,6.0774933120430195
0.45,0.025,6.152493312043019,6.120531255977422,0.031962056065596656,0.03126664224666753,-5.091975938161361,6.152493312043019
0.47500000000000003,0.025,6.227493312043019,6.195531255977422,0.031962056065596656,0.018343786114420446,-5.11697593816136,6.227493312043019
0.5,0.025,6.302493312043019,6.2705312559774224,0.031962056065596656,0.015321403672815037,-5.141975938161361,6.302493312043019
0.525,0.025,6.377493312043019,6.345531255977423,0.031962056065596656,0.008448317612767209,-5.166975938161361,6.377493312043019
0.55,0.025,6.4524933120430195,6.420531255977423,0.031962056065596656,-0.016551682387232813,-5.19197593816136,6.4524933120430195
0.5750000000000001,0.025,6.527493312043019,6.495531255977422,0.031962056065596656,-0.041551682387232836,-5.216975938161361,6.527493312043019
0.6000000000000001,0.025,6.60249331204302,6.570531255977423,0.031962056065596656,-0.049410508021637045,-5.24197593816136,6.60249331204302
0.625,0.025,6.677493312043019,6.6455312559774224,0.031962056065596656,-0.06759407882354668,-5.266975938161361,6.677493312043019
0.65,0.025,6.752493312043019,6.720531255977423,0.031962056065596656,-0.06659814422754384,-5.291975938161361,6.752493312043019
0.675,0.025,6.8274933120430195,6.795531255977423,0.031962056065596656,-0.06701688199850558,-5.31697593816136,6.8274933120430195
0.7000000000000001,0.025,6.902493312043019,6.870531255977422,0.031962056065596656,-0.002893202727700217,-5.341975938161361,6.902493312043019
0.7250000000000001,0.025,6.97749331204302,6.945531255977423,0.031962056065596656,0.013921943635645306,-5.36697593816136,6.97749331204302
0.75,0.025,7.052493312043019,7.0205312559774224,0.031962056065596656,0.0038423971951850877,-5.391975938161361,7.052493312043019
0.775,0.025,7.127493312043019,7.095531255977423,0.031962056065596656,0.04663640574802752,-5.416975938161361,7.127493312043019
0.8,0.025,7.2024933120430195,7.170531255977423,0.031962056065596656,0.03981359588241906,-5.44197593816136,7.2024933120430195
0.8250000000000001,0.025,7.277493312043019,7.245531255977422,0.031962056065596656,0.014813595882419373,-5.466975938161361,7.277493312043019
0.8500000000000001,0.025,7.35249331204302,7.320531255977423,0.031962056065596656,-0.01018640411758065,-5.49197593816136,7.35249331204302
0.875,0.025,7.427493312043019,7.3955312559774224,0.031962056065596656,-0.03108650561068993,-5.516975938161361,7.427493312043019
0.9,0.025,7.502493312043019,7.470531255977423,0.031962056065596656,-0.05198660710379421,-5.541975938161361,7.502493312043019
0.925,0.025,7.5774933120430195,7.545531255977423,0.031962056065596656,-0.07502212262554458,-5.56697593816136,7.5774933120430195
0.9500000000000001,0.025,7.652493312043019,7.620531255977422,0.031962056065596656,-0.10002212262554461,-5.591975938161361,7.652493312043019
0.9750000000000001,0.025,7.72749331204302,7.695531255977423,0.031962056065596656,-0.12502212262554463,-5.61697593816136,7.72749331204302
1.0,0.025,7.802493312043019,7.7705312559774224,0.031962056065596656,-0.15002212262554454,-5.641975938161361,7.802493312043019
1.0250000000000001,0.025,7.877493312043019,7.845531255977423,0.031962056065596656,-0.16731899495467673,-5.666975938161361,7.877493312043019
1.05,0.025,7.9524933120430195,7.920531255977423,0.031962056065596656,-0.16891109823737582,-5.69197593816136,7.9524933120430195
1.075,0.025,8.027493312043019,7.995531255977422,0.031962056065596656,-0.193911098237375,-5.716975938161361,8.027493312043019
