m,eig_rank,eig_idx,eigval,ipr,defect_mass_frac,O6_node_mass,O12_node_mass,defect_energy_frac,corr_sigma,corr_sumph,corr_degree,corr_dist,tags
3,4,55,3.318534731727932,0.051427725839872034,0.3363121523892535,0.20611879012010567,0.16646934696493354,0.06839302355335879,0.19579762220783245,0.14622485169142285,-0.0074510462224652504,0.22804185975678834,defect_localized|O6_bias
3,26,33,0.3251877090967224,0.04694557039191029,0.32807383842223575,0.23572787624339342,0.13310785520808932,0.11995503284393234,0.051847957663774355,0.00023220109387388116,0.0508739684723439,-0.1883237253998944,defect_localized|O6_bias
0,58,1,-3.695275930339779,0.04780265684354974,0.31134969574577775,0.16168336452771978,0.2135314387657835,0.08804675485724078,0.002302186681853202,0.004953997060683752,,0.024659193202589656,defect_localized|O12_bias
0,2,57,3.695275930339779,0.04780263020115391,0.31134793983740744,0.16168095521476247,0.21353121140600476,0.0052355255565332045,0.003465545302925182,0.0567208173484108,,0.7209019274018474,defect_localized|O12_bias
2,56,3,-3.4098676126887644,0.03509234568722006,0.27553623182445675,0.17580942208440842,0.14410751748365683,0.09102640177550408,0.04094445892595871,0.0531464911561268,0.1065514626879368,-0.010508864301880623,defect_localized|O6_bias
4,56,3,-3.4098676126887657,0.035092345687220035,0.27553623182445575,0.1758094220844081,0.1441075174836559,0.09102640177550368,0.04094445892595898,0.053146491156126636,0.10655146268793564,-0.010508864301880043,defect_localized|O6_bias
4,4,55,3.3555502672476782,0.034964014478297084,0.26812538155861093,0.15554081302456307,0.1427941834182816,0.022654250260139456,0.15553393592732942,0.016812947461759032,0.07393954609322358,0.4051666529910669,defect_localized|O6_bias
2,4,55,3.3555502672476796,0.034964014478296945,0.2681253815586093,0.1555408130245624,0.1427941834182805,0.022654250260139376,0.15553393592732964,0.016812947461759473,0.07393954609322356,0.40516665299107046,defect_localized|O6_bias
3,3,56,3.6595010246490856,0.0377883136215477,0.2613674439983295,0.13428848914516064,0.1925895200294062,0.017431967225803074,0.07543987185243146,-0.13052409587686933,0.14609285235016725,-0.0018105008574323565,defect_localized|O12_bias
0,31,28,-1.3479168981736379e-15,0.14320152618797527,0.2575268817204748,0.015591397849506765,0.25510752688174926,0.060691899710720476,0.24849957951568993,0.06870952497933296,,0.009832389287153206,defect_localized|O12_bias|high_ipr
1,42,17,-1.0576767022314406,0.034218773839065464,0.25602898102321875,0.12757268321179088,0.14417535542446988,0.10052538034726148,0.14138641696585935,-0.0007753005752573542,-0.2885921945436627,0.057511069617962284,defect_localized|O12_bias
5,42,17,-1.0576767022314406,0.034218773839065464,0.25602898102321875,0.12757268321179088,0.14417535542446988,0.10052538034726148,0.14138641696585935,-0.0007753005752573542,-0.2885921945436627,0.057511069617962284,defect_localized|O12_bias
0,43,16,-1.244405131226987,0.05674841646425609,0.25568225714076365,0.19128717972604053,0.09406597744254937,0.030117396430829668,0.03134251687368357,0.05869671686219914,,0.029726359972504845,defect_localized|O6_bias
0,17,42,1.2444051312269875,0.05674841646425633,0.2556822571407629,0.19128717972604062,0.09406597744254805,0.12128770808752998,0.15510008002037615,0.3153411001146599,,0.00819627200599367,defect_localized|O6_bias
3,54,5,-2.8444977216965657,0.05348084637247992,0.25046584017963325,0.09769999650329941,0.23005027326507665,0.07459252612592585,-0.006477612660400422,-0.037565953269893836,0.3229335924158206,0.36442851508412955,defect_localized|O12_bias
4,42,17,-1.0879973852139146,0.03229333047317645,0.24230544250814087,0.1415349301047198,0.10816190073956303,0.09328733450098338,0.025554841648333694,0.0511014058856291,-0.09300804010352293,-0.08436720113055104,defect_localized|O6_bias
2,42,17,-1.0879973852139146,0.03229333047317643,0.24230544250814035,0.14153493010471868,0.10816190073956344,0.09328733450098303,0.025554841648333736,0.05110140588562796,-0.09300804010352211,-0.08436720113055136,defect_localized|O6_bias
3,33,26,-0.32156466147587703,0.04375642629556385,0.23980274824526696,0.15171320190297513,0.12483682356530124,0.057097710672902535,-0.0022321910167004536,0.01337419323362165,-0.04206551117815594,-0.013300525199727804,defect_localized|O6_bias
3,55,4,-3.2180718790783276,0.03823160359668017,0.2374687592087386,0.13711726539540134,0.15385904071830203,0.07335540230827299,0.00015516457181755281,-0.05223133557131485,0.062296123692922166,-0.1501138345736562,defect_localized|O12_bias
5,56,3,-3.563868801872044,0.029117771923853845,0.2322187472312152,0.13229715831997732,0.1398324962955939,0.08742341275155605,0.11311421321065067,0.046261409131693326,0.035599257524302555,-0.025282224187279816,defect_localized|O12_bias
1,56,3,-3.563868801872044,0.029117771923853845,0.2322187472312152,0.13229715831997732,0.1398324962955939,0.08742341275155605,0.11311421321065067,0.046261409131693326,0.035599257524302555,-0.025282224187279816,defect_localized|O12_bias
2,3,56,3.6651490330615917,0.03027192347171432,0.22888918616494527,0.12816277932659748,0.1560234343103394,0.005436559686117997,0.3280584013059612,-0.10084503534511136,0.32693721850086066,0.10363871676309822,defect_localized|O12_bias
4,3,56,3.6651490330615926,0.03027192347171415,0.2288891861649372,0.12816277932659462,0.15602343431033266,0.005436559686118223,0.32805840130597025,-0.10084503534510134,0.3269372185008665,0.10363871676310751,defect_localized|O12_bias
2,34,25,-0.4375364331018038,0.027261103814443136,0.22753688964547888,0.14648019896105918,0.14310907376354134,0.07991435894577925,0.1207777711474699,0.016481037427036424,0.2511588869592259,-0.07793063492245185,defect_localized|O6_bias
4,34,25,-0.43753643310180396,0.027261103814443098,0.2275368896454778,0.14648019896105863,0.14310907376354054,0.07991435894577871,0.12077777114747044,0.016481037427036566,0.2511588869592258,-0.07793063492245207,defect_localized|O6_bias
4,26,33,0.3490769931980953,0.034057884126790186,0.2262748555554553,0.18157806684148384,0.06566959452243792,0.07864653318463317,0.07760924691172714,0.10981777946455634,0.09548553681452922,0.16428525225453383,defect_localized|O6_bias
2,26,33,0.349076993198096,0.034057884126790255,0.22627485555545476,0.18157806684148373,0.06566959452243744,0.07864653318463294,0.07760924691172676,0.10981777946455767,0.09548553681453302,0.16428525225453444,defect_localized|O6_bias
1,19,40,1.0324683948928628,0.031672188122393974,0.2201421026441643,0.10765940378700584,0.12322553813628725,0.02070699550793875,0.25148227123680905,0.17306212503777146,0.07240243081992084,-0.04326251399424767,defect_localized|O12_bias
5,19,40,1.0324683948928628,0.031672188122393974,0.2201421026441643,0.10765940378700584,0.12322553813628725,0.02070699550793875,0.25148227123680905,0.17306212503777146,0.07240243081992084,-0.04326251399424767,defect_localized|O12_bias
1,58,1,-3.7579303250729623,0.03191938203630955,0.21806484328276943,0.0952135822146877,0.1606415734885513,0.08344929610362914,0.0807277245376941,0.014817181066084449,0.06033603820475292,0.06565559607270362,defect_localized|O12_bias
