potential,m,branch,family_bias,mu_cross_mass0p6,q6,q12,q_total,q_diff,lambda,alpha6,alpha12,E1,E2,E3,E4,gap12,gap23,gap34
V_O12_4,3,1,O12,0.7250000000000001,0.1118497191439933,0.3528141034591078,0.46466382260310113,-0.2409643843151145,0.25,1.0,1.0,0.8764909213614014,0.09618460014932528,-0.33236380600805737,-0.6403117155026694,0.7803063212120761,0.42854840615738266,0.30794790949461204
V_O12_4,3,1,O12,0.7250000000000001,0.1118497191439933,0.3528141034591078,0.46466382260310113,-0.2409643843151145,1.0,1.0,1.0,3.034053630340396,-0.6356840180377366,-1.0227073232955215,-1.375662289007137,3.6697376483781325,0.38702330525778494,0.35295496571161555
V_O12_4,3,1,O12,0.7250000000000001,0.1118497191439933,0.3528141034591078,0.46466382260310113,-0.2409643843151145,0.25,1.0,-1.0,0.8764909213614014,0.09618460014932512,-0.33236380600805726,-0.6403117155026692,0.7803063212120762,0.4285484061573824,0.3079479094946119
V_O6_4,2,1,O6,0.9500000000000002,0.3823673160569833,0.1437901016652125,0.5261574177221958,0.23857721439177082,0.25,1.0,1.0,0.903657271609636,0.11965300128107105,-0.33413588628965085,-0.6891743866010563,0.784004270328565,0.4537888875707219,0.3550385003114055
V_O6_4,2,1,O6,0.9500000000000002,0.3823673160569833,0.1437901016652125,0.5261574177221958,0.23857721439177082,1.0,1.0,1.0,3.0414769861267894,-0.6008218422019032,-1.0234094139465266,-1.4172457299783587,3.6422988283286926,0.42258757174462347,0.3938363160318321
V_O6_4,2,1,O6,0.9500000000000002,0.3823673160569833,0.1437901016652125,0.5261574177221958,0.23857721439177082,0.25,1.0,-1.0,0.9036572716096358,0.11965300128107129,-0.33413588628965074,-0.6891743866010566,0.7840042703285646,0.453788887570722,0.3550385003114058
V_O6_4,3,1,O6,0.7250000000000001,0.5268757641942325,0.1979582151315496,0.7248339793257821,0.32891754906268295,0.25,1.0,1.0,1.0246322880542278,0.2398973001445369,-0.3975282148468594,-0.8670013733519054,0.7847349879096909,0.6374255149913963,0.469473158505046
V_O6_4,3,1,O6,0.7250000000000001,0.5268757641942325,0.1979582151315496,0.7248339793257821,0.32891754906268295,1.0,1.0,1.0,3.078329244198793,-0.45501923946013617,-1.0441564333227384,-1.5791535714159182,3.533348483658929,0.5891371938626022,0.5349971380931797
V_O6_4,3,1,O6,0.7250000000000001,0.5268757641942325,0.1979582151315496,0.7248339793257821,0.32891754906268295,0.25,1.0,-1.0,1.0246322880542282,0.23989730014453692,-0.39752821484685963,-0.8670013733519053,0.7847349879096913,0.6374255149913965,0.4694731585050457
V_O6_4,4,1,O6,0.9500000000000002,0.3823673160569855,0.1437901016652134,0.5261574177221988,0.2385772143917721,0.25,1.0,1.0,0.9036572716096376,0.1196530012810731,-0.3341358862896515,-0.689174386601059,0.7840042703285645,0.4537888875707246,0.3550385003114075
V_O6_4,4,1,O6,0.9500000000000002,0.3823673160569855,0.1437901016652134,0.5261574177221988,0.2385772143917721,1.0,1.0,1.0,3.0414769861267894,-0.600821842201901,-1.0234094139465275,-1.417245729978361,3.6422988283286903,0.42258757174462647,0.39383631603183344
V_O6_4,4,1,O6,0.9500000000000002,0.3823673160569855,0.1437901016652134,0.5261574177221988,0.2385772143917721,0.25,1.0,-1.0,0.9036572716096376,0.11965300128107303,-0.3341358862896516,-0.6891743866010591,0.7840042703285646,0.4537888875707246,0.35503850031140755
