orbit,matching_id,pairs,phases_mod8_per_pair,signature_sorted,sum_phases_mod8,sigma_Z2,is_special_orbit_size_4,degree_flip_graph,dist_from_base
orbit13,0,"[[0, 8], [1, 2], [3, 7], [4, 5], [6, 11], [9, 10]]","[0, 0, 0, 0, 2, 0]","0,0,0,0,0,2",2,-1,False,5,4
orbit13,1,"[[0, 1], [2, 7], [3, 8], [4, 9], [5, 10], [6, 11]]","[0, 0, 6, 6, 0, 2]","0,0,0,2,6,6",6,-1,False,5,1
orbit13,2,"[[0, 1], [2, 3], [4, 5], [6, 11], [7, 8], [9, 10]]","[0, 0, 0, 2, 6, 0]","0,0,0,0,2,6",0,1,False,4,1
orbit13,3,"[[0, 1], [2, 3], [4, 8], [5, 9], [6, 11], [7, 10]]","[0, 0, 6, 0, 2, 6]","0,0,0,2,6,6",6,-1,False,3,4
orbit13,4,"[[0, 9], [1, 8], [2, 7], [3, 11], [4, 5], [6, 10]]","[0, 0, 0, 6, 0, 0]","0,0,0,0,0,6",6,-1,False,4,5
orbit13,5,"[[0, 9], [1, 2], [3, 10], [4, 5], [6, 11], [7, 8]]","[0, 0, 6, 0, 2, 6]","0,0,0,2,6,6",6,-1,False,4,3
orbit13,6,"[[0, 8], [1, 3], [2, 7], [4, 5], [6, 11], [9, 10]]","[0, 0, 0, 0, 2, 0]","0,0,0,0,0,2",2,-1,False,6,3
orbit13,7,"[[0, 9], [1, 8], [2, 7], [3, 11], [4, 6], [5, 10]]","[0, 0, 0, 6, 0, 0]","0,0,0,0,0,6",6,-1,False,3,6
orbit13,8,"[[0, 1], [2, 7], [3, 11], [4, 8], [5, 10], [6, 9]]","[0, 0, 6, 6, 0, 0]","0,0,0,0,6,6",4,1,False,3,3
orbit13,9,"[[0, 9], [1, 3], [2, 7], [4, 8], [5, 10], [6, 11]]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,1,False,4,3
orbit13,10,"[[0, 8], [1, 2], [3, 7], [4, 6], [5, 9], [10, 11]]","[0, 0, 0, 0, 0, 0]","0,0,0,0,0,0",0,1,False,3,6
orbit13,11,"[[0, 1], [2, 7], [3, 10], [4, 8], [5, 9], [6, 11]]","[0, 0, 6, 6, 0, 2]","0,0,0,2,6,6",6,-1,False,4,3
orbit13,12,"[[0, 8], [1, 2], [3, 11], [4, 6], [5, 9], [7, 10]]","[0, 0, 6, 0, 0, 6]","0,0,0,0,6,6",4,1,False,3,7
orbit13,13,"[[0, 8], [1, 10], [2, 7], [3, 11], [4, 5], [6, 9]]","[0, 0, 0, 6, 0, 0]","0,0,0,0,0,6",6,-1,False,6,5
orbit13,14,"[[0, 1], [2, 3], [4, 8], [5, 9], [6, 7], [10, 11]]","[0, 0, 6, 0, 2, 0]","0,0,0,0,2,6",0,1,False,3,4
orbit13,15,"[[0, 8], [1, 10], [2, 7], [3, 11], [4, 6], [5, 9]]","[0, 0, 0, 6, 0, 0]","0,0,0,0,0,6",6,-1,False,5,6
orbit13,16,"[[0, 9], [1, 4], [2, 7], [3, 8], [5, 10], [6, 11]]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,1,False,5,2
orbit13,17,"[[0, 1], [2, 3], [4, 9], [5, 10], [6, 11], [7, 8]]","[0, 0, 6, 0, 2, 6]","0,0,0,2,6,6",6,-1,False,3,0
orbit13,18,"[[0, 1], [2, 7], [3, 8], [4, 5], [6, 9], [10, 11]]","[0, 0, 6, 0, 0, 0]","0,0,0,0,0,6",6,-1,False,4,3
orbit13,19,"[[0, 8], [1, 9], [2, 3], [4, 5], [6, 11], [7, 10]]","[0, 0, 0, 0, 2, 6]","0,0,0,0,2,6",0,1,False,5,4
orbit13,20,"[[0, 8], [1, 2], [3, 9], [4, 5], [6, 11], [7, 10]]","[0, 0, 6, 0, 2, 6]","0,0,0,2,6,6",6,-1,False,6,5
orbit13,21,"[[0, 1], [2, 3], [4, 5], [6, 9], [7, 8], [10, 11]]","[0, 0, 0, 0, 6, 0]","0,0,0,0,0,6",6,-1,False,3,2
orbit13,22,"[[0, 8], [1, 4], [2, 3], [5, 9], [6, 11], [7, 10]]","[0, 0, 0, 0, 2, 6]","0,0,0,0,2,6",0,1,False,4,5
orbit13,23,"[[0, 8], [1, 4], [2, 7], [3, 11], [5, 10], [6, 9]]","[0, 0, 0, 6, 0, 0]","0,0,0,0,0,6",6,-1,False,5,4
orbit13,24,"[[0, 8], [1, 9], [2, 7], [3, 10], [4, 5], [6, 11]]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,1,False,6,4
orbit13,25,"[[0, 8], [1, 4], [2, 7], [3, 10], [5, 9], [6, 11]]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,1,False,5,4
orbit13,26,"[[0, 8], [1, 2], [3, 7], [4, 5], [6, 9], [10, 11]]","[0, 0, 0, 0, 0, 0]","0,0,0,0,0,0",0,1,False,5,5
orbit13,27,"[[0, 8], [1, 2], [3, 11], [4, 5], [6, 9], [7, 10]]","[0, 0, 6, 0, 0, 6]","0,0,0,0,6,6",4,1,False,5,6
orbit13,28,"[[0, 8], [1, 4], [2, 3], [5, 9], [6, 7], [10, 11]]","[0, 0, 0, 0, 2, 0]","0,0,0,0,0,2",2,-1,False,3,5
orbit13,29,"[[0, 8], [1, 9], [2, 7], [3, 11], [4, 6], [5, 10]]","[0, 0, 0, 6, 0, 0]","0,0,0,0,0,6",6,-1,False,4,5
orbit13,30,"[[0, 9], [1, 10], [2, 3], [4, 5], [6, 11], [7, 8]]","[0, 0, 0, 0, 2, 6]","0,0,0,0,2,6",0,1,False,5,2
orbit13,31,"[[0, 9], [1, 2], [3, 7], [4, 8], [5, 10], [6, 11]]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,1,False,3,4
orbit13,32,"[[0, 1], [2, 7], [3, 8], [4, 5], [6, 11], [9, 10]]","[0, 0, 6, 0, 2, 0]","0,0,0,0,2,6",0,1,False,5,2
orbit13,33,"[[0, 8], [1, 3], [2, 7], [4, 6], [5, 9], [10, 11]]","[0, 0, 0, 0, 0, 0]","0,0,0,0,0,0",0,1,False,4,5
orbit13,34,"[[0, 8], [1, 4], [2, 7], [3, 9], [5, 10], [6, 11]]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,1,False,6,3
orbit13,35,"[[0, 8], [1, 3], [2, 7], [4, 5], [6, 9], [10, 11]]","[0, 0, 0, 0, 0, 0]","0,0,0,0,0,0",0,1,False,5,4
orbit13,36,"[[0, 9], [1, 2], [3, 11], [4, 6], [5, 10], [7, 8]]","[0, 0, 6, 0, 0, 6]","0,0,0,0,6,6",4,1,False,3,5
orbit13,37,"[[0, 1], [2, 3], [4, 6], [5, 9], [7, 8], [10, 11]]","[0, 0, 0, 0, 6, 0]","0,0,0,0,0,6",6,-1,False,3,3
orbit13,38,"[[0, 8], [1, 10], [2, 7], [3, 9], [4, 5], [6, 11]]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,1,False,6,4
orbit13,39,"[[0, 1], [2, 7], [3, 11], [4, 8], [5, 9], [6, 10]]","[0, 0, 6, 6, 0, 0]","0,0,0,0,6,6",4,1,False,3,4
orbit13,40,"[[0, 9], [1, 2], [3, 8], [4, 5], [6, 11], [7, 10]]","[0, 0, 6, 0, 2, 6]","0,0,0,2,6,6",6,-1,False,5,4
orbit13,41,"[[0, 9], [1, 8], [2, 3], [4, 5], [6, 11], [7, 10]]","[0, 0, 0, 0, 2, 6]","0,0,0,0,2,6",0,1,False,5,3
orbit13,42,"[[0, 8], [1, 9], [2, 3], [4, 5], [6, 7], [10, 11]]","[0, 0, 0, 0, 2, 0]","0,0,0,0,0,2",2,-1,False,4,5
orbit13,43,"[[0, 9], [1, 2], [3, 11], [4, 8], [5, 10], [6, 7]]","[0, 0, 6, 6, 0, 2]","0,0,0,2,6,6",6,-1,False,3,5
orbit13,44,"[[0, 8], [1, 2], [3, 9], [4, 5], [6, 7], [10, 11]]","[0, 0, 6, 0, 2, 0]","0,0,0,0,2,6",0,1,False,5,6
orbit13,45,"[[0, 8], [1, 2], [3, 11], [4, 5], [6, 7], [9, 10]]","[0, 0, 6, 0, 2, 0]","0,0,0,0,2,6",0,1,False,4,5
orbit13,46,"[[0, 9], [1, 2], [3, 11], [4, 5], [6, 10], [7, 8]]","[0, 0, 6, 0, 0, 6]","0,0,0,0,6,6",4,1,False,3,4
orbit13,47,"[[0, 9], [1, 8], [2, 7], [3, 10], [4, 5], [6, 11]]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,1,False,5,4
orbit13,48,"[[0, 8], [1, 2], [3, 7], [4, 9], [5, 10], [6, 11]]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,1,False,4,3
orbit13,49,"[[0, 9], [1, 2], [3, 8], [4, 5], [6, 7], [10, 11]]","[0, 0, 6, 0, 2, 0]","0,0,0,0,2,6",0,1,False,3,5
orbit13,50,"[[0, 1], [2, 7], [3, 9], [4, 8], [5, 10], [6, 11]]","[0, 0, 6, 6, 0, 2]","0,0,0,2,6,6",6,-1,False,5,2
orbit13,51,"[[0, 1], [2, 7], [3, 8], [4, 6], [5, 9], [10, 11]]","[0, 0, 6, 0, 0, 0]","0,0,0,0,0,6",6,-1,False,3,4
orbit13,52,"[[0, 8], [1, 9], [2, 7], [3, 11], [4, 5], [6, 10]]","[0, 0, 0, 6, 0, 0]","0,0,0,0,0,6",6,-1,False,5,5
