m,eig_rank,eig_idx,eigval,ipr,defect_mass_frac,O6_node_mass,O12_node_mass,defect_energy_frac,corr_sigma,corr_sumph,corr_degree,corr_dist,tags
2,1,58,4.704072668327494,0.037002255311047234,0.06412878546700994,0.021630833491977294,0.05350933970450416,0.01342618084422677,0.7988103246430192,0.8537245751240816,0.3936678839431665,0.17075160000127332,spin_sigma_mode|phase_sum_mode
3,1,58,4.669576639044021,0.03871971412955419,0.03399626519797557,0.009099589156396316,0.03052486962883859,0.11662072103534121,0.8394070760375785,0.7674590674795309,0.14072428488479405,0.07352574700096418,spin_sigma_mode|phase_sum_mode
4,1,58,4.704072668327496,0.037002255311047214,0.06412878546700991,0.021630833491977294,0.053509339704504125,0.013426180844226828,0.7988103246430192,0.8537245751240813,0.3936678839431667,0.1707516000012734,spin_sigma_mode|phase_sum_mode
