m,top1,top2,bottom1,bottom2,trace,fro2,spectral_radius
0,4.802493312043019,3.6952759303397835,-4.641975938161361,-3.695275930339779,8.881784197001252e-15,250.00000000000009,4.802493312043019
1,4.7705312559774224,3.70544123059467,-4.611247727579837,-3.757930325072964,0.0,249.99999999999991,4.7705312559774224
2,4.704072668327491,3.7015892187557586,-4.547719917050898,-3.805445086109569,-4.440892098500626e-15,249.99999999999991,4.704072668327491
3,4.669576639044021,3.695995880997439,-4.514932249374896,-3.822207825049789,7.105427357601002e-15,249.9999999999999,4.669576639044021
4,4.704072668327499,3.7015892187557564,-4.5477199170509035,-3.8054450861095654,-9.769962616701378e-15,250.00000000000009,4.704072668327499
5,4.7705312559774224,3.70544123059467,-4.611247727579837,-3.757930325072964,0.0,249.99999999999991,4.7705312559774224
