u,v,weight
0,1,48
0,2,48
0,3,48
0,4,72
0,5,48
0,6,48
0,7,48
0,9,48
0,10,48
0,12,48
1,3,48
1,4,72
1,5,48
1,6,48
1,7,48
1,9,48
1,10,48
1,12,48
1,13,48
2,3,72
2,4,48
2,5,48
2,6,48
2,7,48
2,9,72
2,10,48
2,13,48
3,4,72
3,6,72
3,9,48
3,10,48
3,12,48
3,13,48
4,6,48
4,9,72
4,10,72
4,12,72
4,13,72
5,7,48
5,12,48
5,13,48
6,7,72
6,9,72
6,10,72
6,12,48
6,13,48
7,10,72
7,12,48
7,13,48
9,10,48
9,12,48
9,13,48
10,12,48
10,13,48
12,13,48
