u,v,sig_u,sig_v,sig_pair,delta_sum_mod8,sigma_flip
12,27,"0,0,0,0,6,6","0,0,0,0,6,6","0,0,0,0,6,6 | 0,0,0,0,6,6",0,False
13,15,"0,0,0,0,0,6","0,0,0,0,0,6","0,0,0,0,0,6 | 0,0,0,0,0,6",0,False
13,23,"0,0,0,0,0,6","0,0,0,0,0,6","0,0,0,0,0,6 | 0,0,0,0,0,6",0,False
13,27,"0,0,0,0,0,6","0,0,0,0,6,6","0,0,0,0,0,6 | 0,0,0,0,6,6",6,True
13,35,"0,0,0,0,0,6","0,0,0,0,0,0","0,0,0,0,0,0 | 0,0,0,0,0,6",2,True
13,38,"0,0,0,0,0,6","0,0,0,0,2,6","0,0,0,0,0,6 | 0,0,0,0,2,6",2,True
13,52,"0,0,0,0,0,6","0,0,0,0,0,6","0,0,0,0,0,6 | 0,0,0,0,0,6",0,False
14,28,"0,0,0,0,2,6","0,0,0,0,0,2","0,0,0,0,0,2 | 0,0,0,0,2,6",2,True
14,37,"0,0,0,0,2,6","0,0,0,0,0,6","0,0,0,0,0,6 | 0,0,0,0,2,6",6,True
15,29,"0,0,0,0,0,6","0,0,0,0,0,6","0,0,0,0,0,6 | 0,0,0,0,0,6",0,False
15,33,"0,0,0,0,0,6","0,0,0,0,0,0","0,0,0,0,0,0 | 0,0,0,0,0,6",2,True
15,53,"0,0,0,0,0,6","0,0,0,0,0,6","0,0,0,0,0,6 | 0,0,0,0,0,6",0,False
16,34,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
16,55,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
16,56,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
17,55,"0,0,0,2,6,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,2,6,6",2,True
18,21,"0,0,0,0,0,6","0,0,0,0,0,6","0,0,0,0,0,6 | 0,0,0,0,0,6",0,False
18,32,"0,0,0,0,0,6","0,0,0,0,2,6","0,0,0,0,0,6 | 0,0,0,0,2,6",2,True
18,35,"0,0,0,0,0,6","0,0,0,0,0,0","0,0,0,0,0,0 | 0,0,0,0,0,6",2,True
18,51,"0,0,0,0,0,6","0,0,0,0,0,6","0,0,0,0,0,6 | 0,0,0,0,0,6",0,False
19,20,"0,0,0,0,2,6","0,0,0,2,6,6","0,0,0,0,2,6 | 0,0,0,2,6,6",6,True
19,22,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
19,24,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
19,41,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
19,42,"0,0,0,0,2,6","0,0,0,0,0,2","0,0,0,0,0,2 | 0,0,0,0,2,6",2,True
20,27,"0,0,0,2,6,6","0,0,0,0,6,6","0,0,0,0,6,6 | 0,0,0,2,6,6",6,True
20,38,"0,0,0,2,6,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,2,6,6",2,True
20,40,"0,0,0,2,6,6","0,0,0,2,6,6","0,0,0,2,6,6 | 0,0,0,2,6,6",0,False
20,44,"0,0,0,2,6,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,2,6,6",2,True
21,37,"0,0,0,0,0,6","0,0,0,0,0,6","0,0,0,0,0,6 | 0,0,0,0,0,6",0,False
22,25,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
22,28,"0,0,0,0,2,6","0,0,0,0,0,2","0,0,0,0,0,2 | 0,0,0,0,2,6",2,True
23,29,"0,0,0,0,0,6","0,0,0,0,0,6","0,0,0,0,0,6 | 0,0,0,0,0,6",0,False
23,34,"0,0,0,0,0,6","0,0,0,0,2,6","0,0,0,0,0,6 | 0,0,0,0,2,6",2,True
23,53,"0,0,0,0,0,6","0,0,0,0,0,6","0,0,0,0,0,6 | 0,0,0,0,0,6",0,False
24,25,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
24,38,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
24,47,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
24,52,"0,0,0,0,2,6","0,0,0,0,0,6","0,0,0,0,0,6 | 0,0,0,0,2,6",6,True
25,34,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
25,53,"0,0,0,0,2,6","0,0,0,0,0,6","0,0,0,0,0,6 | 0,0,0,0,2,6",6,True
26,27,"0,0,0,0,0,0","0,0,0,0,6,6","0,0,0,0,0,0 | 0,0,0,0,6,6",4,False
26,35,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0 | 0,0,0,0,0,0",0,False
26,44,"0,0,0,0,0,0","0,0,0,0,2,6","0,0,0,0,0,0 | 0,0,0,0,2,6",0,False
27,45,"0,0,0,0,6,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,6,6",4,False
28,42,"0,0,0,0,0,2","0,0,0,0,0,2","0,0,0,0,0,2 | 0,0,0,0,0,2",0,False
