orbit,matching_id,pairs,phases_mod8_per_pair,signature_sorted,sum_phases_mod8,sigma_Z2,is_special_orbit_size_4,degree_flip_graph,dist_from_base
orbit0,35,"[[0, 8], [1, 3], [2, 7], [4, 5], [6, 9], [10, 11]]","[0, 0, 0, 0, 0, 0]","0,0,0,0,0,0",0,1,False,5,1
orbit0,36,"[[0, 9], [1, 2], [3, 11], [4, 6], [5, 10], [7, 8]]","[0, 0, 6, 0, 0, 6]","0,0,0,0,6,6",4,1,False,3,5
orbit0,37,"[[0, 1], [2, 3], [4, 6], [5, 9], [7, 8], [10, 11]]","[0, 0, 0, 0, 6, 0]","0,0,0,0,0,6",6,-1,False,3,4
orbit0,38,"[[0, 8], [1, 10], [2, 7], [3, 9], [4, 5], [6, 11]]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,1,False,6,3
orbit0,39,"[[0, 1], [2, 7], [3, 11], [4, 8], [5, 9], [6, 10]]","[0, 0, 6, 6, 0, 0]","0,0,0,0,6,6",4,1,False,3,5
orbit0,40,"[[0, 9], [1, 2], [3, 8], [4, 5], [6, 11], [7, 10]]","[0, 0, 6, 0, 2, 6]","0,0,0,2,6,6",6,-1,False,5,3
orbit0,41,"[[0, 9], [1, 8], [2, 3], [4, 5], [6, 11], [7, 10]]","[0, 0, 0, 0, 2, 6]","0,0,0,0,2,6",0,1,False,5,4
orbit0,42,"[[0, 8], [1, 9], [2, 3], [4, 5], [6, 7], [10, 11]]","[0, 0, 0, 0, 2, 0]","0,0,0,0,0,2",2,-1,False,4,2
orbit0,43,"[[0, 9], [1, 2], [3, 11], [4, 8], [5, 10], [6, 7]]","[0, 0, 6, 6, 0, 2]","0,0,0,2,6,6",6,-1,False,3,4
orbit0,44,"[[0, 8], [1, 2], [3, 9], [4, 5], [6, 7], [10, 11]]","[0, 0, 6, 0, 2, 0]","0,0,0,0,2,6",0,1,False,5,1
orbit0,45,"[[0, 8], [1, 2], [3, 11], [4, 5], [6, 7], [9, 10]]","[0, 0, 6, 0, 2, 0]","0,0,0,0,2,6",0,1,False,4,2
orbit0,46,"[[0, 9], [1, 2], [3, 11], [4, 5], [6, 10], [7, 8]]","[0, 0, 6, 0, 0, 6]","0,0,0,0,6,6",4,1,False,3,5
orbit0,47,"[[0, 9], [1, 8], [2, 7], [3, 10], [4, 5], [6, 11]]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,1,False,5,4
orbit0,48,"[[0, 8], [1, 2], [3, 7], [4, 9], [5, 10], [6, 11]]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,1,False,4,2
orbit0,49,"[[0, 9], [1, 2], [3, 8], [4, 5], [6, 7], [10, 11]]","[0, 0, 6, 0, 2, 0]","0,0,0,0,2,6",0,1,False,3,2
orbit0,50,"[[0, 1], [2, 7], [3, 9], [4, 8], [5, 10], [6, 11]]","[0, 0, 6, 6, 0, 2]","0,0,0,2,6,6",6,-1,False,5,5
orbit0,51,"[[0, 1], [2, 7], [3, 8], [4, 6], [5, 9], [10, 11]]","[0, 0, 6, 0, 0, 0]","0,0,0,0,0,6",6,-1,False,3,3
orbit0,52,"[[0, 8], [1, 9], [2, 7], [3, 11], [4, 5], [6, 10]]","[0, 0, 0, 6, 0, 0]","0,0,0,0,0,6",6,-1,False,5,3
orbit0,53,"[[0, 8], [1, 4], [2, 7], [3, 11], [5, 9], [6, 10]]","[0, 0, 0, 6, 0, 0]","0,0,0,0,0,6",6,-1,False,5,4
orbit0,54,"[[0, 8], [1, 3], [2, 7], [4, 9], [5, 10], [6, 11]]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,1,False,5,3
orbit0,55,"[[0, 9], [1, 4], [2, 3], [5, 10], [6, 11], [7, 8]]","[0, 0, 0, 0, 2, 6]","0,0,0,0,2,6",0,1,False,3,6
orbit0,56,"[[0, 9], [1, 10], [2, 7], [3, 8], [4, 5], [6, 11]]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,1,False,6,4
orbit0,57,"[[0, 8], [1, 2], [3, 11], [4, 9], [5, 10], [6, 7]]","[0, 0, 6, 6, 0, 2]","0,0,0,2,6,6",6,-1,False,3,3
orbit0,58,"[[0, 9], [1, 8], [2, 3], [4, 5], [6, 7], [10, 11]]","[0, 0, 0, 0, 2, 0]","0,0,0,0,0,2",2,-1,False,3,3
